# Generated by LORRAX 0.1.0 at 2026-05-06 06:27:59 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH
# bispinor breakdown columns:
#   sigX_q   = Σ_X^B (0,0)-tile (charge channel)
#   sigX_T   = Σ_X^B summed over 9 transverse (i,j) tiles
#   VH_q     = Hartree μ_L=0 (charge channel)
#   VH_T     = Hartree Σ over μ_L∈{1,2,3} (transverse channels)

k-point 0:
----------------------------------------------------------------------------------------------------
n=24  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  390.663921              sigX_q=  -19.379215              sigX_T=-328650.825939+  0.000000i  VH_q=  390.663921              VH_T=    0.000000            
n=25  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  390.663921              sigX_q=  -19.379215              sigX_T=-328650.825939+  0.000000i  VH_q=  390.663921              VH_T=    0.000000            
n=26  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  390.622619              sigX_q=  -19.383580              sigX_T=-193626.915197+ -0.000000i  VH_q=  390.622619              VH_T=    0.000000            
n=27  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  390.622619              sigX_q=  -19.383580              sigX_T=-193626.915197+ -0.000000i  VH_q=  390.622619              VH_T=    0.000000            
n=28  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  439.586996              sigX_q=  -14.492545              sigX_T=-1559698.008695+ -0.000000i  VH_q=  439.586996              VH_T=    0.000000            
n=29  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  439.586996              sigX_q=  -14.492545              sigX_T=-1559698.008695+ -0.000000i  VH_q=  439.586996              VH_T=    0.000000            
n=30  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  375.924552              sigX_q=  -14.624063              sigX_T=-2211223.676608+  0.000000i  VH_q=  375.924552              VH_T=    0.000000            
n=31  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  375.924552              sigX_q=  -14.624063              sigX_T=-2211223.676608+  0.000000i  VH_q=  375.924552              VH_T=    0.000000            
n=32  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  400.613455              sigX_q=  -14.298169              sigX_T=-1025641.731957+ -0.000000i  VH_q=  400.613455              VH_T=    0.000000            
n=33  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  400.613455              sigX_q=  -14.298169              sigX_T=-1025641.731957+ -0.000000i  VH_q=  400.613455              VH_T=    0.000000            
n=34  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  430.114859              sigX_q=  -15.482271              sigX_T=-1667439.575108+  0.000000i  VH_q=  430.114859              VH_T=    0.000000            
n=35  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  430.114859              sigX_q=  -15.482271              sigX_T=-1667439.575108+  0.000000i  VH_q=  430.114859              VH_T=    0.000000            
n=36  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  393.190192              sigX_q=  -14.187624              sigX_T=-1767796.227262+  0.000000i  VH_q=  393.190192              VH_T=   -0.000000            
n=37  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  393.190192              sigX_q=  -14.187624              sigX_T=-1767796.227262+  0.000000i  VH_q=  393.190192              VH_T=   -0.000000            
