# Generated by LORRAX 0.1.0 at 2026-05-06 04:42:37 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH
# bispinor breakdown columns:
#   sigX_q   = Σ_X^B (0,0)-tile (charge channel)
#   sigX_T   = Σ_X^B summed over 9 transverse (i,j) tiles
#   VH_q     = Hartree μ_L=0 (charge channel)
#   VH_T     = Hartree Σ over μ_L∈{1,2,3} (transverse channels)

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  595.383472+  0.000649i  sigX_q=  -37.079635              sigX_T=   -0.022332              VH_q=  595.383472+  0.000649i  VH_T=    0.000000            
n=1   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  595.383472+  0.000649i  sigX_q=  -37.079635              sigX_T=   -0.022332              VH_q=  595.383472+  0.000649i  VH_T=    0.000000            
n=2   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  584.053146+  0.000275i  sigX_q=  -30.410102              sigX_T=   -0.057887              VH_q=  584.053146+  0.000275i  VH_T=   -0.000000            
n=3   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  584.053146+  0.000275i  sigX_q=  -30.410102              sigX_T=   -0.057887              VH_q=  584.053146+  0.000275i  VH_T=   -0.000000            
n=4   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  577.703381+  0.000608i  sigX_q=  -29.880282              sigX_T=   -0.177314              VH_q=  577.703381+  0.000608i  VH_T=    0.000000            
n=5   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  577.703381+  0.000608i  sigX_q=  -29.880282              sigX_T=   -0.177314              VH_q=  577.703381+  0.000608i  VH_T=    0.000000            
n=6   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  588.011825+ -0.000994i  sigX_q=  -30.077590              sigX_T=   -0.124213              VH_q=  588.011825+ -0.000994i  VH_T=   -0.000000            
n=7   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  588.011825+ -0.000994i  sigX_q=  -30.077590              sigX_T=   -0.124213              VH_q=  588.011825+ -0.000994i  VH_T=   -0.000000            
n=8   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  385.593871+  0.000797i  sigX_q=  -18.932578              sigX_T=   -0.008174              VH_q=  385.593871+  0.000797i  VH_T=   -0.000000            
n=9   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  385.593871+  0.000797i  sigX_q=  -18.932578              sigX_T=   -0.008174              VH_q=  385.593871+  0.000797i  VH_T=   -0.000000            
n=10  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  352.874523+  0.000704i  sigX_q=  -18.728358              sigX_T=   -0.018330              VH_q=  352.874523+  0.000704i  VH_T=   -0.000000            
n=11  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  352.874523+  0.000704i  sigX_q=  -18.728358              sigX_T=   -0.018330              VH_q=  352.874523+  0.000704i  VH_T=   -0.000000            
n=12  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  392.421697+  0.000014i  sigX_q=  -14.624419              sigX_T=   -0.011479              VH_q=  392.421697+  0.000014i  VH_T=   -0.000000            
n=13  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  392.421697+  0.000014i  sigX_q=  -14.624419              sigX_T=   -0.011479              VH_q=  392.421697+  0.000014i  VH_T=   -0.000000            
n=14  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  494.566145+ -0.000676i  sigX_q=  -15.520058              sigX_T=   -0.009225              VH_q=  494.566145+ -0.000676i  VH_T=    0.000000            
n=15  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  494.566145+ -0.000676i  sigX_q=  -15.520058              sigX_T=   -0.009225              VH_q=  494.566145+ -0.000676i  VH_T=    0.000000            
n=16  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  489.295988+ -0.000671i  sigX_q=  -15.423097              sigX_T=   -0.012128              VH_q=  489.295988+ -0.000671i  VH_T=   -0.000000            
n=17  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  489.295988+ -0.000671i  sigX_q=  -15.423097              sigX_T=   -0.012128              VH_q=  489.295988+ -0.000671i  VH_T=   -0.000000            
n=18  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  301.215442+  0.000114i  sigX_q=  -12.985202              sigX_T=   -0.032763              VH_q=  301.215442+  0.000114i  VH_T=   -0.000000            
n=19  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  301.215442+  0.000114i  sigX_q=  -12.985202              sigX_T=   -0.032763              VH_q=  301.215442+  0.000114i  VH_T=   -0.000000            
n=20  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  461.264832+ -0.000657i  sigX_q=  -15.161240              sigX_T=   -0.008982              VH_q=  461.264832+ -0.000657i  VH_T=    0.000000            
n=21  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  461.264832+ -0.000657i  sigX_q=  -15.161240              sigX_T=   -0.008982              VH_q=  461.264832+ -0.000657i  VH_T=    0.000000            
n=22  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  460.605616+ -0.000649i  sigX_q=  -15.114030              sigX_T=   -0.008203              VH_q=  460.605616+ -0.000649i  VH_T=   -0.000000            
n=23  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  460.605616+ -0.000649i  sigX_q=  -15.114030              sigX_T=   -0.008203              VH_q=  460.605616+ -0.000649i  VH_T=   -0.000000            
n=24  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  416.573999+ -0.000640i  sigX_q=  -13.767327              sigX_T=   -0.015973              VH_q=  416.573999+ -0.000640i  VH_T=    0.000000            
n=25  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  416.573999+ -0.000640i  sigX_q=  -13.767327              sigX_T=   -0.015973              VH_q=  416.573999+ -0.000640i  VH_T=    0.000000            
n=26  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  424.923774+ -0.000600i  sigX_q=  -11.054311              sigX_T=   -0.011032              VH_q=  424.923774+ -0.000600i  VH_T=    0.000000            
n=27  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  424.923774+ -0.000600i  sigX_q=  -11.054311              sigX_T=   -0.011032              VH_q=  424.923774+ -0.000600i  VH_T=    0.000000            
n=28  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  422.933202+ -0.000540i  sigX_q=  -11.039263              sigX_T=   -0.010514              VH_q=  422.933202+ -0.000540i  VH_T=    0.000000            
n=29  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  422.933202+ -0.000540i  sigX_q=  -11.039263              sigX_T=   -0.010514              VH_q=  422.933202+ -0.000540i  VH_T=    0.000000            

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  595.511400+  0.000653i  sigX_q=  -37.075753              sigX_T=   -0.022374              VH_q=  595.511400+  0.000653i  VH_T=   -0.000000+  0.000000i
n=1   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  595.511400+  0.000653i  sigX_q=  -37.075753              sigX_T=   -0.022374              VH_q=  595.511400+  0.000653i  VH_T=   -0.000000+  0.000000i
n=2   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  584.250540+  0.000443i  sigX_q=  -30.380984              sigX_T=   -0.087902              VH_q=  584.250540+  0.000443i  VH_T=    0.000000+  0.000000i
n=3   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  584.250540+  0.000443i  sigX_q=  -30.380984              sigX_T=   -0.087902              VH_q=  584.250540+  0.000443i  VH_T=    0.000000+  0.000000i
n=4   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  578.931529+ -0.000082i  sigX_q=  -29.979415              sigX_T=   -0.100056              VH_q=  578.931529+ -0.000082i  VH_T=    0.000000+  0.000000i
n=5   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  578.931529+ -0.000082i  sigX_q=  -29.979415              sigX_T=   -0.100056              VH_q=  578.931529+ -0.000082i  VH_T=    0.000000+  0.000000i
n=6   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  585.008462+  0.000599i  sigX_q=  -29.992133              sigX_T=   -0.164058              VH_q=  585.008463+  0.000599i  VH_T=   -0.000000+ -0.000000i
n=7   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  585.008462+  0.000599i  sigX_q=  -29.992133              sigX_T=   -0.164058              VH_q=  585.008463+  0.000599i  VH_T=   -0.000000+ -0.000000i
n=8   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  385.482781+  0.000508i  sigX_q=  -18.892011              sigX_T=   -0.009492              VH_q=  385.482781+  0.000508i  VH_T=   -0.000000+  0.000000i
n=9   sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  385.482781+  0.000508i  sigX_q=  -18.892011              sigX_T=   -0.009492              VH_q=  385.482781+  0.000508i  VH_T=   -0.000000+  0.000000i
n=10  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  369.300233+  0.000575i  sigX_q=  -18.847364              sigX_T=   -0.012610              VH_q=  369.300233+  0.000575i  VH_T=   -0.000000+  0.000000i
n=11  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  369.300233+  0.000575i  sigX_q=  -18.847364              sigX_T=   -0.012610              VH_q=  369.300233+  0.000575i  VH_T=   -0.000000+  0.000000i
