# Generated by LORRAX unknown at 2026-07-21 06:19:27 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.361233              sigC=    4.739123+ -0.001434i  sigXC=  -34.622111+ -0.001434i  VH=  592.623552+  0.002026i  Eo=  -65.484467
n=1   sigX=  -39.361233              sigC=    4.739123+ -0.001434i  sigXC=  -34.622111+ -0.001434i  VH=  592.623552+  0.002026i  Eo=  -65.484467
n=2   sigX=  -33.236186              sigC=    4.254544+1087.353662i  sigXC=  -28.981642+1087.353662i  VH=  584.457872+ -0.000251i  Eo=  -42.100571
n=3   sigX=  -33.236186              sigC=    4.254544+1087.353662i  sigXC=  -28.981642+1087.353662i  VH=  584.457872+ -0.000251i  Eo=  -42.100571
n=4   sigX=  -32.480877              sigC=    4.333488+-418.961829i  sigXC=  -28.147389+-418.961829i  VH=  577.562586+  0.000022i  Eo=  -39.580049
n=5   sigX=  -32.480877              sigC=    4.333488+-418.961829i  sigXC=  -28.147389+-418.961829i  VH=  577.562586+  0.000022i  Eo=  -39.580049
n=6   sigX=  -32.504563              sigC=    4.279429+-673.477069i  sigXC=  -28.225133+-673.477069i  VH=  587.743494+  0.000158i  Eo=  -39.404857
n=7   sigX=  -32.504563              sigC=    4.279429+-673.477069i  sigXC=  -28.225133+-673.477069i  VH=  587.743494+  0.000158i  Eo=  -39.404857
n=8   sigX=  -21.664552              sigC=    5.881068+ -0.030084i  sigXC=  -15.783484+ -0.030084i  VH=  382.545533+ -0.000181i  Eo=  -19.386943
n=9   sigX=  -21.664552              sigC=    5.881068+ -0.030084i  sigXC=  -15.783484+ -0.030084i  VH=  382.545533+ -0.000181i  Eo=  -19.386943
n=10  sigX=  -21.562966              sigC=    5.901851+ -2.387252i  sigXC=  -15.661115+ -2.387252i  VH=  349.016233+  0.001091i  Eo=  -18.188235
n=11  sigX=  -21.562966              sigC=    5.901851+ -2.387252i  sigXC=  -15.661115+ -2.387252i  VH=  349.016233+  0.001091i  Eo=  -18.188235
n=12  sigX=  -17.374960              sigC=    3.978247+ -9.877456i  sigXC=  -13.396713+ -9.877456i  VH=  390.329984+  0.001371i  Eo=  -10.891408
n=13  sigX=  -17.374960              sigC=    3.978247+ -9.877456i  sigXC=  -13.396713+ -9.877456i  VH=  390.329984+  0.001371i  Eo=  -10.891408
n=14  sigX=  -18.170330              sigC=    2.544116+-1597.812288i  sigXC=  -15.626214+-1597.812288i  VH=  494.493084+ -0.000115i  Eo=   -7.880919
n=15  sigX=  -18.170330              sigC=    2.544116+-1597.812288i  sigXC=  -15.626214+-1597.812288i  VH=  494.493084+ -0.000115i  Eo=   -7.880919
n=16  sigX=  -18.022544              sigC=    2.496268+1435.578299i  sigXC=  -15.526276+1435.578299i  VH=  489.869715+ -0.000139i  Eo=   -7.821581
n=17  sigX=  -18.022544              sigC=    2.496268+1435.578299i  sigXC=  -15.526276+1435.578299i  VH=  489.869715+ -0.000139i  Eo=   -7.821581
n=18  sigX=  -15.690062              sigC=    2.456879+-15.182553i  sigXC=  -13.233183+-15.182553i  VH=  302.179091+  0.000403i  Eo=   -7.130428
n=19  sigX=  -15.690062              sigC=    2.456879+-15.182553i  sigXC=  -13.233183+-15.182553i  VH=  302.179091+  0.000403i  Eo=   -7.130428
n=20  sigX=  -17.674025              sigC=    1.705437+-216.591689i  sigXC=  -15.968588+-216.591689i  VH=  461.649528+ -0.000729i  Eo=   -6.799255
n=21  sigX=  -17.674025              sigC=    1.705437+-216.591689i  sigXC=  -15.968588+-216.591689i  VH=  461.649528+ -0.000729i  Eo=   -6.799255
n=22  sigX=  -17.562580              sigC=    1.633524+159.205027i  sigXC=  -15.929057+159.205027i  VH=  461.201212+ -0.000656i  Eo=   -6.718285
n=23  sigX=  -17.562580              sigC=    1.633524+159.205027i  sigXC=  -15.929057+159.205027i  VH=  461.201212+ -0.000656i  Eo=   -6.718285
n=24  sigX=  -16.396747              sigC=    1.082681+ 41.703357i  sigXC=  -15.314067+ 41.703357i  VH=  413.114652+  0.001966i  Eo=   -5.398968
n=25  sigX=  -16.396747              sigC=    1.082681+ 41.703357i  sigXC=  -15.314067+ 41.703357i  VH=  413.114652+  0.001966i  Eo=   -5.398968
n=26  sigX=  -11.093598              sigC=   -3.221977+-91.657167i  sigXC=  -14.315575+-91.657167i  VH=  422.549968+ -0.000377i  Eo=   -2.591355
n=27  sigX=  -11.093598              sigC=   -3.221977+-91.657167i  sigXC=  -14.315575+-91.657167i  VH=  422.549968+ -0.000377i  Eo=   -2.591355
n=28  sigX=  -11.015441              sigC=   -3.267773+ -9.104030i  sigXC=  -14.283213+ -9.104030i  VH=  420.859162+ -0.000306i  Eo=   -2.515375
n=29  sigX=  -11.015441              sigC=   -3.267773+ -9.104030i  sigXC=  -14.283213+ -9.104030i  VH=  420.859162+ -0.000306i  Eo=   -2.515375
n=30  sigX=  -11.056206              sigC=   -3.271806+173.792677i  sigXC=  -14.328012+173.792677i  VH=  404.263105+  0.000410i  Eo=   -2.347811
n=31  sigX=  -11.056206              sigC=   -3.271806+173.792677i  sigXC=  -14.328012+173.792677i  VH=  404.263105+  0.000410i  Eo=   -2.347811
n=32  sigX=  -11.063048              sigC=   -3.258613+107.071438i  sigXC=  -14.321660+107.071438i  VH=  402.288059+  0.000412i  Eo=   -2.339588
n=33  sigX=  -11.063048              sigC=   -3.258613+107.071438i  sigXC=  -14.321660+107.071438i  VH=  402.288059+  0.000412i  Eo=   -2.339588
n=34  sigX=   -6.165477              sigC=   -4.312953+  6.035072i  sigXC=  -10.478430+  6.035072i  VH=  435.165034+ -0.001333i  Eo=    1.083633
n=35  sigX=   -6.165477              sigC=   -4.312953+  6.035072i  sigXC=  -10.478430+  6.035072i  VH=  435.165034+ -0.001333i  Eo=    1.083633
n=36  sigX=   -5.739919              sigC=   -4.582385+ 74.793387i  sigXC=  -10.322304+ 74.793387i  VH=  339.319510+ -0.000726i  Eo=    3.734850
n=37  sigX=   -5.739919              sigC=   -4.582385+ 74.793387i  sigXC=  -10.322304+ 74.793387i  VH=  339.319510+ -0.000726i  Eo=    3.734850
n=38  sigX=   -3.812798              sigC=   -3.786968+  7.144428i  sigXC=   -7.599766+  7.144428i  VH=  153.625788+  0.000184i  Eo=    3.946919
n=39  sigX=   -3.812798              sigC=   -3.786968+  7.144428i  sigXC=   -7.599766+  7.144428i  VH=  153.625788+  0.000184i  Eo=    3.946919
