# Generated by LORRAX unknown at 2026-07-21 04:44:03 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=34  sigX=   -6.243624              sigC=   -4.674375+-38.679723i  sigXC=  -10.917999+-38.679723i  VH=  436.020464+  0.000000i  Eo=    1.083633
n=35  sigX=   -6.243624              sigC=   -4.674375+-38.679723i  sigXC=  -10.917999+-38.679723i  VH=  436.020464+  0.000000i  Eo=    1.083633
n=36  sigX=   -5.804774              sigC=   -2.484119+-243.918659i  sigXC=   -8.288892+-243.918659i  VH=  341.083925  Eo=    3.734850
n=37  sigX=   -5.804774              sigC=   -2.484119+-243.918659i  sigXC=   -8.288892+-243.918659i  VH=  341.083925  Eo=    3.734850
n=38  sigX=   -3.907494              sigC=  -18.804062+  8.235650i  sigXC=  -22.711556+  8.235650i  VH=  148.020599+ -0.000000i  Eo=    3.946919
n=39  sigX=   -3.907494              sigC=  -18.804062+  8.235650i  sigXC=  -22.711556+  8.235650i  VH=  148.020599+ -0.000000i  Eo=    3.946919
n=40  sigX=   -2.455199              sigC=   -3.361202+-151.848932i  sigXC=   -5.816402+-151.848932i  VH=   37.207297  Eo=    4.785055
n=41  sigX=   -2.455199              sigC=   -3.361202+-151.848932i  sigXC=   -5.816402+-151.848932i  VH=   37.207297  Eo=    4.785055
n=42  sigX=   -5.867762              sigC=   -4.729025+-8814.576508i  sigXC=  -10.596787+-8814.576508i  VH=  362.641677  Eo=    5.503172
n=43  sigX=   -5.867762              sigC=   -4.729025+-8814.576508i  sigXC=  -10.596787+-8814.576508i  VH=  362.641677  Eo=    5.503172
n=44  sigX=   -5.863832              sigC=   -4.677315+9315.614259i  sigXC=  -10.541147+9315.614259i  VH=  361.180002  Eo=    5.579950
n=45  sigX=   -5.863832              sigC=   -4.677315+9315.614259i  sigXC=  -10.541147+9315.614259i  VH=  361.180002  Eo=    5.579950
n=46  sigX=   -5.689358              sigC=   -7.013604+10584.212133i  sigXC=  -12.702962+10584.212133i  VH=  343.675699  Eo=    7.479930
n=47  sigX=   -5.689358              sigC=   -7.013604+10584.212133i  sigXC=  -12.702962+10584.212133i  VH=  343.675699  Eo=    7.479930
n=48  sigX=   -5.695962              sigC=   -6.590662+-13097.665590i  sigXC=  -12.286624+-13097.665590i  VH=  344.768753  Eo=    7.497363
n=49  sigX=   -5.695962              sigC=   -6.590662+-13097.665590i  sigXC=  -12.286624+-13097.665590i  VH=  344.768753  Eo=    7.497363
n=50  sigX=   -5.752933              sigC=  -24.615862+2603.895928i  sigXC=  -30.368795+2603.895928i  VH=  291.423494+ -0.000000i  Eo=    7.654692
n=51  sigX=   -5.752933              sigC=  -24.615862+2603.895928i  sigXC=  -30.368795+2603.895928i  VH=  291.423494+ -0.000000i  Eo=    7.654692
n=52  sigX=   -5.330871              sigC=   -7.122146+4931.539706i  sigXC=  -12.453017+4931.539706i  VH=  321.769710+ -0.000000i  Eo=   10.761649
