# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.09639556E+01  -1.00669293E+01   8.97026252E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.31116513E-02   6.76577948E-02  -2.54538565E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     93  -1.07865831E+01  -9.93690534E+00   8.49677733E-01
     94  -1.07884037E+01  -9.93847424E+00   8.49929428E-01
     95  -1.07916651E+01  -9.94070816E+00   8.50956934E-01
     96  -1.07948428E+01  -9.94295303E+00   8.51889742E-01
     97  -1.07990768E+01  -9.94594855E+00   8.53128263E-01
     98  -1.08034035E+01  -9.94905162E+00   8.54351924E-01
     99  -1.08061052E+01  -9.95140481E+00   8.54700434E-01
    100  -1.08088789E+01  -9.95384935E+00   8.55029517E-01
    101  -1.08107720E+01  -9.95516931E+00   8.55602665E-01
    102  -1.08126508E+01  -9.95649482E+00   8.56156003E-01
    103  -1.08146458E+01  -9.95792493E+00   8.56720891E-01
    104  -1.08166554E+01  -9.95931627E+00   8.57339154E-01
    105  -1.08194442E+01  -9.96157497E+00   8.57869264E-01
    106  -1.08222693E+01  -9.96387641E+00   8.58392908E-01
    107  -1.08241728E+01  -9.96528000E+00   8.58892830E-01
    108  -1.08261747E+01  -9.96670322E+00   8.59471509E-01
    109  -1.08271945E+01  -9.96755059E+00   8.59643867E-01
    110  -1.08282062E+01  -9.96838170E+00   8.59824521E-01
    111  -1.08307140E+01  -9.96995505E+00   8.60758972E-01
    112  -1.08332215E+01  -9.97147543E+00   8.61746108E-01
    113  -1.08356132E+01  -9.97332989E+00   8.62283260E-01
    114  -1.08380010E+01  -9.97519230E+00   8.62808695E-01
    115  -1.08395666E+01  -9.97641860E+00   8.63148037E-01
    116  -1.08411554E+01  -9.97760654E+00   8.63548835E-01
    117  -1.08419443E+01  -9.97822184E+00   8.63722439E-01
    118  -1.08427363E+01  -9.97884003E+00   8.63896309E-01
    119  -1.08444810E+01  -9.98005450E+00   8.64426538E-01
    120  -1.08462251E+01  -9.98128073E+00   8.64944424E-01
    121  -1.08471758E+01  -9.98198395E+00   8.65191817E-01
    122  -1.08480964E+01  -9.98269604E+00   8.65400336E-01
    123  -1.08496610E+01  -9.98386686E+00   8.65794126E-01
    124  -1.08512485E+01  -9.98504115E+00   8.66207334E-01
    125  -1.08520719E+01  -9.98559346E+00   8.66478464E-01
    126  -1.08528923E+01  -9.98615011E+00   8.66742233E-01
    127  -1.08538782E+01  -9.98686010E+00   8.67018055E-01
    128  -1.08548544E+01  -9.98757230E+00   8.67282124E-01
    129  -1.08556808E+01  -9.98817263E+00   8.67508201E-01
    130  -1.08565319E+01  -9.98877331E+00   8.67758607E-01
    131  -1.08583129E+01  -9.99000274E+00   8.68310138E-01
    132  -1.08601097E+01  -9.99129675E+00   8.68812986E-01
    133  -1.08606160E+01  -9.99175365E+00   8.68862379E-01
    134  -1.08611159E+01  -9.99220283E+00   8.68913037E-01
    135  -1.08619209E+01  -9.99276781E+00   8.69153081E-01
    136  -1.08627297E+01  -9.99330237E+00   8.69427292E-01
    137  -1.08633693E+01  -9.99376010E+00   8.69609162E-01
    138  -1.08639954E+01  -9.99424827E+00   8.69747179E-01
    139  -1.08648327E+01  -9.99486843E+00   8.69964277E-01
    140  -1.08656667E+01  -9.99549285E+00   8.70173880E-01
    141  -1.08662543E+01  -9.99589663E+00   8.70357618E-01
    142  -1.08668312E+01  -9.99631028E+00   8.70520870E-01
    143  -1.08676986E+01  -9.99694043E+00   8.70758126E-01
