# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=44  sigSX=   -2.288129+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.288129+ -0.000000i  VH=    4.238707+ -0.000000i
n=45  sigSX=   -2.288181+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.288181+ -0.000000i  VH=    4.234704+ -0.000000i
n=46  sigSX=   -2.182925+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.182925+ -0.000000i  VH=    1.148768+  0.000000i
n=47  sigSX=   -2.182918              sigCOH=    0.000000              sigTOT=   -2.182918              VH=    1.148326+  0.000000i
n=48  sigSX=   -2.182965+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.182965+  0.000000i  VH=    1.149947+ -0.000000i
n=49  sigSX=   -2.182943              sigCOH=    0.000000              sigTOT=   -2.182943              VH=    1.149883+  0.000000i
n=50  sigSX=   -2.182884+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.182884+ -0.000000i  VH=    1.148387+ -0.000000i
n=51  sigSX=   -2.182929+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.182929+  0.000000i  VH=    1.148380+ -0.000000i
n=52  sigSX=   -1.387265+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.387265+ -0.000000i  VH=   -2.454603+ -0.000000i
n=53  sigSX=   -1.387473+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.387473+  0.000000i  VH=   -2.484949+  0.000000i
n=54  sigSX=   -1.387836+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.387836+  0.000000i  VH=   -2.483346+ -0.000000i
n=55  sigSX=   -1.387534+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.387534+  0.000000i  VH=   -2.472570+  0.000000i
n=56  sigSX=   -1.387504+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.387504+ -0.000000i  VH=   -2.481119+ -0.000000i
n=57  sigSX=   -1.387383+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.387383+  0.000000i  VH=   -2.462861+ -0.000000i
n=58  sigSX=   -1.060655              sigCOH=    0.000000              sigTOT=   -1.060655              VH=    4.337731
n=59  sigSX=   -1.060655+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.060655+  0.000000i  VH=    4.337731+  0.000000i

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigSX=  -17.276042+ -0.000000i  sigCOH=    0.000000              sigTOT=  -17.276042+ -0.000000i  VH=    3.524020+  0.000000i
n=1   sigSX=  -17.276042+ -0.000000i  sigCOH=    0.000000              sigTOT=  -17.276042+ -0.000000i  VH=    3.524020+  0.000000i
n=2   sigSX=  -13.668971+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.668971+  0.000000i  VH=    3.966942+  0.000000i
n=3   sigSX=  -13.668971+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.668971+  0.000000i  VH=    3.966942+  0.000000i
n=4   sigSX=  -12.929416+ -0.000000i  sigCOH=    0.000000              sigTOT=  -12.929416+ -0.000000i  VH=    4.850218+ -0.000000i
n=5   sigSX=  -12.929478+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.929478+  0.000000i  VH=    4.851430+  0.000000i
n=6   sigSX=  -12.929649+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.929649+  0.000000i  VH=    4.851290+  0.000000i
n=7   sigSX=  -12.928717+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.928717+  0.000000i  VH=    4.853111+ -0.000000i
n=8   sigSX=   -5.790868+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.790868+  0.000000i  VH=    2.873205+  0.000000i
n=9   sigSX=   -5.790868+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.790868+  0.000000i  VH=    2.873205+  0.000000i
n=10  sigSX=   -5.455542+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.455542+  0.000000i  VH=    2.563169+  0.000000i
n=11  sigSX=   -5.456018+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.456018+ -0.000000i  VH=    2.563143+ -0.000000i
n=12  sigSX=   -5.455892+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.455892+  0.000000i  VH=    2.563777+ -0.000000i
n=13  sigSX=   -5.455624+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.455624+  0.000000i  VH=    2.563245+  0.000000i
n=14  sigSX=   -4.876542+ -0.000000i  sigCOH=    0.000000              sigTOT=   -4.876542+ -0.000000i  VH=    3.990280+  0.000000i
n=15  sigSX=   -4.876542+ -0.000000i  sigCOH=    0.000000              sigTOT=   -4.876542+ -0.000000i  VH=    3.990280+  0.000000i
n=16  sigSX=   -4.163151+ -0.000000i  sigCOH=    0.000000              sigTOT=   -4.163151+ -0.000000i  VH=    1.410531+  0.000000i
n=17  sigSX=   -4.163351+  0.000000i  sigCOH=    0.000000              sigTOT=   -4.163351+  0.000000i  VH=    1.406243+  0.000000i
n=18  sigSX=   -4.163376+ -0.000000i  sigCOH=    0.000000              sigTOT=   -4.163376+ -0.000000i  VH=    1.404259+ -0.000000i
n=19  sigSX=   -4.163296+ -0.000000i  sigCOH=    0.000000              sigTOT=   -4.163296+ -0.000000i  VH=    1.407042+  0.000000i
n=20  sigSX=   -2.366644+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.366644+  0.000000i  VH=   -1.445338+ -0.000000i
n=21  sigSX=   -2.366644+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.366644+ -0.000000i  VH=   -1.445338+ -0.000000i
n=22  sigSX=   -2.621198+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.621198+ -0.000000i  VH=    0.054620+ -0.000000i
n=23  sigSX=   -2.621198+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.621198+ -0.000000i  VH=    0.054620+ -0.000000i
n=24  sigSX=   -2.513997+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.513997+ -0.000000i  VH=    1.025768+  0.000001i
n=25  sigSX=   -2.514226+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.514226+  0.000000i  VH=    1.025224+ -0.000000i
n=26  sigSX=   -2.514148+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.514148+  0.000000i  VH=    1.022864+ -0.000000i
n=27  sigSX=   -2.514040+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.514040+ -0.000000i  VH=    1.020509+ -0.000000i
n=28  sigSX=   -2.613127+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.613127+  0.000000i  VH=    1.997515+  0.000001i
n=29  sigSX=   -2.613109+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.613109+ -0.000000i  VH=    1.997741+  0.000000i
n=30  sigSX=   -2.612898+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.612898+  0.000000i  VH=    2.000579+ -0.000000i
n=31  sigSX=   -2.613123              sigCOH=    0.000000              sigTOT=   -2.613123              VH=    1.997307+ -0.000001i
n=32  sigSX=   -2.461492+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.461492+ -0.000000i  VH=    1.843873+ -0.000000i
n=33  sigSX=   -2.461492+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.461492+  0.000000i  VH=    1.843873+ -0.000000i
n=34  sigSX=   -1.482676+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.482676+  0.000000i  VH=   -1.766696+ -0.000000i
n=35  sigSX=   -1.482676+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.482676+  0.000000i  VH=   -1.766696+ -0.000000i
n=36  sigSX=   -2.194777+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.194777+  0.000000i  VH=    3.812870+ -0.000001i
n=37  sigSX=   -2.194630+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.194630+  0.000000i  VH=    3.832786+  0.000000i
n=38  sigSX=   -2.194570+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.194570+  0.000000i  VH=    3.798268+  0.000000i
n=39  sigSX=   -2.194616+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.194616+  0.000000i  VH=    3.817672+  0.000000i
n=40  sigSX=   -2.278697+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.278697+  0.000000i  VH=    4.226549+ -0.000001i
n=41  sigSX=   -2.278758+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.278758+  0.000000i  VH=    4.239223+ -0.000001i
n=42  sigSX=   -2.278778+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.278778+ -0.000000i  VH=    4.258298+ -0.000000i
n=43  sigSX=   -2.278849+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.278849+  0.000000i  VH=    4.240380+  0.000001i
n=44  sigSX=   -2.096931+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.096931+  0.000000i  VH=    3.930392+  0.000000i
n=45  sigSX=   -2.096931+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.096931+ -0.000000i  VH=    3.930392+  0.000000i
n=46  sigSX=   -1.526100+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.526100+ -0.000000i  VH=    1.479353+  0.000000i
n=47  sigSX=   -1.526100+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.526100+ -0.000000i  VH=    1.479353+  0.000000i
n=48  sigSX=   -2.213222+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.213222+ -0.000000i  VH=    1.646283+  0.000000i
n=49  sigSX=   -2.213222+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.213222+  0.000000i  VH=    1.646283+  0.000000i
n=50  sigSX=   -1.539774+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.539774+  0.000000i  VH=    0.093591+ -0.000000i
n=51  sigSX=   -1.539424+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.539424+  0.000000i  VH=    0.107686+  0.000000i
n=52  sigSX=   -1.539169+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.539169+ -0.000000i  VH=    0.089994+ -0.000001i
n=53  sigSX=   -1.539834+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.539834+ -0.000000i  VH=    0.118818+  0.000001i
n=54  sigSX=   -1.318193+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.318193+  0.000000i  VH=   -1.940341+ -0.000001i
n=55  sigSX=   -1.318036+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.318036+ -0.000000i  VH=   -1.920743+  0.000002i
n=56  sigSX=   -1.318041+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.318041+ -0.000000i  VH=   -1.929304+  0.000000i
n=57  sigSX=   -1.318282+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.318282+  0.000000i  VH=   -1.935252+ -0.000002i
n=58  sigSX=   -1.559238+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.559238+ -0.000000i  VH=    0.889857+ -0.000003i
n=59  sigSX=   -1.559561+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.559561+  0.000000i  VH=    0.881182+ -0.000001i

k-point 2:
----------------------------------------------------------------------------------------------------
n=0   sigSX=  -16.939323+  0.000000i  sigCOH=    0.000000              sigTOT=  -16.939323+  0.000000i  VH=    4.217590+  0.000000i
n=1   sigSX=  -16.939323+ -0.000000i  sigCOH=    0.000000              sigTOT=  -16.939323+ -0.000000i  VH=    4.217590+  0.000000i
n=2   sigSX=  -14.775205+ -0.000000i  sigCOH=    0.000000              sigTOT=  -14.775205+ -0.000000i  VH=    2.870604+  0.000000i
n=3   sigSX=  -14.775205+ -0.000000i  sigCOH=    0.000000              sigTOT=  -14.775205+ -0.000000i  VH=    2.870604+  0.000000i
n=4   sigSX=  -13.186531+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.186531+  0.000000i  VH=    4.760049+  0.000000i
n=5   sigSX=  -13.186534+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.186534+  0.000000i  VH=    4.759500+  0.000000i
n=6   sigSX=  -13.186166+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.186166+  0.000000i  VH=    4.759600+ -0.000000i
n=7   sigSX=  -13.185937+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.185937+  0.000000i  VH=    4.760921+ -0.000000i
n=8   sigSX=   -5.877222+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.877222+  0.000000i  VH=    2.784779+  0.000000i
n=9   sigSX=   -5.877222+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.877222+  0.000000i  VH=    2.784779+  0.000000i
n=10  sigSX=   -4.994594              sigCOH=    0.000000              sigTOT=   -4.994594              VH=    1.618524+ -0.000000i
n=11  sigSX=   -4.994633+  0.000000i  sigCOH=    0.000000              sigTOT=   -4.994633+  0.000000i  VH=    1.617906+  0.000000i
n=12  sigSX=   -4.994745+ -0.000000i  sigCOH=    0.000000              sigTOT=   -4.994745+ -0.000000i  VH=    1.616979+ -0.000000i
n=13  sigSX=   -4.994623+  0.000000i  sigCOH=    0.000000              sigTOT=   -4.994623+  0.000000i  VH=    1.618188+ -0.000000i
n=14  sigSX=   -2.286416+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.286416+ -0.000000i  VH=   -1.908252+  0.000000i
n=15  sigSX=   -2.286416+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.286416+ -0.000000i  VH=   -1.908252+  0.000000i
n=16  sigSX=   -3.823636+ -0.000000i  sigCOH=    0.000000              sigTOT=   -3.823636+ -0.000000i  VH=    2.439757+  0.000001i
n=17  sigSX=   -3.823515+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.823515+  0.000000i  VH=    2.438355+  0.000000i
n=18  sigSX=   -3.823405+ -0.000000i  sigCOH=    0.000000              sigTOT=   -3.823405+ -0.000000i  VH=    2.435822+ -0.000000i
n=19  sigSX=   -3.823350+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.823350+  0.000000i  VH=    2.436580+ -0.000000i
n=20  sigSX=   -3.448990+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.448990+  0.000000i  VH=    2.389445+  0.000000i
n=21  sigSX=   -3.449046+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.449046+  0.000000i  VH=    2.388335+ -0.000000i
n=22  sigSX=   -3.449076+ -0.000000i  sigCOH=    0.000000              sigTOT=   -3.449076+ -0.000000i  VH=    2.388003+  0.000000i
n=23  sigSX=   -3.448979+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.448979+  0.000000i  VH=    2.389486+ -0.000000i
n=24  sigSX=   -3.565626+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.565626+  0.000000i  VH=    3.042127+ -0.000000i
n=25  sigSX=   -3.565626+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.565626+  0.000000i  VH=    3.042127+ -0.000000i
n=26  sigSX=   -3.365514+  0.000000i  sigCOH=    0.000000              sigTOT=   -3.365514+  0.000000i  VH=    3.649523+ -0.000000i
n=27  sigSX=   -3.365514+ -0.000000i  sigCOH=    0.000000              sigTOT=   -3.365514+ -0.000000i  VH=    3.649523+ -0.000000i
n=28  sigSX=   -2.416644+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.416644+  0.000000i  VH=    3.496040+ -0.000000i
n=29  sigSX=   -2.416644+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.416644+  0.000000i  VH=    3.496040+ -0.000000i
n=30  sigSX=   -2.313008+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.313008+  0.000000i  VH=    0.038432+  0.000000i
n=31  sigSX=   -2.313008+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.313008+ -0.000000i  VH=    0.038432+  0.000000i
n=32  sigSX=   -1.834608+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.834608+  0.000000i  VH=    0.166449+  0.000000i
n=33  sigSX=   -1.834615+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.834615+  0.000000i  VH=    0.165645+  0.000000i
n=34  sigSX=   -1.834520+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.834520+ -0.000000i  VH=    0.169205+ -0.000001i
n=35  sigSX=   -1.834663+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.834663+ -0.000000i  VH=    0.163929+  0.000001i
n=36  sigSX=   -2.203847+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.203847+ -0.000000i  VH=    2.640516+  0.000001i
n=37  sigSX=   -2.203822+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.203822+  0.000000i  VH=    2.643025+ -0.000000i
n=38  sigSX=   -2.203883+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.203883+  0.000000i  VH=    2.643215+ -0.000001i
n=39  sigSX=   -2.203858+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.203858+  0.000000i  VH=    2.642830+ -0.000000i
n=40  sigSX=   -1.227175+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.227175+  0.000000i  VH=   -0.520387+ -0.000000i
n=41  sigSX=   -1.227175+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.227175+  0.000000i  VH=   -0.520387+ -0.000000i
n=42  sigSX=   -2.059003+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.059003+  0.000000i  VH=    1.225040+ -0.000001i
n=43  sigSX=   -2.059076+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.059076+  0.000000i  VH=    1.212310+  0.000000i
n=44  sigSX=   -2.059021+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.059021+ -0.000000i  VH=    1.218089+ -0.000000i
n=45  sigSX=   -2.059064+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.059064+  0.000000i  VH=    1.209603+  0.000001i
n=46  sigSX=   -2.284904+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.284904+ -0.000000i  VH=    4.603358+ -0.000000i
n=47  sigSX=   -2.285045+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.285045+ -0.000000i  VH=    4.603515+ -0.000000i
n=48  sigSX=   -2.284829+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.284829+ -0.000000i  VH=    4.605756+ -0.000000i
n=49  sigSX=   -2.284973+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.284973+ -0.000000i  VH=    4.603812+ -0.000000i
n=50  sigSX=   -0.984056+ -0.000000i  sigCOH=    0.000000              sigTOT=   -0.984056+ -0.000000i  VH=   -3.850859+ -0.000000i
n=51  sigSX=   -0.984056+ -0.000000i  sigCOH=    0.000000              sigTOT=   -0.984056+ -0.000000i  VH=   -3.850858+ -0.000000i
n=52  sigSX=   -2.340438+  0.000000i  sigCOH=    0.000000              sigTOT=   -2.340438+  0.000000i  VH=    3.022112+  0.000000i
n=53  sigSX=   -2.340438+ -0.000000i  sigCOH=    0.000000              sigTOT=   -2.340438+ -0.000000i  VH=    3.022112+  0.000000i
n=54  sigSX=   -1.238584+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.238584+  0.000000i  VH=   -0.716519+ -0.000003i
n=55  sigSX=   -1.238581+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.238581+ -0.000000i  VH=   -0.716944+  0.000004i
n=56  sigSX=   -1.238573+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.238573+ -0.000000i  VH=   -0.717094+  0.000003i
n=57  sigSX=   -1.238577+  0.000000i  sigCOH=    0.000000              sigTOT=   -1.238577+  0.000000i  VH=   -0.716626+ -0.000004i
n=58  sigSX=   -1.393615+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.393615+ -0.000000i  VH=   -0.263416+  0.000000i
n=59  sigSX=   -1.393479+ -0.000000i  sigCOH=    0.000000              sigTOT=   -1.393479+ -0.000000i  VH=   -0.246239+  0.000000i

k-point 3:
----------------------------------------------------------------------------------------------------
n=0   sigSX=  -17.275954+ -0.000000i  sigCOH=    0.000000              sigTOT=  -17.275954+ -0.000000i  VH=    3.524020+  0.000000i
n=1   sigSX=  -17.275954+ -0.000000i  sigCOH=    0.000000              sigTOT=  -17.275954+ -0.000000i  VH=    3.524020+  0.000000i
n=2   sigSX=  -13.669051+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.669051+  0.000000i  VH=    3.966942+  0.000000i
n=3   sigSX=  -13.669051+  0.000000i  sigCOH=    0.000000              sigTOT=  -13.669051+  0.000000i  VH=    3.966942+  0.000000i
n=4   sigSX=  -12.929652+ -0.000000i  sigCOH=    0.000000              sigTOT=  -12.929652+ -0.000000i  VH=    4.850099+ -0.000000i
n=5   sigSX=  -12.929301+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.929301+  0.000000i  VH=    4.852118+ -0.000000i
n=6   sigSX=  -12.928984+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.928984+  0.000000i  VH=    4.853000+ -0.000000i
n=7   sigSX=  -12.929917+ -0.000000i  sigCOH=    0.000000              sigTOT=  -12.929917+ -0.000000i  VH=    4.850833+  0.000000i
n=8   sigSX=   -5.790838+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.790838+ -0.000000i  VH=    2.873205+  0.000000i
n=9   sigSX=   -5.790838+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.790838+ -0.000000i  VH=    2.873205+  0.000000i
n=10  sigSX=   -5.455600+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.455600+ -0.000000i  VH=    2.563032+  0.000000i
