# Generated by LORRAX unknown at 2026-07-21 19:57:30 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	              33	       -2.325690	       +1.944791	      +42.116465	     +407.344458	      -11.133350	       +0.000000	       -2.565199	       +0.000008	       -1.053221	       -0.000001	     +435.762375	     +326.098143
               0	              34	       +1.102385	       +5.372865	      +24.090478	     +435.330604	       -6.173624	       +0.000000	       -3.577291	       -0.000003	       -1.053364	       -0.000001	     +449.670167	     +360.306680
               0	              35	       +1.102385	       +5.372865	      +24.090478	     +435.330604	       -6.173624	       +0.000000	       -3.577291	       -0.000003	       -1.053364	       -0.000001	     +449.670167	     +360.306680
               0	              36	       +3.746505	       +8.016986	      +27.478822	     +329.988070	       -5.801404	       +0.000000	       -3.694215	       -0.000004	       -1.053124	       -0.000001	     +347.971274	     +277.361696
               0	              37	       +3.746505	       +8.016986	      +27.478822	     +329.988070	       -5.801404	       +0.000000	       -3.694215	       -0.000004	       -1.053124	       -0.000001	     +347.971274	     +277.361696
               0	              38	       +3.953430	       +8.223910	      +21.736042	     +137.435764	       -3.927411	       +0.000000	       -3.410875	       -0.000002	       -1.053463	       -0.000001	     +151.833520	     +123.487457
               0	              39	       +3.953430	       +8.223910	      +21.736042	     +137.435764	       -3.927411	       +0.000000	       -3.410875	       -0.000002	       -1.053463	       -0.000001	     +151.833520	     +123.487457
               0	              40	       +4.786070	       +9.056551	      +14.500151	      +22.769219	       -2.480447	       +0.000000	       -3.285477	       -0.000008	       -1.053233	       -0.000001	      +31.503447	      +26.706680
               0	              41	       +4.786070	       +9.056551	      +14.500151	      +22.769219	       -2.480447	       +0.000000	       -3.285477	       -0.000008	       -1.053233	       -0.000001	      +31.503447	      +26.706680
               0	              42	       +5.517734	       +9.788215	      +34.714620	     +358.096761	       -5.871930	       +0.000000	       -4.061800	       -0.000376	       -1.053454	       -0.000001	     +382.877650	     +320.400413
               0	              43	       +5.517734	       +9.788215	      +34.714620	     +358.096761	       -5.871930	       +0.000000	       -4.061800	       -0.000376	       -1.053454	       -0.000001	     +382.877650	     +320.400413
               0	              44	       +5.594438	       +9.864918	      +34.721002	     +357.007394	       -5.867087	       +0.000000	       -4.054574	       +0.000401	       -1.053376	       -0.000001	     +381.806734	     +325.471534
               0	              45	       +5.594438	       +9.864918	      +34.721002	     +357.007394	       -5.867087	       +0.000000	       -4.054574	       +0.000401	       -1.053376	       -0.000001	     +381.806734	     +325.471534
               0	              46	       +7.492860	      +11.763341	      +39.350379	     +346.067634	       -5.684535	       +0.000000	       -3.869516	       +0.002881	       -0.926456	       -0.000001	     +375.863962	     +375.863962
               0	              47	       +7.492860	      +11.763341	      +39.350379	     +346.067634	       -5.684535	       +0.000000	       -3.869516	       +0.002881	       -0.926456	       -0.000001	     +375.863962	     +375.863962
               0	              48	       +7.510374	      +11.780854	      +39.384681	     +347.978278	       -5.690385	       +0.000000	       -3.833383	       -0.003352	       -0.925351	       -0.000001	     +377.839191	     +377.839191
               0	              49	       +7.510374	      +11.780854	      +39.384681	     +347.978278	       -5.690385	       +0.000000	       -3.833383	       -0.003352	       -0.925351	       -0.000001	     +377.839191	     +377.839191
               0	              50	       +7.663743	      +11.934224	      +39.738833	     +270.409476	       -5.765449	       +0.000000	       -4.077384	       +0.000503	       -0.915785	       -0.000001	     +300.305476	     +300.305476
               0	              51	       +7.663743	      +11.934224	      +39.738833	     +270.409476	       -5.765449	       +0.000000	       -4.077384	       +0.000503	       -0.915785	       -0.000001	     +300.305476	     +300.305476
               0	              52	      +10.772983	      +15.043464	      +46.938242	     +301.810474	       -5.327551	       +0.000000	       -3.862984	       +0.001877	       -0.757122	       -0.000001	     +339.558181	     +339.558181
               0	              53	      +10.772983	      +15.043464	      +46.938242	     +301.810474	       -5.327551	       +0.000000	       -3.862984	       +0.001877	       -0.757122	       -0.000001	     +339.558181	     +339.558181
               0	              54	      +10.787584	      +15.058064	      +46.970628	     +302.113547	       -5.325847	       +0.000000	       -3.851684	       -0.001886	       -0.756506	       -0.000001	     +339.906644	     +339.906644
               0	              55	      +10.787584	      +15.058064	      +46.970628	     +302.113547	       -5.325847	       +0.000000	       -3.851684	       -0.001886	       -0.756506	       -0.000001	     +339.906644	     +339.906644
               0	              56	      +10.866953	      +15.137434	      +27.151453	     +361.562936	       -3.390657	       +0.000000	       -3.171937	       +0.000008	       -0.753178	       -0.000001	     +382.151795	     +382.151795
