
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
  12    9.757274832    9.757274832   -5.495159985    3.171355610   -9.076405716  -11.400210092   20.126362765    8.726152673    8.726152673   -7.895662281  -10.219466656    9.906896109    9.906896109    1.000000000
  13    9.778780595    9.778780595   -5.484902751    3.162918508   -9.073209623  -11.395193867   20.142464067    8.747270200    8.747270200   -7.892337458  -10.214321701    9.928142366    9.928142366    1.000000000
  14    9.778780595    9.778780595   -5.484902751    3.162918508   -9.073209623  -11.395193867   20.142464067    8.747270200    8.747270200   -7.892337458  -10.214321701    9.928142366    9.928142366    1.000000000
  15   13.191994164   13.191994164   -4.893632674    2.590394755   -9.443738737  -11.746976656   24.204734638   12.457757982   12.457757982   -7.996307957  -10.299545876   13.905188762   13.905188762    1.000000000
  16   13.191994164   13.191994164   -4.893632674    2.590394755   -9.443738737  -11.746976656   24.204734638   12.457757982   12.457757982   -7.996307957  -10.299545876   13.905188762   13.905188762    1.000000000
 
       k = -0.000000 -0.000000  0.500000 ik =   3 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363334822   -3.363334822  -16.862732010   12.341640777   -9.585725822  -14.106817055    7.884295936   -6.222521119   -6.222521119   -9.057202815  -13.578294047   -5.693998111   -5.693998111    1.000000000
   2   -3.363334822   -3.363334822  -16.862732010   12.341640777   -9.585725822  -14.106817055    7.884295936   -6.222521119   -6.222521119   -9.057202815  -13.578294047   -5.693998111   -5.693998111    1.000000000
   3   -0.707387028   -0.707387028  -14.858067592   10.848541259   -9.131592299  -13.141118631    9.790903258   -3.350215373   -3.350215373   -8.542743250  -12.552269582   -2.761366324   -2.761366324    1.000000000
   4   -0.707387028   -0.707387028  -14.858067592   10.848541259   -9.131592299  -13.141118631    9.790903258   -3.350215373   -3.350215373   -8.542743250  -12.552269582   -2.761366324   -2.761366324    1.000000000
   5    5.057476426    5.057476426  -13.164625683    9.228829144   -9.670435335  -13.606231874   16.470429286    2.864197412    2.864197412   -8.611239352  -12.547035891    3.923393395    3.923393395    1.000000000
   6    5.057476426    5.057476426  -13.164625683    9.228829144   -9.670435335  -13.606231874   16.470429286    2.864197412    2.864197412   -8.611239352  -12.547035891    3.923393395    3.923393395    1.000000000
   7    5.089199671    5.089199671  -13.146654661    9.214132657   -9.668513646  -13.601035650   16.498741506    2.897705856    2.897705856   -8.610084561  -12.542606565    3.956134941    3.956134941    1.000000000
   8    5.089199671    5.089199671  -13.146654661    9.214132657   -9.668513646  -13.601035650   16.498741506    2.897705856    2.897705856   -8.610084561  -12.542606565    3.956134941    3.956134941    1.000000000
   9    7.805249821    7.805249821   -5.919220068    3.493235232   -9.168581049  -11.594565885   18.355578141    6.761012256    6.761012256   -8.110438985  -10.536423821    7.819154320    7.819154320    1.000000000
  10    7.805249821    7.805249821   -5.919220068    3.493235232   -9.168581049  -11.594565885   18.355578141    6.761012256    6.761012256   -8.110438985  -10.536423821    7.819154320    7.819154320    1.000000000
  11    9.594432012    9.594432012   -5.061335458    2.901747251   -8.776383735  -10.935971942   19.478049220    8.542077277    8.542077277   -7.685378868   -9.844967076    9.633082144    9.633082144    1.000000000
  12    9.594432012    9.594432012   -5.061335458    2.901747251   -8.776383735  -10.935971942   19.478049220    8.542077277    8.542077277   -7.685378868   -9.844967076    9.633082144    9.633082144    1.000000000
  13    9.608879678    9.608879678   -5.053623390    2.895656510   -8.772759630  -10.930726511   19.486508284    8.555781773    8.555781773   -7.679961184   -9.837928064    9.648580220    9.648580220    1.000000000
  14    9.608879678    9.608879678   -5.053623390    2.895656510   -8.772759630  -10.930726511   19.486508284    8.555781773    8.555781773   -7.679961184   -9.837928064    9.648580220    9.648580220    1.000000000
  15   14.000427278   14.000427278   -2.390746586    1.003005546   -7.551764515   -8.939505555   21.840509697   12.901004142   12.901004142   -6.623797666   -8.011538707   13.828970990   13.828970990    1.000000000
  16   14.000427278   14.000427278   -2.390746586    1.003005546   -7.551764515   -8.939505555   21.840509697   12.901004142   12.901004142   -6.623797666   -8.011538707   13.828970990   13.828970990    1.000000000
 
       k =  0.000000  0.250000  0.250000 ik =   4 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -4.614922720   -4.614922720  -17.116299175   12.596328345   -9.381748302  -13.901719132    6.292566490   -7.609152642   -7.609152642   -8.949869815  -13.469840645   -7.177274155   -7.177274155    1.000000000
   2   -4.614922720   -4.614922720  -17.116299175   12.596328345   -9.381748302  -13.901719132    6.292566490   -7.609152642   -7.609152642   -8.949869815  -13.469840645   -7.177274155   -7.177274155    1.000000000
   3    2.755220329    2.755220329  -14.052773120    9.971956394   -9.819548357  -13.900365082   14.406760418    0.506395336    0.506395336   -8.880868656  -12.961685381    1.445075037    1.445075037    1.000000000
   4    2.755220329    2.755220329  -14.052773120    9.971956394   -9.819548357  -13.900365082   14.406760418    0.506395336    0.506395336   -8.880868656  -12.961685381    1.445075037    1.445075037    1.000000000
   5    4.373517855    4.373517855  -12.957058595    9.158825549   -9.447732787  -13.245965834   15.410193914    2.164228080    2.164228080   -8.495039154  -12.293272200    3.116921714    3.116921714    1.000000000
   6    4.373517855    4.373517855  -12.957058595    9.158825549   -9.447732787  -13.245965834   15.410193914    2.164228080    2.164228080   -8.495039154  -12.293272200    3.116921714    3.116921714    1.000000000
   7    4.381956001    4.381956001  -12.945051898    9.150581472   -9.445022514  -13.239492940   15.413878367    2.174385427    2.174385427   -8.491961716  -12.286432142    3.127446225    3.127446225    1.000000000
   8    4.381956001    4.381956001  -12.945051898    9.150581472   -9.445022514  -13.239492940   15.413878367    2.174385427    2.174385427   -8.491961716  -12.286432142    3.127446225    3.127446225    1.000000000
   9    7.392380051    7.392380051   -5.506123421    3.284165716   -8.612760212  -10.834717917   17.005016696    6.170298779    6.170298779   -7.714216764   -9.936174469    7.068842227    7.068842227    1.000000000
  10    7.392380051    7.392380051   -5.506123421    3.284165716   -8.612760212  -10.834717917   17.005016696    6.170298779    6.170298779   -7.714216764   -9.936174469    7.068842227    7.068842227    1.000000000
  11    9.398123501    9.398123501   -4.596173007    2.583659108   -8.456610173  -10.469124071   18.765402584    8.296278513    8.296278513   -7.480722986   -9.493236885    9.272165699    9.272165699    1.000000000
  12    9.398123501    9.398123501   -4.596173007    2.583659108   -8.456610173  -10.469124071   18.765402584    8.296278513    8.296278513   -7.480722986   -9.493236885    9.272165699    9.272165699    1.000000000
  13   12.028944412   12.028944412   -5.340819161    2.900182481   -9.433405051  -11.874041731   23.000302177   11.126260446   11.126260446   -7.964732730  -10.405369410   12.594932767   12.594932767    1.000000000
  14   12.028944412   12.028944412   -5.340819161    2.900182481   -9.433405051  -11.874041731   23.000302177   11.126260446   11.126260446   -7.964732730  -10.405369410   12.594932767   12.594932767    1.000000000
  15   12.031510983   12.031510983   -5.350504015    2.905624540   -9.438478781  -11.883358256   23.011452966   11.128094710   11.128094710   -7.964518848  -10.409398323   12.602054643   12.602054643    1.000000000
  16   12.031510983   12.031510983   -5.350504015    2.905624540   -9.438478781  -11.883358256   23.011452966   11.128094710   11.128094710   -7.964518848  -10.409398323   12.602054643   12.602054643    1.000000000
 
       k = -0.000000  0.250000  0.500000 ik =   5 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -2.977120615   -2.977120615  -16.617435372   12.154712694   -9.542061992  -14.004784671    8.198816881   -5.805967790   -5.805967790   -8.999033035  -13.461755713   -5.262938832   -5.262938832    1.000000000
