# bgw_ik  gw_ki  kx       ky       kz       band  BGW_Cor'     GW_sigC       diff
      4      5   0.00000  0.25000  0.25000     2     3.516260          nan        +nan
      4      5   0.00000  0.25000  0.25000     3     0.913579          nan        +nan
      4      5   0.00000  0.25000  0.25000     4     0.913579          nan        +nan
      4      5   0.00000  0.25000  0.25000     5     0.487121          nan        +nan
      4      5   0.00000  0.25000  0.25000     6     0.487121          nan        +nan
      4      5   0.00000  0.25000  0.25000     7     0.481104          nan        +nan
      4      5   0.00000  0.25000  0.25000     8     0.481104          nan        +nan
      4      5   0.00000  0.25000  0.25000     9    -4.598223          nan        +nan
      4      5   0.00000  0.25000  0.25000    10    -4.598223          nan        +nan
      4      5   0.00000  0.25000  0.25000    11    -5.069218          nan        +nan
      4      5   0.00000  0.25000  0.25000    12    -5.069218          nan        +nan
      4      5   0.00000  0.25000  0.25000    13    -5.293036          nan        +nan
      4      5   0.00000  0.25000  0.25000    14    -5.293036          nan        +nan
      4      5   0.00000  0.25000  0.25000    15    -5.290824          nan        +nan
      4      5   0.00000  0.25000  0.25000    16    -5.290824          nan        +nan
      5      6  -0.00000  0.25000  0.50000     1     3.014004          nan        +nan
      5      6  -0.00000  0.25000  0.50000     2     3.014004          nan        +nan
      5      6  -0.00000  0.25000  0.50000     3     2.000309          nan        +nan
      5      6  -0.00000  0.25000  0.50000     4     2.000309          nan        +nan
      5      6  -0.00000  0.25000  0.50000     5     0.756688          nan        +nan
      5      6  -0.00000  0.25000  0.50000     6     0.756688          nan        +nan
      5      6  -0.00000  0.25000  0.50000     7     0.630929          nan        +nan
      5      6  -0.00000  0.25000  0.50000     8     0.630929          nan        +nan
      5      6  -0.00000  0.25000  0.50000     9    -4.742048          nan        +nan
      5      6  -0.00000  0.25000  0.50000    10    -4.742048          nan        +nan
      5      6  -0.00000  0.25000  0.50000    11    -5.131368          nan        +nan
      5      6  -0.00000  0.25000  0.50000    12    -5.131368          nan        +nan
      5      6  -0.00000  0.25000  0.50000    13    -5.399873          nan        +nan
      5      6  -0.00000  0.25000  0.50000    14    -5.399873          nan        +nan
      5      6  -0.00000  0.25000  0.50000    15    -5.398780          nan        +nan
      5      6  -0.00000  0.25000  0.50000    16    -5.398780          nan        +nan
      6      7  -0.00000  0.25000  0.75000     1     3.222692          nan        +nan
      6      7  -0.00000  0.25000  0.75000     2     3.222692          nan        +nan
      6      7  -0.00000  0.25000  0.75000     3     1.689989          nan        +nan
      6      7  -0.00000  0.25000  0.75000     4     1.689989          nan        +nan
      6      7  -0.00000  0.25000  0.75000     5     0.825866          nan        +nan
      6      7  -0.00000  0.25000  0.75000     6     0.825866          nan        +nan
      6      7  -0.00000  0.25000  0.75000     7     0.359165          nan        +nan
      6      7  -0.00000  0.25000  0.75000     8     0.359165          nan        +nan
      6      7  -0.00000  0.25000  0.75000     9    -4.915681          nan        +nan
      6      7  -0.00000  0.25000  0.75000    10    -4.915681          nan        +nan
