JAX: 1 gpu devices
== Chunked kin_ion_io ==
Loading WFN: WFN.h5
Bands: 68, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Building V_loc...
Building unified V_NL setup...

Processing 64 k-points...
  k=1/64...
  k=17/64...
  k=33/64...
  k=49/64...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/04_si_4x4x4_bse/05_lorrax_70band/kin_ion.h5...
Wrote kin_ion.h5: shape (64, 68, 68), sys_dim=3
--- Timing (seconds) ---
Total recorded: 18.132 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.257       0.257    1.4
build_V_loc                                            1       0.834       0.834    4.6
k0                                                     1       2.640       2.640   14.6
k1                                                     1       1.777       1.777    9.8
k2                                                     1       1.772       1.772    9.8
k3                                                     1       0.033       0.033    0.2
k4                                                     1       0.033       0.033    0.2
k5                                                     1       1.728       1.728    9.5
k6                                                     1       1.817       1.817   10.0
k7                                                     1       1.773       1.773    9.8
k8                                                     1       0.036       0.036    0.2
k9                                                     1       0.035       0.035    0.2
k10                                                    1       1.806       1.806   10.0
k11                                                    1       0.034       0.034    0.2
k12                                                    1       0.035       0.035    0.2
k13                                                    1       0.034       0.034    0.2
k14                                                    1       0.033       0.033    0.2
k15                                                    1       0.033       0.033    0.2
k16                                                    1       0.039       0.039    0.2
k17                                                    1       0.044       0.044    0.2
k18                                                    1       0.032       0.032    0.2
k19                                                    1       0.032       0.032    0.2
k20                                                    1       0.033       0.033    0.2
k21                                                    1       0.034       0.034    0.2
k22                                                    1       0.032       0.032    0.2
k23                                                    1       0.032       0.032    0.2
k24                                                    1       0.032       0.032    0.2
k25                                                    1       0.033       0.033    0.2
k26                                                    1       0.050       0.050    0.3
k27                                                    1       1.775       1.775    9.8
k28                                                    1       0.033       0.033    0.2
k29                                                    1       0.034       0.034    0.2
k30                                                    1       0.033       0.033    0.2
k31                                                    1       0.032       0.032    0.2
k32                                                    1       0.032       0.032    0.2
k33                                                    1       0.046       0.046    0.3
k34                                                    1       0.038       0.038    0.2
k35                                                    1       0.034       0.034    0.2
k36                                                    1       0.032       0.032    0.2
k37                                                    1       0.038       0.038    0.2
k38                                                    1       0.032       0.032    0.2
k39                                                    1       0.032       0.032    0.2
k40                                                    1       0.032       0.032    0.2
k41                                                    1       0.032       0.032    0.2
k42                                                    1       0.032       0.032    0.2
k43                                                    1       0.038       0.038    0.2
k44                                                    1       0.050       0.050    0.3
k45                                                    1       0.032       0.032    0.2
k46                                                    1       0.033       0.033    0.2
k47                                                    1       0.038       0.038    0.2
k48                                                    1       0.033       0.033    0.2
k49                                                    1       0.032       0.032    0.2
k50                                                    1       0.032       0.032    0.2
k51                                                    1       0.033       0.033    0.2
k52                                                    1       0.032       0.032    0.2
k53                                                    1       0.032       0.032    0.2
k54                                                    1       0.042       0.042    0.2
k55                                                    1       0.043       0.043    0.2
k56                                                    1       0.033       0.033    0.2
k57                                                    1       0.033       0.033    0.2
k58                                                    1       0.033       0.033    0.2
k59                                                    1       0.033       0.033    0.2
k60                                                    1       0.032       0.032    0.2
k61                                                    1       0.032       0.032    0.2
k62                                                    1       0.032       0.032    0.2
k63                                                    1       0.038       0.038    0.2
write_h5                                               1       0.011       0.011    0.1
