# Breit Σ_xc comparison (eV).  std = sigSX + sigCOH (charge Σ_xc)
# screened = Σ^B from screened W^{ij}; unscr = Σ^B from bare V^{ij}
#  k    n     sigSX      sigCOH        std    SigB_scr   SigB_unscr   std+Bscr  std+Bunscr
   0    0   -29.73830   -10.60038   -40.33868   -0.027061   -0.027069   -40.36574   -40.36575
   0    1   -29.73560   -10.59964   -40.33524   -0.027058   -0.027067   -40.36230   -40.36231
   0    2   -26.01791   -10.58127   -36.59917   -0.026201   -0.026211   -36.62537   -36.62538
   0    3   -26.01219   -10.58056   -36.59275   -0.026197   -0.026208   -36.61895   -36.61896
   0    4   -24.01962    -9.66445   -33.68407   -0.035922   -0.035936   -33.71999   -33.72000
   0    5   -24.00621    -9.66345   -33.66966   -0.035959   -0.035973   -33.70562   -33.70563
   0    6   -23.82685    -9.67846   -33.50532   -0.034509   -0.034525   -33.53983   -33.53984
   0    7   -23.81478    -9.67853   -33.49332   -0.034648   -0.034663   -33.52796   -33.52798
   0    8   -24.07405    -9.66395   -33.73800   -0.031449   -0.031463   -33.76945   -33.76947
   0    9   -24.06601    -9.66274   -33.72875   -0.031428   -0.031442   -33.76018   -33.76019
   0   10   -19.08227    -9.65645   -28.73872   -0.030168   -0.030181   -28.76889   -28.76890
   0   11   -19.05647    -9.65539   -28.71186   -0.030078   -0.030091   -28.74194   -28.74196
   0   12   -18.96227    -9.64568   -28.60795   -0.027831   -0.027843   -28.63579   -28.63580
   0   13   -18.95230    -9.64577   -28.59806   -0.027850   -0.027862   -28.62591   -28.62592
   0   14   -18.86796    -9.61710   -28.48506   -0.028391   -0.028406   -28.51345   -28.51346
   0   15   -18.85579    -9.61583   -28.47162   -0.028226   -0.028241   -28.49985   -28.49986
   0   16   -10.32419    -4.14996   -14.47415   -0.000234   -0.000234   -14.47438   -14.47438
   0   17   -10.32261    -4.14046   -14.46306   -0.000168   -0.000168   -14.46323   -14.46323
   0   18   -10.36270    -4.10905   -14.47175   -0.000079   -0.000080   -14.47183   -14.47183
   0   19   -10.28226    -4.11006   -14.39231   -0.000107   -0.000107   -14.39242   -14.39242
   0   20   -10.43043    -4.14599   -14.57642   -0.000098   -0.000098   -14.57652   -14.57652
   0   21   -10.43186    -4.14549   -14.57735   -0.000115   -0.000115   -14.57747   -14.57747
   0   22   -10.35125    -4.15118   -14.50243   -0.000139   -0.000139   -14.50257   -14.50257
   0   23   -10.35363    -4.15141   -14.50504   -0.000164   -0.000164   -14.50520   -14.50520
   0   24   -10.42144    -4.15101   -14.57244   -0.000099   -0.000099   -14.57254   -14.57254
   0   25   -10.42154    -4.15099   -14.57253   -0.000101   -0.000101   -14.57263   -14.57263
   0   26   -10.34922    -4.16060   -14.50982   -0.000169   -0.000169   -14.50999   -14.50999
   0   27   -10.35007    -4.16068   -14.51074   -0.000168   -0.000168   -14.51091   -14.51091
   0   28    -8.49102    -3.91438   -12.40539   -0.001398   -0.001399   -12.40679   -12.40679
   0   29    -8.00732    -3.81292   -11.82024   -0.000922   -0.000923   -11.82116   -11.82116
   0   30    -8.41096    -3.80780   -12.21877   -0.001285   -0.001285   -12.22005   -12.22005
   0   31    -7.91829    -3.67171   -11.59000   -0.000631   -0.000632   -11.59063   -11.59063
   0   32    -8.29008    -3.77764   -12.06772   -0.001136   -0.001136   -12.06886   -12.06886
   0   33    -8.54476    -3.90681   -12.45158   -0.001659   -0.001660   -12.45324   -12.45324
   0   34    -7.98602    -3.64019   -11.62621   -0.000502   -0.000502   -11.62671   -11.62671
   0   35    -8.24149    -3.72450   -11.96599   -0.001000   -0.001000   -11.96699   -11.96699
   0   36    -7.95783    -3.65144   -11.60927   -0.000550   -0.000550   -11.60982   -11.60982
   0   37    -8.07976    -3.61605   -11.69581   -0.000662   -0.000662   -11.69647   -11.69647
