# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07437275E+01  -9.76077782E+00   9.82949663E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.17395940E+00   9.51315851E-01  -2.22643549E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.45202483E-01  -2.06074833E-01   3.91276495E-02
      2  -4.90400282E-01  -4.12138683E-01   7.82615986E-02
      3  -7.66582405E-01  -5.90302850E-01   1.76279554E-01
      4  -1.04274710E+00  -7.68453166E-01   2.74293930E-01
      5  -1.94864362E+00  -1.00513784E+00   9.43505774E-01
      6  -2.85444109E+00  -1.24142306E+00   1.61301803E+00
      7  -3.89991602E+00  -1.38555960E+00   2.51435642E+00
      8  -4.94534866E+00  -1.52970339E+00   3.41564528E+00
      9  -5.06620595E+00  -2.95467648E+00   2.11152947E+00
     10  -5.18700680E+00  -4.37978269E+00   8.07224108E-01
     11  -5.27422390E+00  -4.65377718E+00   6.20446716E-01
     12  -5.36142900E+00  -4.92779968E+00   4.33629313E-01
     13  -5.45662943E+00  -5.05219380E+00   4.04435634E-01
     14  -5.55181656E+00  -5.17656916E+00   3.75247396E-01
     15  -5.62370084E+00  -5.29320292E+00   3.30497914E-01
     16  -5.69544452E+00  -5.40981186E+00   2.85632653E-01
     17  -5.84710930E+00  -5.65314008E+00   1.93969212E-01
     18  -5.99877244E+00  -5.89646842E+00   1.02304021E-01
     19  -6.17145848E+00  -5.96011559E+00   2.11342896E-01
     20  -6.34418758E+00  -6.02379691E+00   3.20390666E-01
     21  -6.41869848E+00  -6.17139638E+00   2.47302097E-01
     22  -6.49321577E+00  -6.31898289E+00   1.74232879E-01
     23  -6.65585383E+00  -6.39592211E+00   2.59931723E-01
     24  -6.81849774E+00  -6.47284740E+00   3.45650336E-01
     25  -6.97374193E+00  -6.51868356E+00   4.55058369E-01
     26  -7.12901529E+00  -6.56454711E+00   5.64468187E-01
     27  -7.25096591E+00  -6.63725274E+00   6.13713168E-01
     28  -7.37294508E+00  -6.70989327E+00   6.63051804E-01
     29  -7.45385177E+00  -6.77467233E+00   6.79179437E-01
     30  -7.53465257E+00  -6.83946288E+00   6.95189688E-01
     31  -7.61413748E+00  -6.91756358E+00   6.96573904E-01
     32  -7.69371284E+00  -6.99565455E+00   6.98058294E-01
     33  -7.72769717E+00  -7.04002390E+00   6.87673276E-01
     34  -7.76168306E+00  -7.08429294E+00   6.77390118E-01
     35  -7.79916174E+00  -7.12962967E+00   6.69532068E-01
     36  -7.83663931E+00  -7.17498095E+00   6.61658359E-01
     37  -7.88654807E+00  -7.24474815E+00   6.41799918E-01
     38  -7.93646731E+00  -7.31455145E+00   6.21915861E-01
     39  -7.97908563E+00  -7.40259952E+00   5.76486107E-01
     40  -8.02166887E+00  -7.49051053E+00   5.31158347E-01
     41  -8.04233322E+00  -7.54039574E+00   5.01937480E-01
     42  -8.06299669E+00  -7.59034994E+00   4.72646752E-01
     43  -8.10204738E+00  -7.63628545E+00   4.65761929E-01
     44  -8.14109731E+00  -7.68227255E+00   4.58824759E-01
     45  -8.20931690E+00  -7.72469847E+00   4.84618431E-01
     46  -8.27753638E+00  -7.76712639E+00   5.10409988E-01
     47  -8.34334941E+00  -7.80317651E+00   5.40172901E-01
     48  -8.40909303E+00  -7.83934382E+00   5.69749205E-01
     49  -8.50303510E+00  -7.87011755E+00   6.32917556E-01
     50  -8.59716259E+00  -7.90036153E+00   6.96801055E-01
     51  -8.64530886E+00  -7.92629406E+00   7.19014794E-01
     52  -8.69326051E+00  -7.95251411E+00   7.40746406E-01
     53  -8.74156038E+00  -7.98206056E+00   7.59499813E-01
     54  -8.78986368E+00  -8.01160605E+00   7.78257635E-01
     55  -8.80571117E+00  -8.04216745E+00   7.63543717E-01
     56  -8.82155087E+00  -8.07272614E+00   7.48824732E-01
     57  -8.84378108E+00  -8.09194269E+00   7.51838389E-01
     58  -8.86601269E+00  -8.11116919E+00   7.54843503E-01
     59  -8.88481130E+00  -8.13307796E+00   7.51733345E-01
     60  -8.90360886E+00  -8.15499342E+00   7.48615437E-01
     61  -8.91810007E+00  -8.19121022E+00   7.26889843E-01
