[lxrun] JID 52966174 · 1 nodes · 55:42 left · 1/1 free · incoming: lx-B
  1  nid001081  free   —              —      —  ← starting lx-B  python3 -u -m gw.kin_ion
JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 84, FFT grid: (45, 45, 120), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['Cr', 'I']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to kin_ion.h5...
Wrote kin_ion.h5: shape (36, 84, 84), sys_dim=2
--- Timing (seconds) ---
Total recorded: 12.801 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       1.056       1.056    8.3
build_V_loc                                            1       1.081       1.081    8.4
k0                                                     1       1.478       1.478   11.5
k1                                                     1       1.177       1.177    9.2
k2                                                     1       1.128       1.128    8.8
k3                                                     1       1.178       1.178    9.2
k4                                                     1       0.114       0.114    0.9
k5                                                     1       0.065       0.065    0.5
k6                                                     1       0.064       0.064    0.5
k7                                                     1       1.197       1.197    9.3
k8                                                     1       1.187       1.187    9.3
k9                                                     1       0.062       0.062    0.5
k10                                                    1       0.064       0.064    0.5
k11                                                    1       0.066       0.066    0.5
k12                                                    1       0.066       0.066    0.5
k13                                                    1       0.064       0.064    0.5
k14                                                    1       1.200       1.200    9.4
k15                                                    1       0.066       0.066    0.5
k16                                                    1       0.116       0.116    0.9
k17                                                    1       0.064       0.064    0.5
k18                                                    1       0.064       0.064    0.5
k19                                                    1       0.064       0.064    0.5
k20                                                    1       0.064       0.064    0.5
k21                                                    1       0.063       0.063    0.5
k22                                                    1       0.120       0.120    0.9
k23                                                    1       0.065       0.065    0.5
k24                                                    1       0.064       0.064    0.5
k25                                                    1       0.064       0.064    0.5
k26                                                    1       0.063       0.063    0.5
k27                                                    1       0.062       0.062    0.5
k28                                                    1       0.126       0.126    1.0
k29                                                    1       0.064       0.064    0.5
k30                                                    1       0.065       0.065    0.5
k31                                                    1       0.063       0.063    0.5
k32                                                    1       0.061       0.061    0.5
k33                                                    1       0.062       0.062    0.5
k34                                                    1       0.105       0.105    0.8
k35                                                    1       0.063       0.063    0.5
write_h5                                               1       0.009       0.009    0.1
