kPartitionId           	
kKernel                	, kernel = loop_convert_fusion, launch dimensions = blocks: {1, 1, 1}, threads/block: {1, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_convert_fusion_1, launch dimensions = blocks: {1, 1, 1}, threads/block: {1, 1, 1}, cluster_dim = nullopt
kCustomCall            	
kCustomCall            	
kCustomCall            	
kCustomCall            	
kCustomCall            	
kCustomCall            	
kCustomCall            	
kCustomCall            	
kKernel                	, kernel = input_transpose_fusion_2025, launch dimensions = blocks: {36000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_2024, launch dimensions = blocks: {48000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_2023, launch dimensions = blocks: {48000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_transpose_fusion_24, launch dimensions = blocks: {1000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllToAllStart         	
kKernel                	, kernel = input_transpose_fusion_2025, launch dimensions = blocks: {36000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_2024, launch dimensions = blocks: {48000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_2023, launch dimensions = blocks: {48000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_transpose_fusion_24, launch dimensions = blocks: {1000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllToAllStart         	
kKernel                	, kernel = input_transpose_fusion_2025, launch dimensions = blocks: {36000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_2024, launch dimensions = blocks: {48000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
