
 frequency_dependence   3

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
  12    9.757274832    9.757274832   -5.495159985    4.252037811   -8.224622824   -9.467744998   20.126362765   10.658617767   10.448302995   -8.224622824   -9.467744998   10.658617767   10.448302995    0.766665091
  13    9.778780595    9.778780595   -5.484902751    4.312389507   -8.291904101   -9.464417346   20.142464067   10.678046721   10.469278509   -8.291904101   -9.464417346   10.678046721   10.469278509    0.767846018
  14    9.778780595    9.778780595   -5.484902751    4.312389507   -8.291904101   -9.464417346   20.142464067   10.678046721   10.469278509   -8.291904101   -9.464417346   10.678046721   10.469278509    0.767846018
  15   13.191994164   13.191994164   -4.893632674    5.025308908  -10.020343321   -9.888667088   24.204734638   14.316067550   13.983735540  -10.020343321   -9.888667088   14.316067550   13.983735540    0.704350255
  16   13.191994164   13.191994164   -4.893632674    5.025308908  -10.020343321   -9.888667088   24.204734638   14.316067550   13.983735540  -10.020343321   -9.888667088   14.316067550   13.983735540    0.704350255
 
       k = -0.000000 -0.000000  0.500000 ik =   3 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363334822   -3.363334822  -16.862732010   12.904070411   -7.098802242  -11.057463840    7.884295936   -3.173167904   -3.240607971   -7.098802242  -11.057463840   -3.173167904   -3.240607971    0.645363835
   2   -3.363334822   -3.363334822  -16.862732010   12.904070411   -7.098802242  -11.057463840    7.884295936   -3.173167904   -3.240607971   -7.098802242  -11.057463840   -3.173167904   -3.240607971    0.645363835
   3   -0.707387028   -0.707387028  -14.858067592   11.146820253   -6.984989194  -10.696236532    9.790903258   -0.905333274   -0.843872566   -6.984989194  -10.696236532   -0.905333274   -0.843872566    0.689508087
   4   -0.707387028   -0.707387028  -14.858067592   11.146820253   -6.984989194  -10.696236532    9.790903258   -0.905333274   -0.843872566   -6.984989194  -10.696236532   -0.905333274   -0.843872566    0.689508087
   5    5.057476426    5.057476426  -13.164625683    9.669017593   -7.914833820  -11.410441910   16.470429286    5.059987376    5.059421618   -7.914833820  -11.410441910    5.059987376    5.059421618    0.774683425
   6    5.057476426    5.057476426  -13.164625683    9.669017593   -7.914833820  -11.410441910   16.470429286    5.059987376    5.059421618   -7.914833820  -11.410441910    5.059987376    5.059421618    0.774683425
   7    5.089199671    5.089199671  -13.146654661    9.610598451   -7.872083982  -11.408140192   16.498741506    5.090601314    5.090285752   -7.872083982  -11.408140192    5.090601314    5.090285752    0.774862518
   8    5.089199671    5.089199671  -13.146654661    9.610598451   -7.872083982  -11.408140192   16.498741506    5.090601314    5.090285752   -7.872083982  -11.408140192    5.090601314    5.090285752    0.774862518
   9    7.805249821    7.805249821   -5.919220068    4.344413182   -7.989220508   -9.564027394   18.355578141    8.791550747    8.573469508   -7.989220508   -9.564027394    8.791550747    8.573469508    0.778889755
  10    7.805249821    7.805249821   -5.919220068    4.344413182   -7.989220508   -9.564027394   18.355578141    8.791550747    8.573469508   -7.989220508   -9.564027394    8.791550747    8.573469508    0.778889755
  11    9.594432012    9.594432012   -5.061335458    3.866174666   -7.854716863   -9.049877655   19.478049220   10.428171565   10.241164467   -7.854716863   -9.049877655   10.428171565   10.241164467    0.775700821
  12    9.594432012    9.594432012   -5.061335458    3.866174666   -7.854716863   -9.049877655   19.478049220   10.428171565   10.241164467   -7.854716863   -9.049877655   10.428171565   10.241164467    0.775700821
  13    9.608879678    9.608879678   -5.053623390    3.856939857   -7.848626515   -9.045310048   19.486508284   10.441198236   10.254460326   -7.848626515   -9.045310048   10.441198236   10.254460326    0.775641300
  14    9.608879678    9.608879678   -5.053623390    3.856939857   -7.848626515   -9.045310048   19.486508284   10.441198236   10.254460326   -7.848626515   -9.045310048   10.441198236   10.254460326    0.775641300
  15   14.000427278   14.000427278   -2.390746586    4.730532252   -9.985479865   -7.645694200   21.840509697   14.194815497   14.146947419   -9.985479865   -7.645694200   14.194815497   14.146947419    0.753750107
  16   14.000427278   14.000427278   -2.390746586    4.730532252   -9.985479865   -7.645694200   21.840509697   14.194815497   14.146947419   -9.985479865   -7.645694200   14.194815497   14.146947419    0.753750107
 
       k =  0.000000  0.250000  0.250000 ik =   4 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -4.614922720   -4.614922720  -17.116299175   13.374859792   -6.889541873  -10.630981256    6.292566490   -4.338414766   -4.440414143   -6.889541873  -10.630981256   -4.338414766   -4.440414143    0.631115940
   2   -4.614922720   -4.614922720  -17.116299175   13.374859792   -6.889541873  -10.630981256    6.292566490   -4.338414766   -4.440414143   -6.889541873  -10.630981256   -4.338414766   -4.440414143    0.631115940
