# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 60

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.26          0.00 B        0          0.00 B
    2.51          0.00 B        0          0.00 B
    2.76          0.00 B        4       22.52 KiB
    3.01          0.00 B        4       22.52 KiB
    3.26          0.00 B        4        7.54 KiB
    3.51          0.00 B        5       28.13 MiB
    3.76          0.00 B        7        1.35 GiB
    4.01          0.00 B        9        1.35 GiB
    4.26          0.00 B       13        1.35 GiB
    4.51          0.00 B       17        1.35 GiB
    4.76          0.00 B       17        1.35 GiB
    5.01          0.00 B       17        1.35 GiB
    5.26          0.00 B       17        1.35 GiB
    5.51          0.00 B       17        1.35 GiB
    5.76          0.00 B       15       28.14 MiB
    6.02          0.00 B       15       28.14 MiB
    6.27          0.00 B       15       28.14 MiB
    6.52          0.00 B       15       28.14 MiB
    6.77          0.00 B       15       28.14 MiB
    7.02          0.00 B       15       28.14 MiB
    7.27          0.00 B       18       42.22 MiB
    7.52          0.00 B       20       56.29 MiB
    7.77          0.00 B       22      126.60 MiB
    8.02          0.00 B       26        1.39 GiB
    8.27          0.00 B       30        1.39 GiB
    8.52          0.00 B       31        1.40 GiB
    8.77          0.00 B       31        1.40 GiB
    9.03          0.00 B       32        1.41 GiB
    9.28          0.00 B       35        1.43 GiB
    9.53          0.00 B       38        1.44 GiB
    9.78          0.00 B       28       28.15 MiB
   10.03          0.00 B       25       28.15 MiB
   10.28          0.00 B       27       28.17 MiB
   10.53          0.00 B       28      478.16 MiB
   10.78          0.00 B       35      478.16 MiB
   11.03          0.00 B       36      492.22 MiB
   11.28          0.00 B       36      492.22 MiB
   11.53          0.00 B       36      492.22 MiB
   11.78          0.00 B       39      492.23 MiB
   12.03          0.00 B       41      506.29 MiB
   12.28          0.00 B       45      731.29 MiB
   12.53          0.00 B       47      970.36 MiB
   12.78          0.00 B       47      745.36 MiB
   13.03          0.00 B       49      745.36 MiB
   13.28          0.00 B       49      745.36 MiB
   13.53          0.00 B       49      745.36 MiB
   13.79          0.00 B       50      745.60 MiB
   14.04          0.00 B       51      745.83 MiB
   14.29          0.00 B       53      746.30 MiB
   14.54          0.00 B       54      746.53 MiB
   14.79          0.00 B       54      746.77 MiB
   15.04          0.00 B       54      746.77 MiB
   15.29          0.00 B       57      748.26 MiB
   15.74          0.00 B       18       13.00 KiB
   16.36          0.00 B       18       13.00 KiB
   16.62          0.00 B       18       13.00 KiB
   16.87          0.00 B       18       13.00 KiB
   17.12          0.00 B       18       13.00 KiB
   17.37          0.00 B       18       13.00 KiB
   17.55          0.00 B       18       13.00 KiB
