# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 609

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   40.61          0.00 B       77        2.82 GiB
   40.86          0.00 B       77        2.82 GiB
   41.11          0.00 B       77        2.82 GiB
   41.36          0.00 B       77        2.82 GiB
   41.61          0.00 B       77        2.82 GiB
   41.86          0.00 B       77        2.82 GiB
   42.11          0.00 B       77        2.82 GiB
   42.36          0.00 B       77        2.82 GiB
   42.61          0.00 B       77        2.82 GiB
   42.86          0.00 B       77        2.82 GiB
   43.11          0.00 B       77        1.81 GiB
   43.37          0.00 B       77        1.81 GiB
   43.62          0.00 B       77        2.82 GiB
   43.87          0.00 B       77        2.82 GiB
   44.12          0.00 B       77        2.82 GiB
   44.37          0.00 B       77        2.82 GiB
   44.62          0.00 B       77        2.82 GiB
   44.87          0.00 B       77        1.81 GiB
   45.12          0.00 B       77        1.81 GiB
   45.37          0.00 B       77        2.82 GiB
   45.62          0.00 B       77        2.82 GiB
   45.87          0.00 B       77        2.82 GiB
   46.12          0.00 B       77        2.82 GiB
   46.37          0.00 B       77        2.82 GiB
   46.63          0.00 B       77        2.82 GiB
   46.88          0.00 B       77        1.81 GiB
   47.13          0.00 B       74        2.31 GiB
   47.38          0.00 B       77        2.82 GiB
   47.63          0.00 B       77        2.82 GiB
   47.88          0.00 B       77        2.82 GiB
   48.13          0.00 B       77        2.82 GiB
   48.38          0.00 B       77        2.82 GiB
   48.63          0.00 B       73        1.81 GiB
   48.88          0.00 B       73        1.81 GiB
   49.13          0.00 B       73        1.81 GiB
   49.38          0.00 B       73        1.81 GiB
   49.63          0.00 B       73        1.81 GiB
   49.89          0.00 B       73        1.81 GiB
   50.14          0.00 B       73        1.81 GiB
   50.39          0.00 B       70        1.30 GiB
   50.64          0.00 B       70        1.30 GiB
   50.89          0.00 B       70        1.30 GiB
   51.14          0.00 B       70        1.30 GiB
   51.39          0.00 B       70        1.30 GiB
   51.64          0.00 B       70        1.30 GiB
   51.89          0.00 B       70        1.30 GiB
   52.14          0.00 B       67      810.68 MiB
   52.39          0.00 B       67      810.68 MiB
   52.64          0.00 B       67      810.68 MiB
   52.89          0.00 B       67      810.68 MiB
   53.15          0.00 B       67      810.68 MiB
   53.40          0.00 B       67      810.68 MiB
   53.65          0.00 B       67      810.68 MiB
