# Generated by LORRAX 0.1.0 at 2026-05-13 18:02:10 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	              33	       -2.326587	       +2.016994	      +42.289590	     +405.625149	      -11.118059	       +0.000000	       -2.752012	     -935.004603	       -1.411865	       -0.000001	     +434.044668	     +325.125104
               0	              34	       +1.113320	       +5.456901	      +24.044532	     +430.763811	       -6.081574	       +0.000000	       -3.861008	       -5.956389	       -1.411952	       -0.000001	     +444.865760	     +353.208684
               0	              35	       +1.113320	       +5.456901	      +24.044532	     +430.763811	       -6.081574	       +0.000000	       -3.865995	       -7.046246	       -1.411952	       -0.000001	     +444.860774	     +353.223378
               0	              36	       +3.714014	       +8.057594	      +27.477083	     +337.328770	       -5.749533	       +0.000000	       -3.980108	      -69.725513	       -1.412010	       -0.000001	     +355.076213	     +282.011765
               0	              37	       +3.714014	       +8.057594	      +27.477083	     +337.328770	       -5.749533	       +0.000000	       -3.979635	      -68.855851	       -1.412010	       -0.000001	     +355.076686	     +281.989759
               0	              38	       +3.951991	       +8.295572	      +21.757483	     +136.142085	       -3.986012	       +0.000000	       -3.725539	       +5.227822	       -1.412287	       -0.000001	     +150.188017	     +118.563214
               0	              39	       +3.951991	       +8.295572	      +21.757483	     +136.142085	       -3.986012	       +0.000000	       -3.726056	       +5.482041	       -1.412287	       -0.000001	     +150.187500	     +118.573075
               0	              40	       +4.776397	       +9.119978	      +14.550336	      +23.819866	       -2.537055	       +0.000000	       -3.672303	       -4.996936	       -1.412177	       -0.000001	      +32.160844	      +26.861534
               0	              41	       +4.776397	       +9.119978	      +14.550336	      +23.819866	       -2.537055	       +0.000000	       -3.672401	       -5.680667	       -1.412177	       -0.000001	      +32.160746	      +26.860960
               0	              42	       +5.486224	       +9.829804	      +34.714249	     +363.101468	       -5.826263	       +0.000000	       -4.342973	    -1210.534213	       -1.412250	       -0.000001	     +387.646481	     +317.740490
               0	              43	       +5.486224	       +9.829804	      +34.714249	     +363.101468	       -5.826263	       +0.000000	       -4.343797	    -1227.222001	       -1.412250	       -0.000001	     +387.645657	     +317.778056
               0	              44	       +5.562327	       +9.905908	      +34.721519	     +361.614530	       -5.826253	       +0.000000	       -4.346777	    +1279.765362	       -1.412101	       -0.000001	     +386.163019	     +323.274700
               0	              45	       +5.562327	       +9.905908	      +34.721519	     +361.614530	       -5.826253	       +0.000000	       -4.347416	    +1276.569713	       -1.412101	       -0.000001	     +386.162380	     +323.121466
               0	              46	       +7.461580	      +11.805161	      +39.388634	     +333.305640	       -5.649268	       +0.000000	       -4.313995	    -1046.886282	       -1.241035	       -0.000001	     +362.731011	     +362.731011
               0	              47	       +7.461580	      +11.805161	      +39.388634	     +333.305640	       -5.649268	       +0.000000	       -4.314663	    -1009.957023	       -1.241035	       -0.000001	     +362.730343	     +362.730343
               0	              48	       +7.478940	      +11.822521	      +39.423059	     +334.269121	       -5.653757	       +0.000000	       -4.288479	    +1078.452700	       -1.239593	       -0.000001	     +363.749943	     +363.749943
               0	              49	       +7.478940	      +11.822521	      +39.423059	     +334.269121	       -5.653757	       +0.000000	       -4.288798	    +1165.617547	       -1.239593	       -0.000001	     +363.749624	     +363.749624
               0	              50	       +7.640758	      +11.984339	      +39.779355	     +284.093218	       -5.735572	       +0.000000	       -4.282953	      -50.934053	       -1.226312	       -0.000001	     +313.854048	     +313.854048
               0	              51	       +7.640758	      +11.984339	      +39.779355	     +284.093218	       -5.735572	       +0.000000	       -4.282570	      -26.325688	       -1.226312	       -0.000001	     +313.854432	     +313.854432
               0	              52	      +10.750584	      +15.094165	      +46.967980	     +316.339467	       -5.321330	       +0.000000	       -4.111669	    +2058.015388	       -1.016929	       -0.000001	     +353.874448	     +353.874448
               0	              53	      +10.750584	      +15.094165	      +46.967980	     +316.339467	       -5.321330	       +0.000000	       -4.111539	    +2282.374620	       -1.016929	       -0.000001	     +353.874578	     +353.874578
               0	              54	      +10.765263	      +15.108843	      +46.999011	     +316.362800	       -5.324164	       +0.000000	       -4.116920	    -2067.492008	       -1.016110	       -0.000001	     +353.920727	     +353.920727
               0	              55	      +10.765263	      +15.108843	      +46.999011	     +316.362800	       -5.324164	       +0.000000	       -4.116211	    -2154.917241	       -1.016110	       -0.000001	     +353.921436	     +353.921436
               0	              56	      +10.847685	      +15.191265	      +27.096364	     +359.967423	       -3.361477	       +0.000000	       -3.403087	      -18.216029	       -1.011536	       -0.000001	     +380.299222	     +380.299222
               0	              57	      +10.847685	      +15.191265	      +27.096364	     +359.967423	       -3.361477	       +0.000000	       -3.402233	      -18.379987	       -1.011536	       -0.000001	     +380.300076	     +380.300076
               0	              58	      +11.103919	      +15.447499	      +52.071325	     +331.684137	       -5.893308	       +0.000000	       -4.164078	      -27.444863	       -0.997576	       -0.000001	     +373.698076	     +373.698076
               0	              59	      +11.103919	      +15.447499	      +52.071325	     +331.684137	       -5.893308	       +0.000000	       -4.163595	      -58.777128	       -0.997576	       -0.000001	     +373.698558	     +373.698558
               0	              60	      +11.110759	      +15.454340	      +52.215015	     +331.429403	       -5.908007	       +0.000000	       -4.135312	     +133.901188	       -0.997209	       -0.000001	     +373.601098	     +373.601098
