JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 120, FFT grid: (75, 75, 200), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['I', 'V']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/VI3/04_gw_6x6_600b_2026-06-17/kin_ion.h5...
Wrote kin_ion.h5: shape (36, 120, 120), sys_dim=2
--- Timing (seconds) ---
Total recorded: 70.494 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1      36.221      36.221   51.4
build_V_loc                                            1       2.217       2.217    3.1
k0                                                     1       2.123       2.123    3.0
k1                                                     1       1.521       1.521    2.2
k2                                                     1       1.496       1.496    2.1
k3                                                     1       1.501       1.501    2.1
k4                                                     1       0.354       0.354    0.5
k5                                                     1       0.380       0.380    0.5
k6                                                     1       0.418       0.418    0.6
k7                                                     1       1.570       1.570    2.2
k8                                                     1       1.553       1.553    2.2
k9                                                     1       0.396       0.396    0.6
k10                                                    1       0.373       0.373    0.5
k11                                                    1       0.377       0.377    0.5
k12                                                    1       0.413       0.413    0.6
k13                                                    1       0.895       0.895    1.3
k14                                                    1       1.802       1.802    2.6
k15                                                    1       0.418       0.418    0.6
k16                                                    1       0.412       0.412    0.6
k17                                                    1       0.785       0.785    1.1
k18                                                    1       0.845       0.845    1.2
k19                                                    1       0.782       0.782    1.1
k20                                                    1       0.972       0.972    1.4
k21                                                    1       0.931       0.931    1.3
k22                                                    1       0.881       0.881    1.2
k23                                                    1       0.812       0.812    1.2
k24                                                    1       0.599       0.599    0.9
k25                                                    1       0.977       0.977    1.4
k26                                                    1       0.914       0.914    1.3
k27                                                    1       0.552       0.552    0.8
k28                                                    1       1.018       1.018    1.4
k29                                                    1       0.924       0.924    1.3
k30                                                    1       0.609       0.609    0.9
k31                                                    1       0.962       0.962    1.4
k32                                                    1       0.888       0.888    1.3
k33                                                    1       0.873       0.873    1.2
k34                                                    1       0.779       0.779    1.1
k35                                                    1       0.902       0.902    1.3
write_h5                                               1       0.048       0.048    0.1
