JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 120, FFT grid: (75, 75, 200), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['I', 'V']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/VI3/04_gw_6x6_600b_2026-06-17/kin_ion.h5...
Wrote kin_ion.h5: shape (36, 120, 120), sys_dim=2
--- Timing (seconds) ---
Total recorded: 83.320 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1      49.209      49.209   59.1
build_V_loc                                            1       2.236       2.236    2.7
k0                                                     1       1.969       1.969    2.4
k1                                                     1       1.567       1.567    1.9
k2                                                     1       1.548       1.548    1.9
k3                                                     1       1.549       1.549    1.9
k4                                                     1       0.394       0.394    0.5
k5                                                     1       0.375       0.375    0.5
k6                                                     1       0.397       0.397    0.5
k7                                                     1       1.512       1.512    1.8
k8                                                     1       1.465       1.465    1.8
k9                                                     1       0.376       0.376    0.5
k10                                                    1       0.418       0.418    0.5
k11                                                    1       0.421       0.421    0.5
k12                                                    1       0.564       0.564    0.7
k13                                                    1       0.798       0.798    1.0
k14                                                    1       1.666       1.666    2.0
k15                                                    1       0.377       0.377    0.5
k16                                                    1       0.667       0.667    0.8
k17                                                    1       0.868       0.868    1.0
k18                                                    1       0.837       0.837    1.0
k19                                                    1       0.601       0.601    0.7
k20                                                    1       0.820       0.820    1.0
k21                                                    1       1.036       1.036    1.2
k22                                                    1       0.864       0.864    1.0
k23                                                    1       0.833       0.833    1.0
k24                                                    1       0.679       0.679    0.8
k25                                                    1       0.989       0.989    1.2
k26                                                    1       0.834       0.834    1.0
k27                                                    1       0.857       0.857    1.0
k28                                                    1       0.793       0.793    1.0
k29                                                    1       0.825       0.825    1.0
k30                                                    1       0.854       0.854    1.0
k31                                                    1       0.568       0.568    0.7
k32                                                    1       0.862       0.862    1.0
k33                                                    1       0.838       0.838    1.0
k34                                                    1       0.779       0.779    0.9
k35                                                    1       1.023       1.023    1.2
write_h5                                               1       0.047       0.047    0.1
