# Breit Σ_xc comparison (eV).  std = sigSX + sigCOH (charge Σ_xc)
# screened = Σ^B from screened W^{ij}; unscr = Σ^B from bare V^{ij}
#  k    n     sigSX      sigCOH        std    SigB_scr   SigB_unscr   std+Bscr  std+Bunscr
   0    0   -29.33095   -10.44263   -39.77358   -0.025872   -0.025879   -39.79946   -39.79946
   0    1   -29.33202   -10.44519   -39.77721   -0.025881   -0.025888   -39.80309   -39.80310
   0    2   -25.61555   -10.41363   -36.02918   -0.024881   -0.024889   -36.05407   -36.05407
   0    3   -25.61241   -10.41604   -36.02845   -0.024886   -0.024895   -36.05334   -36.05335
   0    4   -24.11980    -9.78071   -33.90051   -0.040235   -0.040249   -33.94074   -33.94076
   0    5   -24.11209    -9.78058   -33.89267   -0.040389   -0.040403   -33.93305   -33.93307
   0    6   -23.89800    -9.78424   -33.68224   -0.031621   -0.031631   -33.71386   -33.71387
   0    7   -23.88521    -9.78527   -33.67048   -0.031922   -0.031932   -33.70240   -33.70241
   0    8   -24.16707    -9.77873   -33.94580   -0.019081   -0.019085   -33.96488   -33.96489
   0    9   -24.16457    -9.77856   -33.94313   -0.018985   -0.018990   -33.96211   -33.96212
   0   10   -19.19357    -9.77656   -28.97013   -0.027581   -0.027590   -28.99771   -28.99772
   0   11   -19.16813    -9.77639   -28.94452   -0.027710   -0.027719   -28.97223   -28.97224
   0   12   -19.03786    -9.75089   -28.78875   -0.020382   -0.020388   -28.80913   -28.80913
   0   13   -19.02666    -9.75197   -28.77864   -0.020476   -0.020481   -28.79911   -28.79912
   0   14   -18.97632    -9.73765   -28.71397   -0.016681   -0.016686   -28.73065   -28.73066
   0   15   -18.96474    -9.73731   -28.70206   -0.016562   -0.016567   -28.71862   -28.71863
   0   16   -10.45252    -4.25386   -14.70637   -0.000196   -0.000196   -14.70657   -14.70657
   0   17   -10.45046    -4.24437   -14.69483   -0.000140   -0.000140   -14.69497   -14.69497
   0   18   -10.49154    -4.21552   -14.70706   -0.000068   -0.000068   -14.70713   -14.70713
   0   19   -10.41278    -4.21698   -14.62976   -0.000088   -0.000088   -14.62985   -14.62985
   0   20   -10.58168    -4.26596   -14.84764   -0.000092   -0.000092   -14.84773   -14.84773
   0   21   -10.58345    -4.26562   -14.84907   -0.000077   -0.000077   -14.84914   -14.84914
   0   22   -10.50467    -4.27112   -14.77579   -0.000125   -0.000125   -14.77591   -14.77591
   0   23   -10.50758    -4.27158   -14.77916   -0.000113   -0.000113   -14.77927   -14.77927
   0   24   -10.57034    -4.26942   -14.83976   -0.000071   -0.000071   -14.83984   -14.83984
   0   25   -10.57064    -4.26943   -14.84007   -0.000067   -0.000067   -14.84014   -14.84014
   0   26   -10.50002    -4.27861   -14.77862   -0.000113   -0.000113   -14.77874   -14.77874
   0   27   -10.50076    -4.27859   -14.77935   -0.000109   -0.000109   -14.77945   -14.77945
   0   28    -8.46036    -3.93592   -12.39628   -0.001149   -0.001149   -12.39743   -12.39743
   0   29    -7.97894    -3.83318   -11.81212   -0.000746   -0.000747   -11.81286   -11.81286
   0   30    -8.34923    -3.81579   -12.16502   -0.000948   -0.000949   -12.16597   -12.16597
   0   31    -7.85961    -3.68042   -11.54003   -0.000464   -0.000464   -11.54049   -11.54049
   0   32    -8.24966    -3.78781   -12.03747   -0.000683   -0.000683   -12.03816   -12.03816
   0   33    -8.52884    -3.93637   -12.46522   -0.000896   -0.000896   -12.46611   -12.46611
   0   34    -7.95197    -3.65418   -11.60615   -0.000240   -0.000240   -11.60639   -11.60639
   0   35    -8.19550    -3.72928   -11.92478   -0.000577   -0.000577   -11.92536   -11.92536
   0   36    -7.93958    -3.67749   -11.61708   -0.000216   -0.000216   -11.61729   -11.61729
   0   37    -8.05106    -3.63604   -11.68710   -0.000421   -0.000421   -11.68752   -11.68752
