kPartitionId           	
kKernel                	, kernel = loop_convert_fusion_1, launch dimensions = blocks: {1, 1, 1}, threads/block: {1, 1, 1}, cluster_dim = nullopt
kCustomCall            	
kKernel                	, kernel = input_transpose_fusion_4, launch dimensions = blocks: {34560, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_3, launch dimensions = blocks: {46080, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = input_transpose_fusion_2, launch dimensions = blocks: {46080, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_slice_fusion, launch dimensions = blocks: {300, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_multiply_fusion_1, launch dimensions = blocks: {1728, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_transpose_fusion_12, launch dimensions = blocks: {51840, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllToAllStart         	
kAllToAllDone          	
kKernel                	, kernel = loop_transpose_fusion_11, launch dimensions = blocks: {51840, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherStart        	
kKernel                	, kernel = loop_convert_fusion, launch dimensions = blocks: {1, 1, 1}, threads/block: {60, 1, 1}, cluster_dim = nullopt
kAllGatherDone         	
kKernel                	, kernel = loop_transpose_fusion_7, launch dimensions = blocks: {103680, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kGemm                  	
kKernel                	, kernel = input_transpose_fusion_6, launch dimensions = blocks: {3840, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_transpose_fusion_10, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherStart        	
kFft                   	
kGemm                  	
kKernel                	, kernel = loop_transpose_fusion_9, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_transpose_fusion_10, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kFft                   	
kKernel                	, kernel = loop_transpose_fusion_9, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_transpose_fusion_8, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_transpose_fusion_8, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kFft                   	
kKernel                	, kernel = loop_multiply_fusion, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_transpose_fusion_3, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_transpose_fusion_2, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_transpose_fusion_1, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft                   	
kKernel                	, kernel = loop_transpose_fusion, launch dimensions = blocks: {207360, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherDone         	
kAllToAllStart         	
kKernel                	, kernel = input_transpose_fusion_5, launch dimensions = blocks: {7680, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllToAllDone          	
kAllGatherStart        	
kKernel                	, kernel = input_transpose_fusion_1, launch dimensions = blocks: {110592, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherDone         	
kCollectivePermuteStart	
kKernel                	, kernel = input_transpose_fusion_7, launch dimensions = blocks: {14400, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kCollectivePermuteDone 	
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {103680, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
