# Generated by LORRAX unknown at 2026-07-21 07:45:51 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.521192              sigC=    4.187536+  0.000000i  sigXC=  -35.333657+  0.000000i  VH=  589.287635  Eo=  -65.461080
n=1   sigX=  -39.521192              sigC=    4.187536+  0.000000i  sigXC=  -35.333657+  0.000000i  VH=  589.287635  Eo=  -65.461080
n=2   sigX=  -33.467440              sigC=    3.915255+ -0.001248i  sigXC=  -29.552185+ -0.001248i  VH=  584.644484  Eo=  -42.076878
n=3   sigX=  -33.467440              sigC=    3.915255+ -0.001248i  sigXC=  -29.552185+ -0.001248i  VH=  584.644484  Eo=  -42.076878
n=4   sigX=  -32.810493              sigC=    4.046723+  0.000445i  sigXC=  -28.763770+  0.000445i  VH=  576.972062  Eo=  -39.554728
n=5   sigX=  -32.810493              sigC=    4.046723+  0.000445i  sigXC=  -28.763770+  0.000445i  VH=  576.972062  Eo=  -39.554728
n=6   sigX=  -32.795633              sigC=    3.938717+  0.000816i  sigXC=  -28.856916+  0.000816i  VH=  587.154521  Eo=  -39.383435
n=7   sigX=  -32.795633              sigC=    3.938717+  0.000816i  sigXC=  -28.856916+  0.000816i  VH=  587.154521  Eo=  -39.383435
n=8   sigX=  -21.924352              sigC=    6.305423+  0.000001i  sigXC=  -15.618929+  0.000001i  VH=  383.177273  Eo=  -19.374135
n=9   sigX=  -21.924352              sigC=    6.305423+  0.000001i  sigXC=  -15.618929+  0.000001i  VH=  383.177273  Eo=  -19.374135
n=10  sigX=  -21.735210              sigC=    6.293912+  0.000003i  sigXC=  -15.441298+  0.000003i  VH=  354.521777  Eo=  -18.177279
n=11  sigX=  -21.735210              sigC=    6.293912+  0.000003i  sigXC=  -15.441298+  0.000003i  VH=  354.521777  Eo=  -18.177279
n=12  sigX=  -17.671597              sigC=    4.430254+  0.000001i  sigXC=  -13.241343+  0.000001i  VH=  398.617367  Eo=  -10.875837
