# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=26   E_DFT=   -3.056554  Re= -480.290514  Im=-1178659217.052585
n=27   E_DFT=   -3.056552  Re=  131.687916  Im=377882132.834344
n=28   E_DFT=   -2.954672  Re=   33.347621  Im=-1265567323.544876
n=29   E_DFT=   -2.954668  Re=  433.991427  Im=-362112548.849696
n=30   E_DFT=   -1.863695  Re=  -56.546882  Im=-125829191.875465
n=31   E_DFT=   -1.863691  Re=   36.640902  Im=-126166761.293824
n=32   E_DFT=   -1.263962  Re=  240.495832  Im=113026546.951023
n=33   E_DFT=   -1.263960  Re=  272.035183  Im=162009503.313058
n=34   E_DFT=    2.649821  Re=  571.864199  Im=191121992.915995
n=35   E_DFT=    2.649825  Re=  557.347360  Im=231269465.834950
n=36   E_DFT=    2.893171  Re=  -30.124304  Im=24980338.136495
n=37   E_DFT=    2.893182  Re=  -28.888313  Im=77566748.848817
n=38   E_DFT=    3.304530  Re= -297.452830  Im=329498709.604214
n=39   E_DFT=    3.304542  Re= -344.192040  Im=331199330.287640
n=40   E_DFT=    5.155230  Re= 1338.317767  Im=189174109.386618
n=41   E_DFT=    5.155240  Re= 1245.903291  Im=275371802.123246
n=42   E_DFT=    5.593483  Re=  503.085742  Im=-194913091.721550
n=43   E_DFT=    5.593484  Re=  510.324295  Im=-226849547.433739
n=44   E_DFT=    7.168475  Re=  747.767941  Im=332639267.413543
n=45   E_DFT=    7.168476  Re=  815.568703  Im=318490755.446882
n=46   E_DFT=    7.616636  Re= -165.207754  Im=-70897233.708175
n=47   E_DFT=    7.616647  Re= -135.817270  Im=-34787626.759788
n=48   E_DFT=    7.719616  Re=   80.479013  Im=34759250.201013
n=49   E_DFT=    7.719623  Re=  148.609016  Im=55665945.602798
n=50   E_DFT=    9.143772  Re= -196.127365  Im=3613760.987333
n=51   E_DFT=    9.143772  Re= -176.924483  Im=6317700.782208
n=52   E_DFT=    9.711154  Re= -549.764878  Im=-89246785.958620
n=53   E_DFT=    9.711160  Re= -522.542442  Im=-107158216.293942
n=54   E_DFT=   10.065487  Re=  -16.157337  Im=249926087.612617
n=55   E_DFT=   10.065487  Re=  -20.840840  Im=252895134.714106
n=56   E_DFT=   10.144665  Re= -535.694394  Im=-51241204.738355
n=57   E_DFT=   10.144670  Re= -543.129072  Im=-60999351.230735
n=58   E_DFT=   12.357075  Re= -205.442490  Im=-147276110.788659
n=59   E_DFT=   12.357075  Re= -254.893779  Im=-151254918.442151
n=60   E_DFT=   13.541713  Re=   32.221882  Im=-6411696.539185
n=61   E_DFT=   13.541718  Re=   39.916117  Im=-17369455.663561
n=62   E_DFT=   13.877040  Re= -223.524178  Im=76003588.122019
n=63   E_DFT=   13.877047  Re= -196.705916  Im=64911119.656782
n=64   E_DFT=   14.840711  Re=  106.209022  Im=138861200.685745
n=65   E_DFT=   14.840715  Re=  146.960661  Im=151680412.197819
n=66   E_DFT=   15.590616  Re= -371.780465  Im=38740580.723787
n=67   E_DFT=   15.590617  Re= -345.274413  Im=55210768.944337
n=68   E_DFT=   16.288930  Re=  732.581660  Im=193405885.573080
n=69   E_DFT=   16.288930  Re=  725.139185  Im=168788014.545903
n=70   E_DFT=   17.050850  Re=   92.322479  Im=82999350.709251
n=71   E_DFT=   17.050854  Re=  106.144115  Im=88596071.709287
n=72   E_DFT=   17.207914  Re=  -13.234193  Im=-36317491.477566
n=73   E_DFT=   17.207920  Re=   -6.198887  Im=-35026652.334091
n=74   E_DFT=   17.657365  Re=  -66.516299  Im=-15705455.994323
n=75   E_DFT=   17.657365  Re=  -61.495773  Im=-10616825.439480
n=76   E_DFT=   19.467500  Re=  144.718662  Im=119274347.199368
n=77   E_DFT=   19.467505  Re=   91.245994  Im=140043822.025833
n=78   E_DFT=   19.553018  Re= -397.450799  Im=43226660.029747
n=79   E_DFT=   19.553022  Re= -461.441668  Im=49610554.691998

k-point 2:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.392905  Re= 3601.559916  Im=17133986.171543
n=1    E_DFT=  -65.392905  Re= 3325.385478  Im=20052733.357927
n=2    E_DFT=  -42.080513  Re=-1313.797836  Im=-594881090.620740
n=3    E_DFT=  -42.080513  Re=-1712.619680  Im=464964655.511017
n=4    E_DFT=  -39.576739  Re= -318.949203  Im=-455483671.383185
n=5    E_DFT=  -39.576739  Re=-1019.575836  Im=472173921.846560
n=6    E_DFT=  -39.426655  Re=-2852.378181  Im=-323674689.584054
n=7    E_DFT=  -39.426654  Re=-2859.835172  Im=298044797.678643
n=8    E_DFT=  -18.084560  Re= -464.100750  Im=161759415.014007
n=9    E_DFT=  -18.084549  Re= -556.475508  Im=131016200.740980
n=10   E_DFT=  -17.638845  Re= 3265.574630  Im=182802431.930530
