# Generated by LORRAX 0.1.0 at 2026-07-08 08:54:32 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -0.860497              sigCOH=   -8.801636              sigTOT=   -9.662133              VH=  252.011730+ -0.000000i  Eo=  -59.162438
n=1   sigSX=   -0.860497              sigCOH=   -8.801636              sigTOT=   -9.662133              VH=  252.011730+ -0.000000i  Eo=  -59.162438
n=2   sigSX=   -0.860497              sigCOH=  -10.727576              sigTOT=  -11.588073              VH=  334.031803+  0.000000i  Eo=  -33.863351
n=3   sigSX=   -0.860497              sigCOH=  -10.727576              sigTOT=  -11.588073              VH=  334.031803+  0.000000i  Eo=  -33.863351
n=4   sigSX=   -0.860497              sigCOH=  -11.049176              sigTOT=  -11.909673              VH=  337.412024+  0.000000i  Eo=  -31.603030
n=5   sigSX=   -0.860497              sigCOH=  -11.049176              sigTOT=  -11.909673              VH=  337.412024+  0.000000i  Eo=  -31.603030
n=6   sigSX=   -0.860497              sigCOH=  -10.668985              sigTOT=  -11.529482              VH=  342.629804+  0.000000i  Eo=  -31.418775
n=7   sigSX=   -0.860497              sigCOH=  -10.668985              sigTOT=  -11.529482              VH=  342.629805+  0.000000i  Eo=  -31.418775
n=8   sigSX=   -0.860497              sigCOH=   -9.785046              sigTOT=  -10.645543              VH=  242.337388+ -0.000000i  Eo=  -11.489428
n=9   sigSX=   -0.860497              sigCOH=   -9.785046              sigTOT=  -10.645543              VH=  242.337388+ -0.000000i  Eo=  -11.489428
n=10  sigSX=   -0.860497              sigCOH=  -10.689841              sigTOT=  -11.550338              VH=  248.239372+ -0.000000i  Eo=  -10.132130
n=11  sigSX=   -0.860497              sigCOH=  -10.689841              sigTOT=  -11.550338              VH=  248.239372+ -0.000000i  Eo=  -10.132130
n=12  sigSX=   -0.860497              sigCOH=   -6.671245              sigTOT=   -7.531742              VH=  159.187236+ -0.000000i  Eo=   -3.081456
n=13  sigSX=   -0.860497              sigCOH=   -6.671245              sigTOT=   -7.531742              VH=  159.187236+ -0.000000i  Eo=   -3.081456
n=14  sigSX=   -0.860497              sigCOH=   -9.808927              sigTOT=  -10.669424              VH=  349.022294+  0.000000i  Eo=    0.323678
n=15  sigSX=   -0.860497              sigCOH=   -9.808927              sigTOT=  -10.669424              VH=  349.022294+  0.000000i  Eo=    0.323678
n=16  sigSX=   -0.860497              sigCOH=   -9.735623              sigTOT=  -10.596120              VH=  340.458499+  0.000000i  Eo=    0.343279
n=17  sigSX=   -0.860497              sigCOH=   -9.735623              sigTOT=  -10.596120              VH=  340.458499+  0.000000i  Eo=    0.343279
