# bgw_ik  gw_ki  kx       ky       kz       band  BGW_Cor'     GW_sigC       diff
      1      0   0.00000  0.00000  0.00000    19     2.501347          nan        +nan
      1      0   0.00000  0.00000  0.00000    20     2.501347          nan        +nan
      1      0   0.00000  0.00000  0.00000    21     2.296847          nan        +nan
      1      0   0.00000  0.00000  0.00000    22     2.296847          nan        +nan
      1      0   0.00000  0.00000  0.00000    23     2.241335          nan        +nan
      1      0   0.00000  0.00000  0.00000    24     2.241335          nan        +nan
      1      0   0.00000  0.00000  0.00000    25     1.647906          nan        +nan
      1      0   0.00000  0.00000  0.00000    26     1.647906          nan        +nan
      1      0   0.00000  0.00000  0.00000    27    -2.570384          nan        +nan
      1      0   0.00000  0.00000  0.00000    28    -2.570384          nan        +nan
      1      0   0.00000  0.00000  0.00000    29    -2.602413          nan        +nan
      1      0   0.00000  0.00000  0.00000    30    -2.602413          nan        +nan
      2      1   0.00000  0.33333  0.00000    19     2.718000          nan        +nan
      2      1   0.00000  0.33333  0.00000    20     2.718000          nan        +nan
      2      1   0.00000  0.33333  0.00000    21     2.466612          nan        +nan
      2      1   0.00000  0.33333  0.00000    22     2.466612          nan        +nan
      2      1   0.00000  0.33333  0.00000    23     2.359138          nan        +nan
      2      1   0.00000  0.33333  0.00000    24     2.359138          nan        +nan
      2      1   0.00000  0.33333  0.00000    25     1.902243          nan        +nan
      2      1   0.00000  0.33333  0.00000    26     1.902243          nan        +nan
      2      1   0.00000  0.33333  0.00000    27    -2.338012          nan        +nan
      2      1   0.00000  0.33333  0.00000    28    -2.338012          nan        +nan
      2      1   0.00000  0.33333  0.00000    29    -2.490928          nan        +nan
      2      1   0.00000  0.33333  0.00000    30    -2.490928          nan        +nan
      3      2   0.00000  0.66667  0.00000    19     2.718013          nan        +nan
      3      2   0.00000  0.66667  0.00000    20     2.718013          nan        +nan
      3      2   0.00000  0.66667  0.00000    21     2.466605          nan        +nan
      3      2   0.00000  0.66667  0.00000    22     2.466605          nan        +nan
      3      2   0.00000  0.66667  0.00000    23     2.359141          nan        +nan
      3      2   0.00000  0.66667  0.00000    24     2.359141          nan        +nan
      3      2   0.00000  0.66667  0.00000    25     1.902242          nan        +nan
      3      2   0.00000  0.66667  0.00000    26     1.902242          nan        +nan
      3      2   0.00000  0.66667  0.00000    27    -2.338013          nan        +nan
      3      2   0.00000  0.66667  0.00000    28    -2.338013          nan        +nan
      3      2   0.00000  0.66667  0.00000    29    -2.490925          nan        +nan
      3      2   0.00000  0.66667  0.00000    30    -2.490925          nan        +nan
      5      4   0.33333  0.33333  0.00000    19     2.998899          nan        +nan
      5      4   0.33333  0.33333  0.00000    20     3.020096          nan        +nan
      5      4   0.33333  0.33333  0.00000    21     2.564741          nan        +nan
      5      4   0.33333  0.33333  0.00000    22     2.527206          nan        +nan
      5      4   0.33333  0.33333  0.00000    23     2.713692          nan        +nan
      5      4   0.33333  0.33333  0.00000    24     2.693693          nan        +nan
      5      4   0.33333  0.33333  0.00000    25     1.854467          nan        +nan
      5      4   0.33333  0.33333  0.00000    26     1.728211          nan        +nan
      5      4   0.33333  0.33333  0.00000    27    -2.363486          nan        +nan
      5      4   0.33333  0.33333  0.00000    28    -2.383903          nan        +nan
      5      4   0.33333  0.33333  0.00000    29    -2.781922          nan        +nan
      5      4   0.33333  0.33333  0.00000    30    -2.774988          nan        +nan
