# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 211

── Peak live HBM  at t=29.00s  ──────────────────────────
bytes_in_use                = 2.24 GiB
device.peak_bytes_in_use    = 5.75 GiB  (cumulative)
sum of jax.live_arrays()    = 1.80 GiB
n live arrays at peak        = 53

Top JAX arrays at peak:
            size  dtype         shape
        1.76 GiB  complex128    (4, 640, 46080)
       25.00 MiB  complex128    (4, 640, 640)
       14.06 MiB  complex128    (9, 80, 2, 640)
        1.05 MiB  float64       (24, 24, 80, 3)
        1.05 MiB  float64       (24, 24, 80, 3)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (1, 24, 24, 80)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   32.50       57.34 MiB       49      170.90 MiB
   32.75       43.28 MiB       48      114.65 MiB
   33.01       43.29 MiB       49      114.69 MiB
   33.26       43.29 MiB       49      114.69 MiB
   33.51       43.29 MiB       49      114.69 MiB
   33.76       50.30 MiB       48      142.76 MiB
   34.01       50.30 MiB       48      142.76 MiB
   34.26       50.30 MiB       48      142.76 MiB
   34.51       50.30 MiB       48      142.76 MiB
   34.76       50.30 MiB       48      142.76 MiB
   35.01       43.27 MiB       48      114.66 MiB
   35.26       43.27 MiB       48      114.66 MiB
   35.51       43.27 MiB       48      114.66 MiB
   35.76       43.27 MiB       48      114.66 MiB
   36.01       43.27 MiB       51      114.64 MiB
   36.26       43.27 MiB       48      114.64 MiB
   36.51       57.33 MiB       50      170.89 MiB
   36.76       59.61 MiB       51      175.46 MiB
   37.01       67.00 MiB       53      189.53 MiB
   37.27       85.82 MiB       65      255.28 MiB
   37.52       85.82 MiB       66      255.28 MiB
   37.77      113.94 MiB       66      367.78 MiB
   38.02      156.13 MiB       66      367.78 MiB
   38.27      153.65 MiB       65      311.53 MiB
   38.52      153.65 MiB       65      311.53 MiB
   38.77      113.58 MiB       51      227.14 MiB
   39.02      169.83 MiB       51      283.39 MiB
   39.27      171.73 MiB       54      288.67 MiB
   39.52      170.85 MiB       54      284.27 MiB
   39.77      170.85 MiB       54      284.27 MiB
   40.02      171.73 MiB       55      285.15 MiB
   40.28      313.24 MiB       55      285.15 MiB
   40.53      173.49 MiB       57      286.91 MiB
   40.78      173.49 MiB       57      286.91 MiB
   41.03      326.58 MiB       61      401.17 MiB
   41.28      378.26 MiB       66      598.04 MiB
   41.53      386.69 MiB       67      629.68 MiB
   41.78      408.67 MiB       70      717.57 MiB
   42.03      443.82 MiB       74      858.20 MiB
   42.28      429.76 MiB       77      801.95 MiB
   42.53      348.55 MiB       65      489.06 MiB
   42.78      371.07 MiB       76      576.96 MiB
   43.03      378.10 MiB       77      605.08 MiB
   43.29      371.07 MiB       76      576.96 MiB
   43.54      371.21 MiB       81      577.11 MiB
   43.79      375.78 MiB       81      595.52 MiB
   44.04      384.15 MiB       88      617.49 MiB
   44.29      384.15 MiB       88      617.49 MiB
   44.54      384.15 MiB       88      617.49 MiB
   44.79      384.59 MiB       91      619.25 MiB
   45.04      384.59 MiB       91      619.25 MiB
   45.29      381.71 MiB       91      619.25 MiB
   45.54      385.45 MiB       90      634.19 MiB
   45.79      385.03 MiB       88      631.55 MiB
   46.05      394.48 MiB       93      668.46 MiB
   46.30      390.94 MiB       93      653.52 MiB
   46.55      390.28 MiB       93      653.52 MiB
   46.80      384.47 MiB       79      630.57 MiB
   47.05      398.67 MiB       68      560.27 MiB
   47.30      473.03 MiB       72      634.10 MiB
   47.55      473.03 MiB       72      634.10 MiB
   47.80      473.03 MiB       72      634.10 MiB
   48.05      509.06 MiB       75      850.31 MiB
   48.30      509.06 MiB       75      850.31 MiB
   48.55      509.06 MiB       75      850.31 MiB
   48.80      509.06 MiB       75      850.31 MiB
   49.06      509.06 MiB       75      850.31 MiB
   49.31      509.06 MiB       75      850.31 MiB
   49.56      509.06 MiB       75      850.31 MiB
   49.81      509.06 MiB       75      850.31 MiB
   50.06      509.06 MiB       75      850.31 MiB
   50.31      473.91 MiB       74      673.65 MiB
   50.56      473.91 MiB       74      673.65 MiB
   50.81      473.91 MiB       74      673.65 MiB
   51.06      473.91 MiB       75      673.65 MiB
   51.31      473.91 MiB       74      673.65 MiB
   51.56      473.91 MiB       74      673.65 MiB
   51.81      473.91 MiB       74      673.65 MiB
   52.06      398.67 MiB       68      560.27 MiB
   52.32      400.96 MiB       70      562.03 MiB
   52.57      401.84 MiB       71      562.91 MiB
   52.82      407.99 MiB       71      562.91 MiB
   53.27        1.07 MiB       40        2.13 MiB
   54.11        1.07 MiB       40        2.13 MiB
   54.50        1.07 MiB       40        2.13 MiB
   54.81        1.07 MiB       40        2.13 MiB
   55.06        1.07 MiB       40        2.13 MiB
   55.31        1.07 MiB       40        2.13 MiB
   55.56        1.07 MiB       40        2.13 MiB
   55.81        1.07 MiB       40        2.13 MiB
   56.06        1.07 MiB       40        2.13 MiB
   56.11        1.07 MiB       40        2.13 MiB
