# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              0		             46		         28.999		         35.635		         42.238		         -1.449		         -5.054		         -1.992		         -2.213		            nan		            nan		         -0.001		            nan
              0		             47		         28.999		         35.635		         42.238		         -1.432		         -5.053		         -1.960		         -2.222		            nan		            nan		         -0.000		            nan
              0		             48		         28.999		         35.635		         42.238		         -1.431		         -5.063		         -1.958		         -2.225		            nan		            nan		         -0.000		            nan
              0		             49		         28.999		         35.635		         42.238		         -1.416		         -5.017		         -1.922		         -2.217		            nan		            nan		         -0.000		            nan
              0		             50		         28.999		         35.635		         42.238		         -1.459		         -5.188		         -2.038		         -2.256		            nan		            nan		         -0.000		            nan
              0		             51		         28.999		         35.635		         42.238		         -1.433		         -5.090		         -1.964		         -2.241		            nan		            nan		          0.000		            nan
              0		             52		         34.456		         41.092		         61.465		         -1.116		         -3.654		         -1.347		         -1.560		            nan		            nan		          0.000		            nan
              0		             53		         34.456		         41.092		         61.465		         -1.117		         -3.689		         -1.347		         -1.575		            nan		            nan		          0.000		            nan
              0		             54		         34.456		         41.092		         61.465		         -1.115		         -3.661		         -1.338		         -1.571		            nan		            nan		          0.000		            nan
              0		             55		         34.456		         41.092		         61.465		         -1.117		         -3.692		         -1.342		         -1.584		            nan		            nan		          0.000		            nan
              0		             56		         34.457		         41.092		         61.504		         -1.116		         -3.676		         -1.343		         -1.573		            nan		            nan		          0.000		            nan
              0		             57		         34.457		         41.092		         61.504		         -1.116		         -3.674		         -1.343		         -1.572		            nan		            nan		          0.000		            nan
              0		             58		         38.065		         44.700		         44.417		         -1.194		         -3.792		         -1.445		         -1.673		            nan		            nan		          0.000		            nan
