# Generated by LORRAX unknown at 2026-07-21 06:31:56 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.467486              sigC=  -37.383204+ -1.469967i  sigXC=  -76.850690+ -1.469967i  VH=  591.604009+ -0.000060i  Eo=  -65.484467
n=1   sigX=  -39.467486              sigC=  -37.383204+ -1.469967i  sigXC=  -76.850690+ -1.469967i  VH=  591.604009+ -0.000060i  Eo=  -65.484467
n=2   sigX=  -33.301635              sigC=    5.394346+515670.245616i  sigXC=  -27.907289+515670.245616i  VH=  584.115671+  0.000049i  Eo=  -42.100571
n=3   sigX=  -33.301635              sigC=    5.394346+515670.245616i  sigXC=  -27.907289+515670.245616i  VH=  584.115671+  0.000049i  Eo=  -42.100571
n=4   sigX=  -32.523733              sigC=   -2.268351+-503429.757977i  sigXC=  -34.792085+-503429.757977i  VH=  577.561488+ -0.000205i  Eo=  -39.580049
n=5   sigX=  -32.523733              sigC=   -2.268351+-503429.757977i  sigXC=  -34.792085+-503429.757977i  VH=  577.561488+ -0.000205i  Eo=  -39.580049
n=6   sigX=  -32.511041              sigC=   18.914479+11819.548151i  sigXC=  -13.596562+11819.548151i  VH=  587.428811+  0.000078i  Eo=  -39.404857
n=7   sigX=  -32.511041              sigC=   18.914479+11819.548151i  sigXC=  -13.596562+11819.548151i  VH=  587.428811+  0.000078i  Eo=  -39.404857
n=8   sigX=  -21.626114              sigC=    5.737217+  9.491234i  sigXC=  -15.888897+  9.491234i  VH=  384.593457+  0.000444i  Eo=  -19.386943
n=9   sigX=  -21.626114              sigC=    5.737217+  9.491234i  sigXC=  -15.888897+  9.491234i  VH=  384.593457+  0.000444i  Eo=  -19.386943
n=10  sigX=  -21.557420              sigC=    6.129518+-2331.236390i  sigXC=  -15.427902+-2331.236390i  VH=  352.184894+ -0.000035i  Eo=  -18.188235
n=11  sigX=  -21.557420              sigC=    6.129518+-2331.236390i  sigXC=  -15.427902+-2331.236390i  VH=  352.184894+ -0.000035i  Eo=  -18.188235
n=12  sigX=  -17.375669              sigC=  -22.065616+-2120.976040i  sigXC=  -39.441285+-2120.976040i  VH=  388.536744+  0.000044i  Eo=  -10.891408
n=13  sigX=  -17.375669              sigC=  -22.065616+-2120.976040i  sigXC=  -39.441285+-2120.976040i  VH=  388.536744+  0.000044i  Eo=  -10.891408
n=14  sigX=  -18.153405              sigC=    2.902096+-87230.846576i  sigXC=  -15.251310+-87230.846576i  VH=  494.136579+  0.000466i  Eo=   -7.880919
n=15  sigX=  -18.153405              sigC=    2.902096+-87230.846576i  sigXC=  -15.251310+-87230.846576i  VH=  494.136579+  0.000466i  Eo=   -7.880919
n=16  sigX=  -18.001528              sigC=    2.773397+68606.792125i  sigXC=  -15.228130+68606.792125i  VH=  489.523366+  0.000445i  Eo=   -7.821581
n=17  sigX=  -18.001528              sigC=    2.773397+68606.792125i  sigXC=  -15.228130+68606.792125i  VH=  489.523366+  0.000445i  Eo=   -7.821581
n=18  sigX=  -15.639121              sigC=    6.041556+5761.199497i  sigXC=   -9.597564+5761.199497i  VH=  304.030445+  0.000067i  Eo=   -7.130428
n=19  sigX=  -15.639121              sigC=    6.041556+5761.199497i  sigXC=   -9.597564+5761.199497i  VH=  304.030445+  0.000067i  Eo=   -7.130428
n=20  sigX=  -17.717259              sigC=    2.610675+-118026.219486i  sigXC=  -15.106585+-118026.219486i  VH=  456.036230+  0.000221i  Eo=   -6.799255
n=21  sigX=  -17.717259              sigC=    2.610675+-118026.219486i  sigXC=  -15.106585+-118026.219486i  VH=  456.036230+  0.000221i  Eo=   -6.799255
n=22  sigX=  -17.601776              sigC=    2.609665+95766.108303i  sigXC=  -14.992111+95766.108303i  VH=  455.662711+  0.000228i  Eo=   -6.718285
n=23  sigX=  -17.601776              sigC=    2.609665+95766.108303i  sigXC=  -14.992111+95766.108303i  VH=  455.662711+  0.000228i  Eo=   -6.718285
n=24  sigX=  -16.397305              sigC=  -50.920464+15946.670592i  sigXC=  -67.317769+15946.670592i  VH=  412.160622+  0.000017i  Eo=   -5.398968
n=25  sigX=  -16.397305              sigC=  -50.920464+15946.670592i  sigXC=  -67.317769+15946.670592i  VH=  412.160622+  0.000017i  Eo=   -5.398968
n=26  sigX=  -11.090056              sigC=    1.793164+27529.959312i  sigXC=   -9.296893+27529.959312i  VH=  427.733322+  0.000088i  Eo=   -2.591355
n=27  sigX=  -11.090056              sigC=    1.793164+27529.959312i  sigXC=   -9.296893+27529.959312i  VH=  427.733322+  0.000088i  Eo=   -2.591355
n=28  sigX=  -11.013263              sigC=    1.341315+-29376.128818i  sigXC=   -9.671948+-29376.128818i  VH=  425.557908+  0.000089i  Eo=   -2.515375
n=29  sigX=  -11.013263              sigC=    1.341315+-29376.128818i  sigXC=   -9.671948+-29376.128818i  VH=  425.557908+  0.000089i  Eo=   -2.515375
n=30  sigX=  -11.097328              sigC=   -4.082275+-9348.348516i  sigXC=  -15.179603+-9348.348516i  VH=  400.590064+ -0.000083i  Eo=   -2.347811
n=31  sigX=  -11.097328              sigC=   -4.082275+-9348.348516i  sigXC=  -15.179603+-9348.348516i  VH=  400.590064+ -0.000083i  Eo=   -2.347811
n=32  sigX=  -11.103978              sigC=   -3.805315+10384.750437i  sigXC=  -14.909293+10384.750437i  VH=  398.931031+ -0.000073i  Eo=   -2.339588
n=33  sigX=  -11.103978              sigC=   -3.805315+10384.750437i  sigXC=  -14.909293+10384.750437i  VH=  398.931031+ -0.000073i  Eo=   -2.339588
n=34  sigX=   -6.156760              sigC=   -4.048665+108.132067i  sigXC=  -10.205425+108.132067i  VH=  433.308862+ -0.000207i  Eo=    1.083633
n=35  sigX=   -6.156760              sigC=   -4.048665+108.132067i  sigXC=  -10.205425+108.132067i  VH=  433.308862+ -0.000207i  Eo=    1.083633
