JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 150, FFT grid: (75, 75, 200), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['Cr', 'I']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/CrI3/6x6_80Ry_gnppm_maxbands_2026-06-15/00_lorrax_nonbispinor/kin_ion.h5...
Wrote kin_ion.h5: shape (36, 150, 150), sys_dim=2
--- Timing (seconds) ---
Total recorded: 33.714 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1      10.499      10.499   31.1
build_V_loc                                            1       1.992       1.992    5.9
k0                                                     1       1.882       1.882    5.6
k1                                                     1       1.414       1.414    4.2
k2                                                     1       1.415       1.415    4.2
k3                                                     1       1.421       1.421    4.2
k4                                                     1       0.380       0.380    1.1
k5                                                     1       0.372       0.372    1.1
k6                                                     1       0.377       0.377    1.1
k7                                                     1       1.418       1.418    4.2
k8                                                     1       1.418       1.418    4.2
k9                                                     1       0.368       0.368    1.1
k10                                                    1       0.368       0.368    1.1
k11                                                    1       0.368       0.368    1.1
k12                                                    1       0.384       0.384    1.1
k13                                                    1       0.378       0.378    1.1
k14                                                    1       1.436       1.436    4.3
k15                                                    1       0.373       0.373    1.1
k16                                                    1       0.371       0.371    1.1
k17                                                    1       0.367       0.367    1.1
k18                                                    1       0.380       0.380    1.1
k19                                                    1       0.382       0.382    1.1
k20                                                    1       0.379       0.379    1.1
k21                                                    1       0.373       0.373    1.1
k22                                                    1       0.367       0.367    1.1
k23                                                    1       0.370       0.370    1.1
k24                                                    1       0.373       0.373    1.1
k25                                                    1       0.374       0.374    1.1
k26                                                    1       0.370       0.370    1.1
k27                                                    1       0.383       0.383    1.1
k28                                                    1       0.366       0.366    1.1
k29                                                    1       0.372       0.372    1.1
k30                                                    1       0.368       0.368    1.1
k31                                                    1       0.367       0.367    1.1
k32                                                    1       0.366       0.366    1.1
k33                                                    1       0.366       0.366    1.1
k34                                                    1       0.371       0.371    1.1
k35                                                    1       0.370       0.370    1.1
write_h5                                               1       0.019       0.019    0.1
