# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=86   E_DFT=   22.264416  Re=   30.797401  Im=781567.715370
n=87   E_DFT=   22.264416  Re=   31.347364  Im=-736126.908686
n=88   E_DFT=   22.311075  Re=   31.928594  Im=-948796.930964
n=89   E_DFT=   22.311075  Re=   30.597442  Im=903781.510244
n=90   E_DFT=   22.988316  Re=   59.674678  Im= -694.209688
n=91   E_DFT=   22.988316  Re=   59.695696  Im=  477.387579
n=92   E_DFT=   23.435678  Re=   44.057458  Im=1025145.627982
n=93   E_DFT=   23.435678  Re=   42.950887  Im=-1036054.299494
n=94   E_DFT=   23.447355  Re=   44.023509  Im=1078992.060651
n=95   E_DFT=   23.447355  Re=   43.024371  Im=-1068193.824333
n=96   E_DFT=   24.078748  Re=   42.233882  Im=-1801842.078413
n=97   E_DFT=   24.078748  Re=   44.955911  Im=1715367.592440
n=98   E_DFT=   24.087456  Re=  105.078437  Im=25297.740375
n=99   E_DFT=   24.087456  Re=  105.092964  Im=-25298.914750

k-point 1:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.465980  Re= -148.396786  Im=-276802.351778
n=1    E_DFT=  -65.465980  Re= -148.985350  Im=-271698.655121
n=2    E_DFT=  -42.126171  Re=  -93.095985  Im=-4406983.917019
n=3    E_DFT=  -42.126171  Re=  -83.095477  Im=3064471.133233
n=4    E_DFT=  -39.593526  Re= -122.667246  Im=-1445304.488940
n=5    E_DFT=  -39.593526  Re= -119.255735  Im=2306193.797202
n=6    E_DFT=  -39.464894  Re=  -41.790210  Im=-5052826.526870
n=7    E_DFT=  -39.464893  Re=  -26.676520  Im=5941132.572800
n=8    E_DFT=  -18.989633  Re=  -26.178095  Im=-223317.178232
n=9    E_DFT=  -18.989633  Re=  -26.101195  Im=-201363.337015
n=10   E_DFT=  -18.014213  Re=  -25.131465  Im=917471.484690
n=11   E_DFT=  -18.014213  Re=  -25.241716  Im=906289.511511
n=12   E_DFT=  -10.482477  Re=  -18.358588  Im=-440374.022057
n=13   E_DFT=  -10.482477  Re=  -18.267665  Im=-414644.207654
n=14   E_DFT=   -8.606804  Re=   -9.083106  Im=523619.893493
n=15   E_DFT=   -8.606804  Re=   -9.167957  Im=561987.357010
n=16   E_DFT=   -8.256218  Re=   -6.096031  Im=1663506.720009
n=17   E_DFT=   -8.256218  Re=   -6.031836  Im=1895787.329539
n=18   E_DFT=   -7.436881  Re=   -8.931970  Im=-792689.489138
n=19   E_DFT=   -7.436880  Re=   -8.944322  Im=-557699.348985
n=20   E_DFT=   -7.317414  Re=    0.462401  Im=-360198.118920
n=21   E_DFT=   -7.317414  Re=    0.474032  Im=-539915.236051
n=22   E_DFT=   -6.409757  Re=   -6.191549  Im=-985613.477798
n=23   E_DFT=   -6.409757  Re=   -6.005507  Im=-933970.025007
n=24   E_DFT=   -5.682865  Re=  -11.854647  Im=491802.938637
n=25   E_DFT=   -5.682865  Re=  -11.817148  Im=481121.491680
n=26   E_DFT=   -3.039484  Re=   -3.894743  Im=337643.701602
n=27   E_DFT=   -3.039482  Re=   -3.708741  Im=1365480.443549
n=28   E_DFT=   -2.737502  Re=    0.960303  Im=-530574.978338
n=29   E_DFT=   -2.737499  Re=    1.077108  Im=533013.115347
n=30   E_DFT=   -2.697296  Re=    3.750131  Im=-1414383.436880
n=31   E_DFT=   -2.697295  Re=    4.066663  Im=-740734.626551
n=32   E_DFT=   -1.968038  Re=   16.627732  Im=-1219062.734317
n=33   E_DFT=   -1.968037  Re=   17.028635  Im=-714252.440620
n=34   E_DFT=    2.575037  Re=    6.736504  Im=-471839.027716
n=35   E_DFT=    2.575038  Re=    6.758024  Im=-410968.198836
n=36   E_DFT=    4.137793  Re=   14.893629  Im=-106731.453658
n=37   E_DFT=    4.137793  Re=   14.830389  Im=-99665.449332
n=38   E_DFT=    4.498560  Re=   13.999900  Im=-81538.588579
n=39   E_DFT=    4.498560  Re=   13.990436  Im=-77071.157648
n=40   E_DFT=    5.011368  Re=   15.704749  Im=147415.123218
n=41   E_DFT=    5.011369  Re=   15.197182  Im=104727.065768
n=42   E_DFT=    5.208690  Re=   21.940048  Im=-124746.013891
n=43   E_DFT=    5.208690  Re=   21.756620  Im=-150432.928509
n=44   E_DFT=    6.274230  Re=    6.208891  Im=-527196.731760
n=45   E_DFT=    6.274230  Re=    5.969254  Im=-496095.228872
n=46   E_DFT=    6.755121  Re=    9.493566  Im=141836.205792
n=47   E_DFT=    6.755122  Re=    9.547643  Im=188557.863075
n=48   E_DFT=    7.214026  Re=   12.171024  Im=-285130.978391
n=49   E_DFT=    7.214026  Re=   12.746457  Im=-360813.351405
n=50   E_DFT=    7.784806  Re=   17.764850  Im=663351.525073
n=51   E_DFT=    7.784806  Re=   17.714796  Im=655532.279800
n=52   E_DFT=    9.124082  Re=   21.448471  Im=-1117086.728641
n=53   E_DFT=    9.124082  Re=   21.165031  Im=-1121701.824021
n=54   E_DFT=    9.888660  Re=   13.743726  Im=758005.796197
n=55   E_DFT=    9.888660  Re=   12.088498  Im=1618527.860195
n=56   E_DFT=   10.280456  Re=   46.776727  Im=1268689.066515
n=57   E_DFT=   10.280457  Re=   45.210359  Im=2271008.215126
n=58   E_DFT=   11.412539  Re=   29.396564  Im=-997463.536770
n=59   E_DFT=   11.412539  Re=   30.379923  Im=-967107.590210
n=60   E_DFT=   12.579023  Re=  110.452731  Im=-200964.387766
