2026-04-14 17:40:48,164 INFO __main__ 
----------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------

                                       [1mSTOCHASTIC PSEUDOBANDS[0m


          This calculation is based on the algorithm developed in the following reference.
                        Please cite it to give proper credit to the authors:

         A. R. Altman, S. Kundu, F. H. da Jornada, Mixed Stochastic-Deterministic Approach
        for Many-Body Perturbation Theory Calculations, Phys. Rev. Lett. 132, 086401 (2024).
----------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------

2026-04-14 17:40:48,165 INFO __main__ {'fname_in': '/pscratch/sd/j/jackm/lorrax_sandbox/runs/Si_pseudobands/00_si_2x2x2_60Ry/01_bgw_pseudobands/WFN_pb.h5', 'fname_in_q': '/pscratch/sd/j/jackm/lorrax_sandbox/runs/Si_pseudobands/00_si_2x2x2_60Ry/qe/nscfq/WFNq.h5', 'fname_in_NNS': None, 'fname_out': 'WFN_pseudo.h5', 'fname_out_q': 'WFNq_pseudo.h5', 'fname_out_NNS': None, 'NNS': 0, 'nv': -1, 'nc': 8, 'nslice_v': 10, 'uniform_width': None, 'nslice_c': 150, 'max_freq': 0.0, 'nspbps_v': 2, 'nspbps_c': 2, 'copydirectly': True, 'verbosity': 0, 'single_band': False}
2026-04-14 17:40:48,228 INFO __main__ E_Fermi = 0.48737215189245053 Ry
2026-04-14 17:40:48,228 INFO __main__ max(ifmax) = 8
2026-04-14 17:40:48,228 INFO __main__ max(ifmax) - min(ifmax) = 0
2026-04-14 17:40:48,229 INFO __main__ No valence pseudobands
2026-04-14 17:40:48,264 INFO __main__ 
        nslices_c = 145
        nspb_c_total = 290
        nb_out_c_total = 298
        
2026-04-14 17:40:48,268 INFO __main__ fname_in = /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si_pseudobands/00_si_2x2x2_60Ry/01_bgw_pseudobands/WFN_pb.h5
 fname_out = WFN_pseudo.h5
 
2026-04-14 17:40:48,280 INFO __main__ Copying ifmax=8 + nc=8 = 16 protected bands
2026-04-14 17:40:48,281 WARNING __main__ copydirectly=True. Copying all protected bands at once, can be slow if copying >1000 bands
2026-04-14 17:40:48,297 INFO __main__ Creating 290 conduction pseudobands
2026-04-14 17:40:48,305 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 12.0, 12.000000000000007
2026-04-14 17:40:48,309 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 12.0, 11.999999999999986
2026-04-14 17:40:48,315 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 12.0, 11.999999999999716
2026-04-14 17:40:48,318 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 12.0, 12.00000000000075
2026-04-14 17:40:48,322 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 4.0, 3.999999999999999
2026-04-14 17:40:48,325 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 4.0, 4.000000000000002
2026-04-14 17:40:48,330 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 4.0, 3.9999999999999982
2026-04-14 17:40:48,333 INFO __main__ num_bands_in*nk*ns*nspinor/nspbps_c, norm(SPB)**2: 4.0, 3.999999999999999
