# Generated by LORRAX 0.1.0 at 2026-05-11 02:54:48 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	              33	       -2.325690	       +1.944791	     -389.901683	     +400.539865	      -11.154106	       +0.000000	       -0.390003	     +756.375053	       +1.053221	       +0.000001	       -0.905927	       -1.099611
               0	              34	       +1.102385	       +5.372865	     -423.376266	     +430.033672	       -6.172455	       +0.000000	       -1.464865	       -2.984778	       +1.053364	       +0.000001	       -0.979914	       -0.819636
               0	              35	       +1.102385	       +5.372865	     -423.376266	     +430.033672	       -6.172455	       +0.000000	       -1.458437	       +2.005280	       +1.053364	       +0.000001	       -0.973486	       -0.813566
               0	              36	       +3.746505	       +8.016986	     -324.918669	     +334.119030	       -5.800641	       +0.000000	       -1.645845	      -32.953725	       +1.053124	       +0.000001	       +1.753874	       +1.921420
               0	              37	       +3.746505	       +8.016986	     -324.918669	     +334.119030	       -5.800641	       +0.000000	       -1.646538	      -33.202575	       +1.053124	       +0.000001	       +1.753181	       +1.921014
               0	              38	       +3.953430	       +8.223910	     -127.812990	     +136.925935	       -3.945581	       +0.000000	       -1.301383	       +0.815171	       +1.053463	       +0.000001	       +3.865983	       +3.871759
               0	              39	       +3.953430	       +8.223910	     -127.812990	     +136.925935	       -3.945581	       +0.000000	       -1.302015	       +0.917034	       +1.053463	       +0.000001	       +3.865351	       +3.871173
               0	              40	       +4.786070	       +9.056551	      -15.658586	      +21.894510	       -2.481371	       +0.000000	       -1.170791	       +3.526824	       +1.053233	       +0.000001	       +2.583761	       +2.710428
               0	              41	       +4.786070	       +9.056551	      -15.658586	      +21.894510	       -2.481371	       +0.000000	       -1.170902	       +3.090932	       +1.053233	       +0.000001	       +2.583651	       +2.710538
               0	              42	       +5.517734	       +9.788215	     -345.006963	     +365.257128	       -5.867447	       +0.000000	       -1.986783	      +25.480995	       +1.053454	       +0.000001	      +12.395935	      +11.871036
               0	              43	       +5.517734	       +9.788215	     -345.006963	     +365.257128	       -5.867447	       +0.000000	       -1.987765	      -22.370993	       +1.053454	       +0.000001	      +12.394953	      +11.867277
               0	              44	       +5.594438	       +9.864918	     -343.466739	     +363.907022	       -5.867085	       +0.000000	       -1.990284	      -88.055076	       +1.053376	       +0.000001	      +12.582913	      +12.095736
               0	              45	       +5.594438	       +9.864918	     -343.466739	     +363.907022	       -5.867085	       +0.000000	       -1.991917	      +29.445760	       +1.053376	       +0.000001	      +12.581280	      +12.093892
               0	              46	       +7.492860	      +11.763341	     -318.597129	     +337.466352	       -5.684993	       +0.000000	       -2.187923	     -508.289719	       +0.926456	       +0.000001	      +10.996306	      +10.996306
               0	              47	       +7.492860	      +11.763341	     -318.597129	     +337.466352	       -5.684993	       +0.000000	       -2.190225	     -610.556946	       +0.926456	       +0.000001	      +10.994004	      +10.994004
               0	              48	       +7.510374	      +11.780854	     -319.870878	     +339.084414	       -5.689051	       +0.000000	       -2.176834	     +383.560500	       +0.925351	       +0.000001	      +11.347652	      +11.347652
               0	              49	       +7.510374	      +11.780854	     -319.870878	     +339.084414	       -5.689051	       +0.000000	       -2.179013	     +534.049993	       +0.925351	       +0.000001	      +11.345473	      +11.345473
               0	              50	       +7.663743	      +11.934224	     -262.366984	     +270.456691	       -5.766569	       +0.000000	       -2.185690	     +113.514592	       +0.915785	       +0.000001	       +0.137448	       +0.137448
               0	              51	       +7.663743	      +11.934224	     -262.366984	     +270.456691	       -5.766569	       +0.000000	       -2.185510	     +109.064985	       +0.915785	       +0.000001	       +0.137629	       +0.137629
               0	              52	      +10.772983	      +15.043464	     -298.229905	     +321.373793	       -5.321012	       +0.000000	       -2.387830	      -66.005923	       +0.757122	       +0.000001	      +15.435045	      +15.435045
               0	              53	      +10.772983	      +15.043464	     -298.229905	     +321.373793	       -5.321012	       +0.000000	       -2.387664	     -433.290477	       +0.757122	       +0.000001	      +15.435211	      +15.435211
               0	              54	      +10.787584	      +15.058064	     -298.369408	     +321.457944	       -5.323490	       +0.000000	       -2.387108	     +382.351004	       +0.756506	       +0.000001	      +15.377939	      +15.377939
               0	              55	      +10.787584	      +15.058064	     -298.369408	     +321.457944	       -5.323490	       +0.000000	       -2.387436	     -145.358114	       +0.756506	       +0.000001	      +15.377611	      +15.377611
               0	              56	      +10.866953	      +15.137434	     -342.238093	     +359.818815	       -3.384109	       +0.000000	       -1.711122	      -14.428474	       +0.753178	       +0.000001	      +12.485490	      +12.485490
               0	              57	      +10.866953	      +15.137434	     -342.238093	     +359.818815	       -3.384109	       +0.000000	       -1.710115	       -7.619213	       +0.753178	       +0.000001	      +12.486497	      +12.486497
               0	              58	      +11.110950	      +15.381430	     -312.853424	     +335.005617	       -5.883135	       +0.000000	       -2.411081	     +667.333802	       +0.743127	       +0.000001	      +13.857977	      +13.857977
               0	              59	      +11.110950	      +15.381430	     -312.853424	     +335.005617	       -5.883135	       +0.000000	       -2.414427	     -326.803511	       +0.743127	       +0.000001	      +13.854631	      +13.854631
