# Generated by LORRAX 0.1.0 at 2026-05-11 02:54:48 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.581771              sigC=    3.737394+ -0.008589i  sigXC=  -35.844377+ -0.008589i  VH=  597.721740
n=1   sigX=  -39.581771              sigC=    3.737394+ -0.008589i  sigXC=  -35.844377+ -0.008589i  VH=  597.721740
n=2   sigX=  -33.346267              sigC=    3.303902+1710.480506i  sigXC=  -30.042365+1710.480506i  VH=  584.964213
n=3   sigX=  -33.346267              sigC=    3.303902+1710.480506i  sigXC=  -30.042365+1710.480506i  VH=  584.964213
n=4   sigX=  -32.838001              sigC=    3.349726+-234.307225i  sigXC=  -29.488275+-234.307225i  VH=  578.794552
n=5   sigX=  -32.838001              sigC=    3.349726+-234.307225i  sigXC=  -29.488275+-234.307225i  VH=  578.794552
n=6   sigX=  -32.870823              sigC=    3.234593+-1494.790290i  sigXC=  -29.636230+-1494.790290i  VH=  588.617696
n=7   sigX=  -32.870823              sigC=    3.234593+-1494.790290i  sigXC=  -29.636230+-1494.790290i  VH=  588.617696
n=8   sigX=  -21.919839              sigC=    4.812570+  0.060516i  sigXC=  -17.107269+  0.060516i  VH=  386.397031
n=9   sigX=  -21.919839              sigC=    4.812570+  0.060516i  sigXC=  -17.107269+  0.060516i  VH=  386.397031
n=10  sigX=  -21.715823              sigC=    4.652269+  5.816001i  sigXC=  -17.063554+  5.816001i  VH=  356.451717
n=11  sigX=  -21.715823              sigC=    4.652269+  5.816001i  sigXC=  -17.063554+  5.816001i  VH=  356.451717
n=12  sigX=  -17.668268              sigC=    2.337280+  0.721361i  sigXC=  -15.330988+  0.721361i  VH=  396.472696
n=13  sigX=  -17.668268              sigC=    2.337280+  0.721361i  sigXC=  -15.330988+  0.721361i  VH=  396.472696
n=14  sigX=  -18.504392              sigC=    0.978682+-385.848332i  sigXC=  -17.525710+-385.848332i  VH=  494.658843
n=15  sigX=  -18.504392              sigC=    0.978682+-385.848332i  sigXC=  -17.525710+-385.848332i  VH=  494.658843
n=16  sigX=  -18.419912              sigC=    0.975855+389.786062i  sigXC=  -17.444057+389.786062i  VH=  490.052681
n=17  sigX=  -18.419912              sigC=    0.975855+389.786062i  sigXC=  -17.444057+389.786062i  VH=  490.052681
n=18  sigX=  -15.956114              sigC=    0.794872+-16.787384i  sigXC=  -15.161243+-16.787384i  VH=  300.807796
n=19  sigX=  -15.956114              sigC=    0.794872+-16.787384i  sigXC=  -15.161243+-16.787384i  VH=  300.807796
n=20  sigX=  -18.014927              sigC=    0.182092+-160.664376i  sigXC=  -17.832836+-160.664376i  VH=  460.500233
n=21  sigX=  -18.014927              sigC=    0.182092+-160.664376i  sigXC=  -17.832836+-160.664376i  VH=  460.500233
n=22  sigX=  -17.972538              sigC=    0.156436+211.480208i  sigXC=  -17.816101+211.480208i  VH=  459.980832
n=23  sigX=  -17.972538              sigC=    0.156436+211.480208i  sigXC=  -17.816101+211.480208i  VH=  459.980832
n=24  sigX=  -16.767628              sigC=   -0.471670+-25.612843i  sigXC=  -17.239298+-25.612843i  VH=  414.188546
n=25  sigX=  -16.767628              sigC=   -0.471670+-25.612843i  sigXC=  -17.239298+-25.612843i  VH=  414.188546
n=26  sigX=  -11.114150              sigC=   -0.416577+ 85.017338i  sigXC=  -11.530728+ 85.017338i  VH=  417.649596
n=27  sigX=  -11.114150              sigC=   -0.416577+ 85.017338i  sigXC=  -11.530728+ 85.017338i  VH=  417.649596
n=28  sigX=  -11.091965              sigC=   -0.426534+-255.644708i  sigXC=  -11.518499+-255.644708i  VH=  415.975769
n=29  sigX=  -11.091965              sigC=   -0.426534+-255.644708i  sigXC=  -11.518499+-255.644708i  VH=  415.975769
n=30  sigX=  -11.151754              sigC=   -0.398562+-94.186551i  sigXC=  -11.550316+-94.186551i  VH=  402.673223
n=31  sigX=  -11.151754              sigC=   -0.398562+-94.186551i  sigXC=  -11.550316+-94.186551i  VH=  402.673223
n=32  sigX=  -11.154106              sigC=   -0.388130+257.830392i  sigXC=  -11.542236+257.830392i  VH=  400.539865
n=33  sigX=  -11.154106              sigC=   -0.388130+257.830392i  sigXC=  -11.542236+257.830392i  VH=  400.539865
n=34  sigX=   -6.172455              sigC=   -1.461651+ -0.489749i  sigXC=   -7.634106+ -0.489749i  VH=  430.033672
n=35  sigX=   -6.172455              sigC=   -1.461651+ -0.489749i  sigXC=   -7.634106+ -0.489749i  VH=  430.033672
n=36  sigX=   -5.800641              sigC=   -1.646192+-33.078150i  sigXC=   -7.446833+-33.078150i  VH=  334.119030
n=37  sigX=   -5.800641              sigC=   -1.646192+-33.078150i  sigXC=   -7.446833+-33.078150i  VH=  334.119030
n=38  sigX=   -3.945581              sigC=   -1.301699+  0.866102i  sigXC=   -5.247279+  0.866102i  VH=  136.925935
n=39  sigX=   -3.945581              sigC=   -1.301699+  0.866102i  sigXC=   -5.247279+  0.866102i  VH=  136.925935
n=40  sigX=   -2.481371              sigC=   -1.170847+  3.308878i  sigXC=   -3.652218+  3.308878i  VH=   21.894510
n=41  sigX=   -2.481371              sigC=   -1.170847+  3.308878i  sigXC=   -3.652218+  3.308878i  VH=   21.894510
n=42  sigX=   -5.867447              sigC=   -1.987274+  1.555001i  sigXC=   -7.854720+  1.555001i  VH=  365.257128
n=43  sigX=   -5.867447              sigC=   -1.987274+  1.555001i  sigXC=   -7.854720+  1.555001i  VH=  365.257128
n=44  sigX=   -5.867085              sigC=   -1.991100+-29.304658i  sigXC=   -7.858186+-29.304658i  VH=  363.907022
n=45  sigX=   -5.867085              sigC=   -1.991100+-29.304658i  sigXC=   -7.858186+-29.304658i  VH=  363.907022
n=46  sigX=   -5.684993              sigC=   -2.189074+-559.423332i  sigXC=   -7.874067+-559.423332i  VH=  337.466352
n=47  sigX=   -5.684993              sigC=   -2.189074+-559.423332i  sigXC=   -7.874067+-559.423332i  VH=  337.466352
