# Generated by LORRAX 0.1.0 at 2026-05-16 19:19:18 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	              40	      +32.042974	      +32.042974	      +39.365443	       +2.790223	       -1.908570	       +0.000000	       -1.908570	       +0.000000	      +38.338526	      +38.338526
               0	              41	      +32.042974	      +32.042974	      +39.365443	       +2.790223	       -1.908570	       +0.000000	       -1.908570	       +0.000000	      +38.338526	      +38.338526
               0	              42	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915259	       +0.000000	       -1.915259	       +0.000000	      +38.429353	      +38.429353
               0	              43	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915259	       +0.000000	       -1.915259	       +0.000000	      +38.429353	      +38.429353
               0	              44	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915259	       +0.000000	       -1.915259	       +0.000000	      +38.429353	      +38.429353
               0	              45	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915259	       +0.000000	       -1.915259	       +0.000000	      +38.429353	      +38.429353
               0	              46	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739315	       +0.000000	       -1.739315	       +0.000000	      +41.958517	      +41.958517
               0	              47	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739315	       +0.000000	       -1.739315	       +0.000000	      +41.958517	      +41.958517
               0	              48	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739315	       +0.000000	       -1.739315	       +0.000000	      +41.958517	      +41.958517
               0	              49	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739315	       +0.000000	       -1.739315	       +0.000000	      +41.958517	      +41.958517
               0	              50	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739315	       +0.000000	       -1.739315	       +0.000000	      +41.958517	      +41.958517
               0	              51	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739315	       +0.000000	       -1.739315	       +0.000000	      +41.958517	      +41.958517
               0	              52	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.875054	       +0.000000	       -0.875054	       +0.000000	      +49.834175	      +49.834175
               0	              53	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.875054	       +0.000000	       -0.875054	       +0.000000	      +49.834175	      +49.834175
               0	              54	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.875054	       +0.000000	       -0.875054	       +0.000000	      +49.834175	      +49.834175
               0	              55	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.875054	       +0.000000	       -0.875054	       +0.000000	      +49.834175	      +49.834175

k-point 1:
               1	               0	       -4.897281	       -4.897281	       +2.488940	       +3.449872	      -17.489277	       -2.590893	      -17.489277	       +0.000000	      -29.039741	      -29.039741
               1	               1	       -4.897281	       -4.897281	       +2.488940	       +3.449872	      -17.489277	       -2.590893	      -17.489277	       +0.000000	      -29.039741	      -29.039741
               1	               2	       +2.340153	       +2.340153	       +9.569372	       +3.716758	      -13.768628	       -2.590893	      -13.768628	       +0.000000	      -14.251126	      -14.251126
               1	               3	       +2.340153	       +2.340153	       +9.569372	       +3.716758	      -13.768628	       -2.590893	      -13.768628	       +0.000000	      -14.251126	      -14.251126
               1	               4	       +5.498636	       +5.498636	      +12.205874	       +4.528662	      -13.018725	       -2.590893	      -13.018725	       +0.000000	       -9.302914	       -9.302914
               1	               5	       +5.498636	       +5.498636	      +12.205874	       +4.528662	      -13.018725	       -2.590893	      -13.018725	       +0.000000	       -9.302914	       -9.302914
               1	               6	       +5.529910	       +5.529910	      +12.240703	       +4.524511	      -13.002857	       -2.590893	      -13.002857	       +0.000000	       -9.240501	       -9.240501
               1	               7	       +5.529910	       +5.529910	      +12.240703	       +4.524511	      -13.002857	       -2.590893	      -13.002857	       +0.000000	       -9.240501	       -9.240501
               1	               8	       +8.294527	       +8.294527	      +16.190612	       +2.747383	       -5.565725	       +0.000000	       -5.565725	       +0.000000	       +7.806545	       +7.806545
               1	               9	       +8.294527	       +8.294527	      +16.190612	       +2.747383	       -5.565725	       +0.000000	       -5.565725	       +0.000000	       +7.806545	       +7.806545
               1	              10	       +9.757278	       +9.757278	      +17.800925	       +2.378930	       -5.375902	       +0.000000	       -5.375902	       +0.000000	       +9.428051	       +9.428051
               1	              11	       +9.757278	       +9.757278	      +17.800925	       +2.378930	       -5.375902	       +0.000000	       -5.375902	       +0.000000	       +9.428051	       +9.428051
               1	              12	       +9.778784	       +9.778784	      +17.827455	       +2.372127	       -5.365367	       +0.000000	       -5.365367	       +0.000000	       +9.468848	       +9.468848
               1	              13	       +9.778784	       +9.778784	      +17.827455	       +2.372127	       -5.365367	       +0.000000	       -5.365367	       +0.000000	       +9.468848	       +9.468848
               1	              14	      +13.191998	      +13.191998	      +20.589607	       +3.605967	       -4.724350	       +0.000000	       -4.724350	       +0.000000	      +14.746874	      +14.746874
               1	              15	      +13.191998	      +13.191998	      +20.589607	       +3.605967	       -4.724350	       +0.000000	       -4.724350	       +0.000000	      +14.746874	      +14.746874
               1	              16	      +13.473781	      +13.473781	      +22.044043	       +1.518386	       -3.554459	       +0.000000	       -3.554459	       +0.000000	      +16.453511	      +16.453511
