# htransform --eqp-file input, generated by make_eqp_htformat.py
# values are Z-linearised G0W0 quasiparticle energies (eqp1), in RYDBERG
k-point 0:
n=0  EQP= -6.091946633055
n=1  EQP= -6.091946632099
n=2  EQP= -3.858407933388
n=3  EQP= -3.858407947941
n=4  EQP= -3.642390306838
n=5  EQP= -3.642390322125
n=6  EQP= -3.653681091850
n=7  EQP= -3.653681097216
n=8  EQP= -1.821453833331
n=9  EQP= -1.821453833037
n=10  EQP= -1.670378210691
n=11  EQP= -1.670378211426
n=12  EQP= -0.942315221364
n=13  EQP= -0.942315221143
n=14  EQP= -0.722896549488
n=15  EQP= -0.722896546915
n=16  EQP= -0.717825603643
n=17  EQP= -0.717825598278
n=18  EQP= -0.646053001236
n=19  EQP= -0.646053002779
n=20  EQP= -0.619059523308
n=21  EQP= -0.619059521912
n=22  EQP= -0.612374335926
n=23  EQP= -0.612374340188
n=24  EQP= -0.491889528413
n=25  EQP= -0.491889523121
n=26  EQP= -0.097614113886
n=27  EQP= -0.097614201202
n=28  EQP= -0.092639869914
n=29  EQP= -0.092639860947
k-point 1:
n=0  EQP= -6.087431021285
n=1  EQP= -6.087431021726
n=2  EQP= -3.871147821715
n=3  EQP= -3.871147822597
n=4  EQP= -3.671344296130
n=5  EQP= -3.671344292308
n=6  EQP= -3.649554672528
n=7  EQP= -3.649554668412
n=8  EQP= -1.604860984193
n=9  EQP= -1.604860982650
n=10  EQP= -1.578649335821
n=11  EQP= -1.578649335748
n=12  EQP= -0.962698886164
n=13  EQP= -0.962698885870
n=14  EQP= -0.885513129841
n=15  EQP= -0.885513129253
n=16  EQP= -0.827911661550
n=17  EQP= -0.827911662359
n=18  EQP= -0.749917196703
n=19  EQP= -0.749917196630
n=20  EQP= -0.653641797563
n=21  EQP= -0.653641796681
n=22  EQP= -0.587406857244
n=23  EQP= -0.587406856729
n=24  EQP= -0.562837454423
n=25  EQP= -0.562837453541
n=26  EQP= -0.155546248094
n=27  EQP= -0.155546255738
n=28  EQP= -0.106360862980
n=29  EQP= -0.106360863715
k-point 2:
n=0  EQP= -6.087429694120
n=1  EQP= -6.087429693753
n=2  EQP= -3.871175840795
n=3  EQP= -3.871175852554
n=4  EQP= -3.670836957185
n=5  EQP= -3.670836952187
n=6  EQP= -3.650030270422
n=7  EQP= -3.650030286077
n=8  EQP= -1.604866736785
n=9  EQP= -1.604866736050
n=10  EQP= -1.578645916003
n=11  EQP= -1.578645916591
n=12  EQP= -0.962694712103
n=13  EQP= -0.962694711368
n=14  EQP= -0.885515616594
n=15  EQP= -0.885515616300
n=16  EQP= -0.827911621861
n=17  EQP= -0.827911621346
n=18  EQP= -0.749917383831
n=19  EQP= -0.749917384125
n=20  EQP= -0.653641637262
n=21  EQP= -0.653641633293
n=22  EQP= -0.587406827183
n=23  EQP= -0.587406826962
n=24  EQP= -0.562837701892
n=25  EQP= -0.562837702407
n=26  EQP= -0.155547690431
n=27  EQP= -0.155547691313
n=28  EQP= -0.106361632217
n=29  EQP= -0.106361634863
k-point 3:
n=0  EQP= -6.087430397723
n=1  EQP= -6.087430397723
n=2  EQP= -3.871176677724
n=3  EQP= -3.871176680002
n=4  EQP= -3.670837681073
n=5  EQP= -3.670837688202
n=6  EQP= -3.650031212454
n=7  EQP= -3.650031190037
n=8  EQP= -1.604870898793
n=9  EQP= -1.604870898058
n=10  EQP= -1.578638882329
n=11  EQP= -1.578638882697
n=12  EQP= -0.962690284397
n=13  EQP= -0.962690285279
n=14  EQP= -0.885511761884
n=15  EQP= -0.885511761737
n=16  EQP= -0.827912491644
n=17  EQP= -0.827912492379
n=18  EQP= -0.749916383220
n=19  EQP= -0.749916383735
n=20  EQP= -0.653640566240
n=21  EQP= -0.653640565505
n=22  EQP= -0.587408156773
n=23  EQP= -0.587408155524
n=24  EQP= -0.562836153644
n=25  EQP= -0.562836158347
n=26  EQP= -0.155545172588
n=27  EQP= -0.155545167884
n=28  EQP= -0.106362500530
n=29  EQP= -0.106362498472
