# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 615

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   40.59          0.00 B       69      291.77 MiB
   40.84          0.00 B       71        1.35 GiB
   41.09          0.00 B       72        1.35 GiB
   41.34          0.00 B       72        1.35 GiB
   41.60          0.00 B       72        1.35 GiB
   41.85          0.00 B       75        2.42 GiB
   42.10          0.00 B       75        2.42 GiB
   42.35          0.00 B       75        2.42 GiB
   42.60          0.00 B       74        4.55 GiB
   42.85          0.00 B       77        3.49 GiB
   43.10          0.00 B       77        3.49 GiB
   43.35          0.00 B       77        3.49 GiB
   43.60          0.00 B       77        3.49 GiB
   43.85          0.00 B       77        3.49 GiB
   44.10          0.00 B       78        3.49 GiB
   44.35          0.00 B       78        3.49 GiB
   44.60          0.00 B       78        3.49 GiB
   44.85          0.00 B       78        5.19 GiB
   45.11          0.00 B       74        3.27 GiB
   45.36          0.00 B       74        3.27 GiB
   45.61          0.00 B       74        3.27 GiB
   45.86          0.00 B       74        3.27 GiB
   46.11          0.00 B       74        3.27 GiB
   46.36          0.00 B       74        3.27 GiB
   46.61          0.00 B       74        3.27 GiB
   46.86          0.00 B       74        3.27 GiB
   47.11          0.00 B       74        3.27 GiB
   47.36          0.00 B       74        3.27 GiB
   47.61          0.00 B       74        3.27 GiB
   47.86          0.00 B       74        3.27 GiB
   48.11          0.00 B       74        3.27 GiB
   48.37          0.00 B       74        3.27 GiB
   48.62          0.00 B       74        3.27 GiB
   48.87          0.00 B       74        3.27 GiB
   49.12          0.00 B       74        3.27 GiB
   49.37          0.00 B       74        3.27 GiB
   49.62          0.00 B       71        2.20 GiB
   49.87          0.00 B       71        2.20 GiB
   50.12          0.00 B       71        2.20 GiB
   50.37          0.00 B       71        2.20 GiB
   50.62          0.00 B       71        2.20 GiB
   50.87          0.00 B       71        2.20 GiB
   51.12          0.00 B       71        2.20 GiB
   51.37          0.00 B       71        2.20 GiB
   51.62          0.00 B       71        2.20 GiB
   51.87          0.00 B       71        2.20 GiB
   52.13          0.00 B       71        2.20 GiB
   52.38          0.00 B       71        2.20 GiB
   52.63          0.00 B       71        2.20 GiB
   52.88          0.00 B       71        2.20 GiB
   53.13          0.00 B       71        2.20 GiB
   53.38          0.00 B       71        2.20 GiB
   53.63          0.00 B       68        1.14 GiB
   53.88          0.00 B       68        1.14 GiB
   54.13          0.00 B       68        1.14 GiB
   54.38          0.00 B       68        1.14 GiB
   54.63          0.00 B       68        1.14 GiB
   54.88          0.00 B       68        1.14 GiB
   55.13          0.00 B       68        1.14 GiB
   55.38          0.00 B       68        1.14 GiB
   55.63          0.00 B       68        1.14 GiB
   55.88          0.00 B       68        1.14 GiB
   56.14          0.00 B       68        1.14 GiB
   56.39          0.00 B       68        1.14 GiB
   56.64          0.00 B       68        1.14 GiB
   56.89          0.00 B       53      117.34 MiB
   57.14          0.00 B       53      117.34 MiB
   57.39          0.00 B       53      114.19 MiB
   57.64          0.00 B       58      229.50 MiB
   57.89          0.00 B       58      229.50 MiB
   58.14          0.00 B       61      288.61 MiB
   58.39          0.00 B       64      288.61 MiB
   58.64          0.00 B       68      293.67 MiB
   58.89          0.00 B       65      297.64 MiB
   59.14          0.00 B       67      306.26 MiB
   59.39          0.00 B       64      290.19 MiB
   59.66          0.00 B       68      291.77 MiB
   59.91          0.00 B       68      291.77 MiB
   60.16          0.00 B       68      291.77 MiB
   60.41          0.00 B       68      291.77 MiB
   60.66          0.00 B       68      291.77 MiB
   60.91          0.00 B       69      291.77 MiB
   61.17          0.00 B       69      291.77 MiB
   61.42          0.00 B       69      291.77 MiB
   61.67          0.00 B       66        1.35 GiB
   61.92          0.00 B       71        1.35 GiB
   62.17          0.00 B       72        1.35 GiB
   62.42          0.00 B       72        1.35 GiB
   62.67          0.00 B       75        2.42 GiB
   62.92          0.00 B       75        2.42 GiB
   63.17          0.00 B       75        2.42 GiB
   63.42          0.00 B       75        2.42 GiB
   63.67          0.00 B       77        3.49 GiB
   63.93          0.00 B       77        3.49 GiB
   64.18          0.00 B       77        3.49 GiB
   64.43          0.00 B       77        3.49 GiB
   64.68          0.00 B       77        3.49 GiB
   64.93          0.00 B       78        3.49 GiB
   65.18          0.00 B       78        3.49 GiB
   65.43          0.00 B       78        3.49 GiB
   65.68          0.00 B       78        5.19 GiB
   65.93          0.00 B       78        5.19 GiB
   66.18          0.00 B       78        5.19 GiB
   66.43          0.00 B       78        5.19 GiB
   66.68          0.00 B       78        5.19 GiB
   66.93          0.00 B       78        5.19 GiB
   67.18          0.00 B       74        3.27 GiB
   67.44          0.00 B       74        3.27 GiB
   67.69          0.00 B       74        3.27 GiB
   67.94          0.00 B       74        3.27 GiB
   68.19          0.00 B       74        3.27 GiB
   68.44          0.00 B       74        3.27 GiB
   68.69          0.00 B       74        3.27 GiB
   68.94          0.00 B       74        3.27 GiB
   69.19          0.00 B       74        3.27 GiB
   69.44          0.00 B       74        3.27 GiB
   69.69          0.00 B       74        3.27 GiB
   69.94          0.00 B       74        3.27 GiB
   70.19          0.00 B       74        3.27 GiB
   70.44          0.00 B       74        3.27 GiB
   70.70          0.00 B       74        3.27 GiB
   70.95          0.00 B       71        2.20 GiB
   71.20          0.00 B       71        2.20 GiB
   71.45          0.00 B       71        2.20 GiB
   71.70          0.00 B       71        2.20 GiB
   71.95          0.00 B       71        2.20 GiB
   72.20          0.00 B       71        2.20 GiB
   72.45          0.00 B       71        2.20 GiB
   72.70          0.00 B       71        2.20 GiB
   72.95          0.00 B       71        2.20 GiB
   73.20          0.00 B       71        2.20 GiB
   73.45          0.00 B       71        2.20 GiB
   73.71          0.00 B       71        2.20 GiB
   73.96          0.00 B       71        2.20 GiB
   74.21          0.00 B       71        2.20 GiB
   74.46          0.00 B       71        2.20 GiB
   74.71          0.00 B       68        1.14 GiB
   74.96          0.00 B       68        1.14 GiB
   75.21          0.00 B       68        1.14 GiB
   75.46          0.00 B       68        1.14 GiB
   75.71          0.00 B       68        1.14 GiB
   75.96          0.00 B       68        1.14 GiB
   76.21          0.00 B       68        1.14 GiB
   76.46          0.00 B       68        1.14 GiB
   76.71          0.00 B       68        1.14 GiB
   76.96          0.00 B       68        1.14 GiB
   77.22          0.00 B       68        1.14 GiB
   77.47          0.00 B       68        1.14 GiB
   77.72          0.00 B       68        1.14 GiB
   77.97          0.00 B       53      117.34 MiB
   78.22          0.00 B       53      117.34 MiB
   78.47          0.00 B       51      114.19 MiB
   78.72          0.00 B       54      143.02 MiB
   78.97          0.00 B       58      229.50 MiB
   79.22          0.00 B       59      288.60 MiB
   79.47          0.00 B       64      288.61 MiB
   79.72          0.00 B       67      293.40 MiB
   79.98          0.00 B       62      297.23 MiB
   80.23          0.00 B       63      297.23 MiB
   80.48          0.00 B       64      290.19 MiB
   80.73          0.00 B       68      291.77 MiB
   80.98          0.00 B       68      291.77 MiB
   81.23          0.00 B       68      291.77 MiB
   81.49          0.00 B       68      291.77 MiB
   81.74          0.00 B       68      291.77 MiB
   81.99          0.00 B       68      291.77 MiB
   82.24          0.00 B       69      291.77 MiB
   82.49          0.00 B       69      291.77 MiB
   82.74          0.00 B       66        1.35 GiB
   82.99          0.00 B       71        1.35 GiB
   83.24          0.00 B       72        1.35 GiB
   83.49          0.00 B       72        1.35 GiB
   83.74          0.00 B       75        2.42 GiB
   83.99          0.00 B       75        2.42 GiB
   84.24          0.00 B       75        2.42 GiB
   84.49          0.00 B       75        2.42 GiB
   84.75          0.00 B       77        3.49 GiB
   85.00          0.00 B       77        3.49 GiB
   85.25          0.00 B       77        3.49 GiB
   85.50          0.00 B       77        3.49 GiB
   85.75          0.00 B       77        3.49 GiB
   86.01          0.00 B       77        3.49 GiB
   86.26          0.00 B       78        3.49 GiB
   86.51          0.00 B       78        3.49 GiB
   86.76          0.00 B       78        5.19 GiB
   87.01          0.00 B       78        5.19 GiB
   87.26          0.00 B       78        5.19 GiB
   87.51          0.00 B       78        5.19 GiB
   87.76          0.00 B       78        5.19 GiB
   88.01          0.00 B       74        3.27 GiB
   88.26          0.00 B       74        3.27 GiB
   88.51          0.00 B       74        3.27 GiB
   88.76          0.00 B       74        3.27 GiB
   89.01          0.00 B       74        3.27 GiB
   89.27          0.00 B       74        3.27 GiB
   89.52          0.00 B       74        3.27 GiB
   89.77          0.00 B       74        3.27 GiB
   90.02          0.00 B       74        3.27 GiB
   90.27          0.00 B       74        3.27 GiB
   90.52          0.00 B       74        3.27 GiB
   90.77          0.00 B       74        3.27 GiB
   91.02          0.00 B       74        3.27 GiB
   91.27          0.00 B       74        3.27 GiB
   91.52          0.00 B       74        3.27 GiB
   91.77          0.00 B       71        2.20 GiB
   92.02          0.00 B       71        2.20 GiB
   92.27          0.00 B       71        2.20 GiB
   92.53          0.00 B       71        2.20 GiB
   92.78          0.00 B       71        2.20 GiB
   93.03          0.00 B       71        2.20 GiB
   93.28          0.00 B       71        2.20 GiB
   93.53          0.00 B       71        2.20 GiB
   93.78          0.00 B       71        2.20 GiB
   94.03          0.00 B       71        2.20 GiB
   94.28          0.00 B       71        2.20 GiB
   94.53          0.00 B       71        2.20 GiB
   94.78          0.00 B       71        2.20 GiB
   95.03          0.00 B       68        1.14 GiB
   95.28          0.00 B       68        1.14 GiB
   95.53          0.00 B       68        1.14 GiB
   95.79          0.00 B       68        1.14 GiB
   96.04          0.00 B       68        1.14 GiB
   96.29          0.00 B       68        1.14 GiB
   96.54          0.00 B       68        1.14 GiB
   96.79          0.00 B       68        1.14 GiB
   97.04          0.00 B       68        1.14 GiB
   97.29          0.00 B       68        1.14 GiB
   97.54          0.00 B       68        1.14 GiB
   97.79          0.00 B       53      117.34 MiB
   98.04          0.00 B       53      117.34 MiB
   98.29          0.00 B       55      117.35 MiB
   98.54          0.00 B       55      117.35 MiB
   98.79          0.00 B       55      117.35 MiB
   99.04          0.00 B       55      117.35 MiB
   99.29          0.00 B       55      117.35 MiB
   99.54          0.00 B       67      119.47 MiB
