# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 166

── Peak live HBM  at t=11.77s  ──────────────────────────
bytes_in_use                = 5.25 GiB
device.peak_bytes_in_use    = 9.21 GiB  (cumulative)
sum of jax.live_arrays()    = 16.95 GiB
n live arrays at peak        = 34

Top JAX arrays at peak:
            size  dtype         shape
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
     1012.50 MiB  complex128    (9, 80, 2, 24, 24, 80)
       56.25 MiB  complex128    (9, 640, 640)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 80, 2, 640)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   32.33      172.64 MiB       56      286.03 MiB
   32.58      173.52 MiB       57      286.91 MiB
   32.83      173.52 MiB       57      286.91 MiB
   33.08      326.60 MiB       61      401.17 MiB
   33.33      378.28 MiB       66      598.04 MiB
   33.58      386.51 MiB       68      629.68 MiB
   33.83      408.48 MiB       70      717.57 MiB
   34.08      429.58 MiB       73      801.95 MiB
   34.33      429.58 MiB       74      801.95 MiB
   34.58      348.57 MiB       65      489.06 MiB
   34.84      370.88 MiB       76      576.96 MiB
   35.09      377.91 MiB       77      605.08 MiB
   35.34      370.88 MiB       76      576.96 MiB
   35.59      372.83 MiB       82      584.14 MiB
   35.84      422.66 MiB       88      624.52 MiB
   36.09      422.66 MiB       88      624.52 MiB
   36.35      422.66 MiB       88      624.52 MiB
   36.60      424.42 MiB       90      626.28 MiB
   36.85      426.18 MiB       94      628.03 MiB
   37.10      440.24 MiB       94      628.03 MiB
   37.35      442.00 MiB       95      628.91 MiB
   37.60      426.18 MiB       94      628.03 MiB
   37.85      428.11 MiB       94      628.03 MiB
   38.10      443.75 MiB       94      636.82 MiB
   38.35      473.64 MiB       93      652.64 MiB
   38.60      473.64 MiB       93      652.64 MiB
   38.85      493.85 MiB       97      680.77 MiB
   39.10      493.85 MiB       98      680.77 MiB
   39.35      493.85 MiB       97      680.77 MiB
   39.61      384.61 MiB       65      525.09 MiB
   39.86      473.71 MiB       73      634.98 MiB
   40.11      653.01 MiB       78        1.25 GiB
   40.36      385.82 MiB       70      562.03 MiB
   40.61      387.58 MiB       72      563.79 MiB
   40.86        1.07 MiB       40        2.13 MiB
   41.38        1.07 MiB       40        2.13 MiB
   42.51        1.07 MiB       40        2.13 MiB
   43.04        1.07 MiB       40        2.13 MiB
   43.48        1.07 MiB       40        2.13 MiB
   43.73        1.07 MiB       40        2.13 MiB
   43.98        1.07 MiB       40        2.13 MiB
   44.23        1.07 MiB       40        2.13 MiB
   44.48        1.07 MiB       40        2.13 MiB
   44.73        1.07 MiB       40        2.13 MiB
   44.98        1.07 MiB       40        2.13 MiB
   45.26        1.07 MiB       40        2.13 MiB
   45.26        1.07 MiB       40        2.13 MiB
