# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07749573E+01  -9.98493610E+00   7.90021158E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.08944670E+00   1.05842719E+00  -3.10195076E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     93  -9.51320510E+00  -8.77040264E+00   7.42802458E-01
     94  -9.52232689E+00  -8.78247943E+00   7.39847462E-01
     95  -9.53349411E+00  -8.79185888E+00   7.41635234E-01
     96  -9.54483315E+00  -8.80165162E+00   7.43181527E-01
     97  -9.55967512E+00  -8.81029764E+00   7.49377484E-01
     98  -9.57434254E+00  -8.81850614E+00   7.55836395E-01
     99  -9.58957839E+00  -8.82805753E+00   7.61520867E-01
    100  -9.60482423E+00  -8.83764155E+00   7.67182674E-01
    101  -9.61222221E+00  -8.84772655E+00   7.64495656E-01
    102  -9.61962050E+00  -8.85781206E+00   7.61808437E-01
    103  -9.62817814E+00  -8.86929182E+00   7.58886325E-01
    104  -9.63673767E+00  -8.88077514E+00   7.55962529E-01
    105  -9.64703105E+00  -8.89138753E+00   7.55643521E-01
    106  -9.65732699E+00  -8.90200252E+00   7.55324473E-01
    107  -9.67141960E+00  -8.91426035E+00   7.57159248E-01
    108  -9.68551057E+00  -8.92650892E+00   7.59001651E-01
# k =  -0.000000  -0.000000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05560575E+01  -1.00040703E+01   5.51987262E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.49965775E-01   9.77730085E-01   2.77643101E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -3.01085035E-01  -2.57257606E-01   4.38274287E-02
      2  -6.07911199E-01  -5.06619375E-01   1.01291824E-01
      3  -8.85549650E-01  -7.54470762E-01   1.31078888E-01
      4  -1.15556547E+00  -1.01281078E+00   1.42754690E-01
      5  -1.52629729E+00  -1.11220977E+00   4.14087522E-01
      6  -1.89256311E+00  -1.21888490E+00   6.73678208E-01
      7  -3.39840016E+00  -1.37556977E+00   2.02283039E+00
      8  -4.94658806E+00  -1.51718161E+00   3.42940645E+00
      9  -5.05240076E+00  -2.99221756E+00   2.06018320E+00
     10  -5.16688284E+00  -4.40254466E+00   7.64338181E-01
     11  -5.32314808E+00  -4.53018888E+00   7.92959204E-01
     12  -5.46810066E+00  -4.72497168E+00   7.43128975E-01
     13  -5.61004823E+00  -4.92245698E+00   6.87591254E-01
     14  -5.76550506E+00  -5.05711355E+00   7.08391515E-01
     15  -5.84170523E+00  -5.31034200E+00   5.31363231E-01
     16  -5.93072154E+00  -5.50240217E+00   4.28319379E-01
     17  -6.10663538E+00  -5.60697209E+00   4.99663294E-01
     18  -6.26211200E+00  -5.70318144E+00   5.58930563E-01
     19  -6.42968637E+00  -5.77633848E+00   6.53347886E-01
     20  -6.61447435E+00  -5.84116944E+00   7.73304910E-01
     21  -6.71179053E+00  -5.95345861E+00   7.58331928E-01
     22  -6.78573353E+00  -6.05434574E+00   7.31387791E-01
     23  -6.91030337E+00  -6.13827405E+00   7.72029324E-01
     24  -7.03683744E+00  -6.22316548E+00   8.13671957E-01
     25  -7.16882588E+00  -6.38385341E+00   7.84972476E-01
     26  -7.30269233E+00  -6.54681739E+00   7.55874940E-01
     27  -7.40877367E+00  -6.76294272E+00   6.45830956E-01
     28  -7.51067587E+00  -6.95656418E+00   5.54111695E-01
     29  -7.56861466E+00  -7.02253382E+00   5.46080842E-01
     30  -7.62698822E+00  -7.08724921E+00   5.39739015E-01
     31  -7.68955653E+00  -7.13600429E+00   5.53552239E-01
     32  -7.75168965E+00  -7.18601445E+00   5.65675196E-01
     33  -7.79140558E+00  -7.22983382E+00   5.61571757E-01
     34  -7.83162459E+00  -7.27533520E+00   5.56289388E-01
     35  -7.87217306E+00  -7.32014273E+00   5.52030333E-01
     36  -7.91258327E+00  -7.36317271E+00   5.49410556E-01
