# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.28470249E+00  -9.76769329E+00  -4.82990806E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.55611118E+00   2.56236088E+00   1.00624970E+00
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.32791632E-01  -2.00400288E-01   3.23913438E-02
      2  -4.65615652E-01  -4.00717769E-01   6.48978830E-02
      3  -7.31553740E-01  -5.73756574E-01   1.57797167E-01
      4  -9.97332474E-01  -7.46861680E-01   2.50470794E-01
      5  -1.89126294E+00  -9.78654149E-01   9.12608795E-01
      6  -2.78513618E+00  -1.21029817E+00   1.57483802E+00
      7  -3.81933230E+00  -1.34859402E+00   2.47073829E+00
      8  -4.85354100E+00  -1.48689659E+00   3.36664440E+00
      9  -4.96961297E+00  -2.90509252E+00   2.06452045E+00
     10  -5.08565081E+00  -4.32342451E+00   7.62226302E-01
     11  -5.16853777E+00  -4.59050042E+00   5.78037353E-01
     12  -5.25143079E+00  -4.85760127E+00   3.93829518E-01
     13  -5.34169840E+00  -4.97590994E+00   3.65788458E-01
     14  -5.43195349E+00  -5.09419044E+00   3.37763048E-01
     15  -5.49941767E+00  -5.20533871E+00   2.94078960E-01
     16  -5.56694232E+00  -5.31651016E+00   2.50432164E-01
     17  -5.71156360E+00  -5.55542377E+00   1.56139834E-01
     18  -5.85618751E+00  -5.79435616E+00   6.18313457E-02
     19  -6.02153647E+00  -5.85258165E+00   1.68954817E-01
     20  -6.18701051E+00  -5.91086717E+00   2.76143341E-01
     21  -6.25616168E+00  -6.05396540E+00   2.02196278E-01
     22  -6.32530913E+00  -6.19707484E+00   1.28234297E-01
     23  -6.48360723E+00  -6.26864757E+00   2.14959659E-01
     24  -6.64190195E+00  -6.34030122E+00   3.01600727E-01
     25  -6.78967719E+00  -6.38147812E+00   4.08199069E-01
     26  -6.93742652E+00  -6.42257101E+00   5.14855504E-01
     27  -7.05344380E+00  -6.48942704E+00   5.64016757E-01
     28  -7.16945245E+00  -6.55620678E+00   6.13245678E-01
     29  -7.24617725E+00  -6.61699241E+00   6.29184839E-01
     30  -7.32279020E+00  -6.67780107E+00   6.44989133E-01
     31  -7.39613586E+00  -6.75261763E+00   6.43518228E-01
     32  -7.46959461E+00  -6.82741965E+00   6.42174955E-01
     33  -7.50024305E+00  -6.86833386E+00   6.31909193E-01
     34  -7.53088843E+00  -6.90937672E+00   6.21511710E-01
     35  -7.56490437E+00  -6.95052944E+00   6.14374935E-01
     36  -7.59891538E+00  -6.99180234E+00   6.07113031E-01
     37  -7.64458247E+00  -7.05701877E+00   5.87563697E-01
     38  -7.69023946E+00  -7.12224883E+00   5.67990630E-01
     39  -7.72859131E+00  -7.20533242E+00   5.23258890E-01
# k =  -0.000000  -0.000000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.64028398E+00  -9.20179144E+00   4.38492549E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.81184815E+00   1.90847428E+00   9.66261276E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.90514634E-01  -2.49165466E-01   4.13491680E-02
      2  -5.89763633E-01  -4.87640887E-01   1.02122746E-01
      3  -8.53405594E-01  -7.32386833E-01   1.21018761E-01
      4  -1.11718030E+00  -9.77675871E-01   1.39504428E-01
      5  -1.46943210E+00  -1.08032213E+00   3.89109972E-01
      6  -1.73988593E+00  -1.21168077E+00   5.28205159E-01
      7  -3.28965108E+00  -1.34124667E+00   1.94840440E+00
      8  -4.86095496E+00  -1.45686165E+00   3.40409331E+00
      9  -4.97280436E+00  -2.83752309E+00   2.13528128E+00
     10  -5.07591714E+00  -4.28350596E+00   7.92411182E-01
     11  -5.21469073E+00  -4.43816715E+00   7.76523577E-01
     12  -5.36532007E+00  -4.63055426E+00   7.34765809E-01
     13  -5.50445240E+00  -4.83445511E+00   6.69997294E-01
     14  -5.63279241E+00  -5.03469316E+00   5.98099245E-01
     15  -5.72002920E+00  -5.20528176E+00   5.14747442E-01
