# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07678071E+01  -9.62408438E+00   1.14372274E+00
# Error est. for CH(vbm) CH(cbm) diff =   1.83628013E-02   1.51233247E-02  -3.23947667E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.32297231E-01  -2.00803377E-01   3.14938532E-02
      2  -4.65314676E-01  -4.01700253E-01   6.36144235E-02
      3  -7.34302504E-01  -5.74020211E-01   1.60282293E-01
      4  -1.00246907E+00  -7.47994738E-01   2.54474334E-01
      5  -1.89696095E+00  -9.80802234E-01   9.16158719E-01
      6  -2.79106047E+00  -1.21329648E+00   1.57776399E+00
      7  -3.81356953E+00  -1.35517170E+00   2.45839783E+00
      8  -4.83614359E+00  -1.49695917E+00   3.33918442E+00
      9  -4.95485725E+00  -2.91347382E+00   2.04138342E+00
     10  -5.07358676E+00  -4.33033705E+00   7.43249711E-01
     11  -5.15932599E+00  -4.58858073E+00   5.70745262E-01
     12  -5.24506901E+00  -4.84678565E+00   3.98283352E-01
     13  -5.33950939E+00  -4.97000897E+00   3.69500421E-01
     14  -5.43344865E+00  -5.09161338E+00   3.41835268E-01
     15  -5.50490442E+00  -5.20781994E+00   2.97084478E-01
     16  -5.57584750E+00  -5.32304187E+00   2.52805630E-01
     17  -6.73307794E+00  -6.51368310E+00   2.19394839E-01
     18  -7.99812150E+00  -7.35499959E+00   6.43121914E-01
     19  -8.49906752E+00  -7.76907275E+00   7.29994769E-01
     20  -8.98954057E+00  -8.15540208E+00   8.34138495E-01
     21  -9.31693330E+00  -8.43621949E+00   8.80713809E-01
     22  -9.62179278E+00  -8.71937053E+00   9.02422255E-01
     23  -9.76145371E+00  -8.82963049E+00   9.31823220E-01
     24  -9.90269307E+00  -8.94928052E+00   9.53412549E-01
     25  -1.00090542E+01  -9.03392772E+00   9.75126519E-01
     26  -1.01167506E+01  -9.12314202E+00   9.93608550E-01
     27  -1.01959809E+01  -9.18234366E+00   1.01363721E+00
     28  -1.02758948E+01  -9.24884331E+00   1.02705153E+00
     29  -1.03316588E+01  -9.29228349E+00   1.03937535E+00
     30  -1.03877565E+01  -9.33428154E+00   1.05347495E+00
     31  -1.04254444E+01  -9.36065871E+00   1.06478571E+00
     32  -1.04616356E+01  -9.38922220E+00   1.07241343E+00
     33  -1.04849425E+01  -9.40706096E+00   1.07788153E+00
     34  -1.05092621E+01  -9.42677744E+00   1.08248463E+00
     35  -1.05338005E+01  -9.44579475E+00   1.08800580E+00
     36  -1.05581440E+01  -9.46458336E+00   1.09356068E+00
     37  -1.05735723E+01  -9.47668830E+00   1.09688404E+00
     38  -1.05892464E+01  -9.48880025E+00   1.10044614E+00
     39  -1.05988603E+01  -9.49628567E+00   1.10257466E+00
     40  -1.06083738E+01  -9.50368462E+00   1.10468916E+00
     41  -1.06190070E+01  -9.51181942E+00   1.10718758E+00
     42  -1.06297311E+01  -9.52012814E+00   1.10960298E+00
     43  -1.06355567E+01  -9.52473903E+00   1.11081764E+00
     44  -1.06416434E+01  -9.52938318E+00   1.11226018E+00
     45  -1.06501631E+01  -9.53549894E+00   1.11466419E+00
     46  -1.06585793E+01  -9.54149315E+00   1.11708620E+00
     47  -1.06631905E+01  -9.54503659E+00   1.11815395E+00
     48  -1.06678189E+01  -9.54840947E+00   1.11940946E+00
     49  -1.06727992E+01  -9.55233061E+00   1.12046859E+00
     50  -1.06778266E+01  -9.55621421E+00   1.12161234E+00
     51  -1.06818459E+01  -9.55907351E+00   1.12277238E+00
     52  -1.06857269E+01  -9.56184987E+00   1.12387702E+00
     53  -1.06890139E+01  -9.56451386E+00   1.12450001E+00
     54  -1.06923677E+01  -9.56710441E+00   1.12526326E+00
     55  -1.06951574E+01  -9.56922254E+00   1.12593489E+00
     56  -1.06979549E+01  -9.57124062E+00   1.12671433E+00
     57  -1.07005683E+01  -9.57325956E+00   1.12730871E+00
     58  -1.07032384E+01  -9.57526942E+00   1.12796898E+00
     59  -1.07054402E+01  -9.57674773E+00   1.12869245E+00
     60  -1.07075721E+01  -9.57825416E+00   1.12931797E+00
     61  -1.07102109E+01  -9.58029818E+00   1.12991276E+00
