# bgw_ik  gw_ki  kx       ky       kz       band  BGW_Cor'     GW_sigC       diff
      1      0   0.00000  0.00000  0.00000     1     7.149052          nan        +nan
      1      0   0.00000  0.00000  0.00000     2     7.149052          nan        +nan
      1      0   0.00000  0.00000  0.00000     3     1.356935     0.324995   -1.031940
      1      0   0.00000  0.00000  0.00000     4     1.356935     0.325365   -1.031570
      1      0   0.00000  0.00000  0.00000     5     1.335562     0.247743   -1.087819
      1      0   0.00000  0.00000  0.00000     6     1.335562     0.374028   -0.961534
      1      0   0.00000  0.00000  0.00000     7     1.335562     0.374591   -0.960971
      1      0   0.00000  0.00000  0.00000     8     1.335562     0.288009   -1.047553
      1      0   0.00000  0.00000  0.00000     9    -3.709479    -1.591797   +2.117682
      1      0   0.00000  0.00000  0.00000    10    -3.709479    -1.592142   +2.117337
      1      0   0.00000  0.00000  0.00000    11    -3.727156    -1.584371   +2.142785
      1      0   0.00000  0.00000  0.00000    12    -3.727156    -1.581253   +2.145903
      1      0   0.00000  0.00000  0.00000    13    -3.727156    -1.607445   +2.119711
      1      0   0.00000  0.00000  0.00000    14    -3.727156    -1.612757   +2.114399
      1      0   0.00000  0.00000  0.00000    15    -4.354395    -1.673161   +2.681234
      1      0   0.00000  0.00000  0.00000    16    -4.354395    -1.673158   +2.681237
      2      1  -0.00000 -0.00000  0.25000     1     6.632849          nan        +nan
      2      1  -0.00000 -0.00000  0.25000     2     6.632849          nan        +nan
      2      1  -0.00000 -0.00000  0.25000     3     2.644393     0.893974   -1.750419
      2      1  -0.00000 -0.00000  0.25000     4     2.644393     0.893970   -1.750423
      2      1  -0.00000 -0.00000  0.25000     5     1.515813     0.511052   -1.004761
      2      1  -0.00000 -0.00000  0.25000     6     1.515813     0.511083   -1.004730
      2      1  -0.00000 -0.00000  0.25000     7     1.500223     0.507593   -0.992630
      2      1  -0.00000 -0.00000  0.25000     8     1.500223     0.507784   -0.992439
      2      1  -0.00000 -0.00000  0.25000     9    -3.749895    -1.501445   +2.248450
      2      1  -0.00000 -0.00000  0.25000    10    -3.749895    -1.501469   +2.248426
      2      1  -0.00000 -0.00000  0.25000    11    -3.971865    -1.665353   +2.306512
      2      1  -0.00000 -0.00000  0.25000    12    -3.971865    -1.666902   +2.304963
      2      1  -0.00000 -0.00000  0.25000    13    -3.978785    -1.666643   +2.312142
      2      1  -0.00000 -0.00000  0.25000    14    -3.978785    -1.668945   +2.309840
      2      1  -0.00000 -0.00000  0.25000    15    -4.994106    -1.894880   +3.099226
      2      1  -0.00000 -0.00000  0.25000    16    -4.994106    -1.894773   +3.099333
      3      2  -0.00000 -0.00000  0.50000     1     5.820096     2.119364   -3.700732
      3      2  -0.00000 -0.00000  0.50000     2     5.820096     2.119367   -3.700729
      3      2  -0.00000 -0.00000  0.50000     3     4.168750     1.435711   -2.733039
      3      2  -0.00000 -0.00000  0.50000     4     4.168750     1.435708   -2.733042
      3      2  -0.00000 -0.00000  0.50000     5     1.753706     0.557401   -1.196305
      3      2  -0.00000 -0.00000  0.50000     6     1.753706     0.557422   -1.196284
      3      2  -0.00000 -0.00000  0.50000     7     1.738009     0.554159   -1.183850
      3      2  -0.00000 -0.00000  0.50000     8     1.738009     0.554112   -1.183897
      3      2  -0.00000 -0.00000  0.50000     9    -3.645140    -1.418351   +2.226789
      3      2  -0.00000 -0.00000  0.50000    10    -3.645140    -1.418340   +2.226800
      3      2  -0.00000 -0.00000  0.50000    11    -3.984344    -1.624291   +2.360053
      3      2  -0.00000 -0.00000  0.50000    12    -3.984344    -1.624522   +2.359822
      3      2  -0.00000 -0.00000  0.50000    13    -3.987476    -1.625419   +2.362057
      3      2  -0.00000 -0.00000  0.50000    14    -3.987476    -1.625297   +2.362179
      3      2  -0.00000 -0.00000  0.50000    15    -5.249792    -1.700541   +3.549251
      3      2  -0.00000 -0.00000  0.50000    16    -5.249792    -1.700545   +3.549247
      4      3   0.00000  0.25000  0.25000     1     6.479973          nan        +nan
      4      3   0.00000  0.25000  0.25000     2     6.479973          nan        +nan
      4      3   0.00000  0.25000  0.25000     3     2.514027     0.717178   -1.796849
      4      3   0.00000  0.25000  0.25000     4     2.514027     0.717189   -1.796838
      4      3   0.00000  0.25000  0.25000     5     1.862712     0.389530   -1.473182
      4      3   0.00000  0.25000  0.25000     6     1.862712     0.389555   -1.473157
      4      3   0.00000  0.25000  0.25000     7     1.856976     0.387353   -1.469623
      4      3   0.00000  0.25000  0.25000     8     1.856976     0.387445   -1.469531
      4      3   0.00000  0.25000  0.25000     9    -3.457741    -1.443215   +2.014526
      4      3   0.00000  0.25000  0.25000    10    -3.457741    -1.443243   +2.014498
      4      3   0.00000  0.25000  0.25000    11    -4.053879    -1.634753   +2.419126
      4      3   0.00000  0.25000  0.25000    12    -4.053879    -1.634778   +2.419101
      4      3   0.00000  0.25000  0.25000    13    -4.576326    -1.635853   +2.940473
