# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 332

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   41.23          0.00 B       95      289.29 MiB
   41.48          0.00 B       99      294.35 MiB
   41.73          0.00 B       97      298.32 MiB
   41.98          0.00 B      100      299.26 MiB
   42.24          0.00 B      105      300.74 MiB
   42.49          0.00 B      106      302.09 MiB
   42.74          0.00 B      104      309.64 MiB
   42.99          0.00 B       97      297.91 MiB
   43.24          0.00 B       94      290.87 MiB
   43.49          0.00 B       98      467.71 MiB
   43.75          0.00 B      101      469.29 MiB
   44.00          0.00 B      101      469.29 MiB
   44.25          0.00 B      101      469.29 MiB
   44.50          0.00 B      101      469.29 MiB
   44.76          0.00 B      101      469.29 MiB
   45.01          0.00 B      101      469.29 MiB
   45.26          0.00 B      101      469.29 MiB
   45.51          0.00 B      102      469.29 MiB
   45.76          0.00 B      102      469.29 MiB
   46.01          0.00 B      100        1.75 GiB
   46.26          0.00 B      100        1.75 GiB
   46.51          0.00 B      100        1.75 GiB
   46.76          0.00 B      100        1.75 GiB
   47.01          0.00 B      102      469.29 MiB
   47.27          0.00 B      102      469.29 MiB
   47.52          0.00 B      102      469.29 MiB
   47.77          0.00 B      102      469.29 MiB
   48.02          0.00 B      102      469.29 MiB
   48.27          0.00 B      102      469.29 MiB
   48.52          0.00 B      102      469.29 MiB
   48.78          0.00 B      101      469.29 MiB
   49.03          0.00 B      101      469.29 MiB
   49.28          0.00 B      101      469.29 MiB
   49.53          0.00 B      101      469.29 MiB
   49.78          0.00 B      101      469.29 MiB
   50.03          0.00 B      101      469.29 MiB
   50.28          0.00 B      101      469.29 MiB
   50.53          0.00 B      102      469.29 MiB
   50.78          0.00 B      100      649.83 MiB
   51.03          0.00 B      101      469.31 MiB
   51.29          0.00 B      102      469.32 MiB
   51.54          0.00 B      103      469.32 MiB
   51.79          0.00 B       83      114.87 MiB
   52.04          0.00 B       86      143.70 MiB
   52.29          0.00 B       90        2.07 GiB
   52.54          0.00 B       92        2.07 GiB
   52.79          0.00 B       92        2.07 GiB
   53.04          0.00 B       93      289.29 MiB
   53.29          0.00 B       95      289.29 MiB
   53.54          0.00 B       99      294.35 MiB
   53.79          0.00 B       96      298.32 MiB
   54.05          0.00 B      100      299.26 MiB
   54.30          0.00 B      105      300.74 MiB
   54.55          0.00 B      106      302.09 MiB
   54.80          0.00 B      104      309.64 MiB
   55.05          0.00 B       97      297.91 MiB
   55.30          0.00 B       94      290.87 MiB
   55.55          0.00 B       98      467.71 MiB
   55.81          0.00 B      101      469.29 MiB
   56.06          0.00 B      101      469.29 MiB
   56.31          0.00 B      101      469.29 MiB
   56.56          0.00 B      101      469.29 MiB
   56.81          0.00 B      101      469.29 MiB
   57.06          0.00 B      101      469.29 MiB
   57.31          0.00 B      101      469.29 MiB
   57.56          0.00 B      102      469.29 MiB
   57.82          0.00 B      102      469.29 MiB
   58.07          0.00 B      100        1.75 GiB
   58.32          0.00 B      100        1.75 GiB
   58.57          0.00 B      100        1.75 GiB
   58.82          0.00 B      101      469.29 MiB
   59.07          0.00 B      102      469.29 MiB
   59.32          0.00 B      100        1.75 GiB
   59.57          0.00 B      102      469.29 MiB
