kCopy  	
kKernel	, kernel = loop_broadcast_fusion, launch dimensions = blocks: {112500, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kWhile 	  
condition:
    kKernel	, kernel = loop_compare_fusion, launch dimensions = blocks: {1, 1, 1}, threads/block: {1, 1, 1}, cluster_dim = nullopt
  body:
    kCommandBuffer	
    kFft          	
    kKernel       	, kernel = loop_transpose_fusion_3, launch dimensions = blocks: {450000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kFft          	
    kKernel       	, kernel = loop_transpose_fusion_2, launch dimensions = blocks: {450000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kFft          	
    kGemm         	
    kKernel       	, kernel = input_transpose_fusion_2, launch dimensions = blocks: {720000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kFft          	
    kKernel       	, kernel = loop_transpose_fusion_3, launch dimensions = blocks: {450000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kFft          	
    kKernel       	, kernel = loop_transpose_fusion_2, launch dimensions = blocks: {450000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
    kFft          	
    kKernel       	, kernel = input_transpose_fusion, launch dimensions = blocks: {180000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt

kKernel	, kernel = input_transpose_fusion_4, launch dimensions = blocks: {180000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft   	
kKernel	, kernel = loop_transpose_fusion_5, launch dimensions = blocks: {112500, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft   	
kKernel	, kernel = loop_transpose_fusion_4, launch dimensions = blocks: {112500, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kFft   	
kKernel	, kernel = input_transpose_fusion_3, launch dimensions = blocks: {180000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
