# Sigma frequency debug decomposition (all energies in eV)
# sig_c(Edft) includes head; sig_c_head shown separately for inspection
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    		sig_c_head     

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    		sig_c_head     
              0		             25		         -1.189		         -5.202		         39.168		        -11.630		        -14.844		        -34.658		          9.565		          9.919		         -4.549		          5.049		         10.420		          2.653
              0		             26		          1.189		         -2.823		         43.689		         -4.631		        -15.249		        -13.492		         -4.746		          2.486		         -7.148		         -0.923		         -5.585		         -2.653
              0		             27		          1.189		         -2.823		         43.689		         -4.631		        -15.249		        -13.492		         -4.746		          2.486		         -7.148		         -0.923		         -5.585		         -2.653
              0		             28		          1.224		         -2.789		         45.490		         -4.771		        -15.071		        -11.352		         -3.714		         -0.105		         -8.019		          3.959		         -4.165		         -2.653
              0		             29		          1.224		         -2.789		         45.490		         -4.771		        -15.071		        -11.352		         -3.714		         -0.105		         -8.019		          3.959		         -4.165		         -2.653
              0		             30		          1.254		         -2.759		         43.422		         -4.632		        -15.240		        -13.657		         -5.356		          2.674		         -7.188		         -1.814		         -6.328		         -2.653
              0		             31		          1.254		         -2.759		         43.422		         -4.632		        -15.240		        -13.657		         -5.356		          2.674		         -7.188		         -1.814		         -6.328		         -2.653
              0		             32		          1.331		         -2.681		         44.914		         -4.721		        -15.060		        -11.530		         -4.081		          0.296		         -7.981		          3.022		         -4.664		         -2.653
              0		             33		          1.331		         -2.681		         44.914		         -4.721		        -15.060		        -11.530		         -4.082		          0.296		         -7.981		          3.022		         -4.664		         -2.653
              0		             34		          4.841		          0.828		         23.127		         -2.729		        -13.481		         -4.738		         -5.237		          1.223		        -11.524		          0.908		         -9.393		         -2.653
              0		             35		          4.841		          0.828		         23.127		         -2.729		        -13.481		         -4.738		         -5.237		          1.223		        -11.524		          0.908		         -9.393		         -2.653
              0		             36		          7.216		          3.204		         25.926		         -2.495		        -13.705		         -4.873		         -6.967		          2.140		        -10.479		         -2.851		        -11.190		         -2.653
              0		             37		          7.216		          3.204		         25.926		         -2.495		        -13.705		         -4.873		         -6.967		          2.140		        -10.479		         -2.851		        -11.190		         -2.653
              0		             38		          7.949		          3.937		         21.516		         -2.693		        -13.358		         -5.749		         -4.443		          1.700		        -12.585		          1.090		         -9.794		         -2.653
              0		             39		          7.949		          3.937		         21.516		         -2.693		        -13.358		         -5.749		         -4.443		          1.700		        -12.585		          1.090		         -9.794		         -2.653
              0		             40		          8.667		          4.655		         16.495		         -2.127		        -13.589		         -4.884		         -6.569		          0.939		         -9.333		         -1.087		         -9.481		         -2.653
              0		             41		          8.667		          4.655		         16.495		         -2.127		        -13.589		         -4.884		         -6.569		          0.939		         -9.333		         -1.087		         -9.481		         -2.653
              0		             42		          8.895		          4.883		         33.815		         -2.777		        -13.883		         -4.525		         -7.400		         -0.256		        -18.291		          1.221		        -17.326		         -2.653
              0		             43		          8.895		          4.883		         33.815		         -2.777		        -13.883		         -4.525		         -7.400		         -0.256		        -18.291		          1.221		        -17.326		         -2.653
              0		             44		          8.962		          4.949		         33.803		         -2.767		        -13.888		         -4.527		         -7.351		         -0.264		        -17.963		          1.299		        -16.928		         -2.653
              0		             45		          8.962		          4.949		         33.803		         -2.767		        -13.888		         -4.527		         -7.351		         -0.264		        -17.963		          1.299		        -16.928		         -2.653
              0		             46		         10.939		          6.927		         38.857		         -2.905		        -13.818		         -4.911		         -6.337		            nan		            nan		         -1.546		            nan		         -2.653
              0		             47		         10.939		          6.927		         38.857		         -2.905		        -13.818		         -4.911		         -6.337		            nan		            nan		         -1.546		            nan		         -2.653
              0		             48		         10.960		          6.948		         38.876		         -2.900		        -13.798		         -4.888		         -6.450		            nan		            nan		         -1.569		            nan		         -2.653
              0		             49		         10.960		          6.948		         38.876		         -2.900		        -13.798		         -4.888		         -6.450		            nan		            nan		         -1.569		            nan		         -2.653
              0		             50		         11.139		          7.127		         39.391		         -3.371		        -13.467		         -6.389		         -1.977		            nan		            nan		          0.441		            nan		         -2.653
              0		             51		         11.139		          7.127		         39.391		         -3.371		        -13.467		         -6.389		         -1.977		            nan		            nan		          0.441		            nan		         -2.653
              0		             52		         14.229		         10.217		         26.333		         -1.671		        -11.995		         -3.158		         -4.922		            nan		            nan		         -1.512		            nan		         -2.653
              0		             53		         14.229		         10.217		         26.333		         -1.671		        -11.995		         -3.158		         -4.922		            nan		            nan		         -1.512		            nan		         -2.653
              0		             54		         14.533		         10.521		         44.998		         -3.193		        -12.935		         -5.083		         -5.260		            nan		            nan		          1.049		            nan		         -2.653
              0		             55		         14.533		         10.521		         44.998		         -3.193		        -12.935		         -5.083		         -5.259		            nan		            nan		          1.049		            nan		         -2.653
              0		             56		         14.548		         10.535		         45.027		         -3.191		        -12.897		         -5.074		         -5.283		            nan		            nan		          1.017		            nan		         -2.653
              0		             57		         14.548		         10.535		         45.027		         -3.191		        -12.897		         -5.074		         -5.284		            nan		            nan		          1.017		            nan		         -2.653
              0		             58		         14.993		         10.981		         50.378		         -3.653		        -12.960		         -5.747		         -5.625		            nan		            nan		         -3.051		            nan		         -2.653
              0		             59		         14.993		         10.981		         50.378		         -3.653		        -12.960		         -5.747		         -5.625		            nan		            nan		         -3.051		            nan		         -2.653
              0		             60		         14.998		         10.986		         50.539		         -3.663		        -12.967		         -5.770		         -5.578		            nan		            nan		         -3.140		            nan		         -2.653
              0		             61		         14.998		         10.986		         50.539		         -3.663		        -12.967		         -5.770		         -5.578		            nan		            nan		         -3.140		            nan		         -2.653
              0		             62		         15.287		         11.274		         22.514		         -1.617		        -11.459		         -2.552		         -6.649		            nan		            nan		         -3.296		            nan		         -2.653
              0		             63		         15.287		         11.274		         22.514		         -1.617		        -11.459		         -2.552		         -6.649		            nan		            nan		         -3.296		            nan		         -2.653
              0		             64		         17.669		         13.657		         24.032		         -1.422		        -10.329		         -2.089		         -3.911		            nan		            nan		         -2.128		            nan		         -2.653
              0		             65		         17.669		         13.657		         24.032		         -1.422		        -10.329		         -2.089		         -3.911		            nan		            nan		         -2.128		            nan		         -2.653
              0		             66		         17.768		         13.755		         35.218		         -2.181		        -10.684		         -3.142		         -5.164		            nan		            nan		         -0.064		            nan		         -2.653
              0		             67		         17.768		         13.755		         35.218		         -2.181		        -10.684		         -3.142		         -5.164		            nan		            nan		         -0.064		            nan		         -2.653
              0		             68		         19.070		         15.057		         20.379		         -1.087		         -8.975		         -1.829		         -3.321		            nan		            nan		          0.514		            nan		         -2.653
              0		             69		         19.070		         15.057		         20.379		         -1.087		         -8.975		         -1.829		         -3.321		            nan		            nan		          0.514		            nan		         -2.653
