[lxrun] JID 54520354 · 1 nodes · 29:21 left · 1/1 free · incoming: lx-B
  1  nid008332  free   —              —      —  ← starting lx-B  python3 -u -m gw.kin_ion
JAX: 1 gpu devices
JAX: 1 gpu devices
JAX: 1 gpu devices
JAX: 1 gpu devices
== kin_ion_io ==
== kin_ion_io ==
Loading WFN: WFN.h5
Loading WFN: WFN.h5
== kin_ion_io ==
Loading WFN: WFN.h5
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 60, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Bands: 60, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Bands: 60, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Bands: 60, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Building V_loc...
Building V_loc...
Building V_loc...
Building V_loc...
Building unified V_NL setup...
Building unified V_NL setup...
E0615 14:01:10.668777  919128 hlo_lexer.cc:443] Failed to parse int literal: 3108256298220942765969
Building unified V_NL setup...
Building unified V_NL setup...
E0615 14:01:10.821075  919130 hlo_lexer.cc:443] Failed to parse int literal: 3108256298220942765969
E0615 14:01:10.843599  919132 hlo_lexer.cc:443] Failed to parse int literal: 3108256298220942765969
E0615 14:01:10.844094  919127 hlo_lexer.cc:443] Failed to parse int literal: 3108256298220942765969

Processing 64 k-points...
  k=1/64...

Processing 64 k-points...
  k=1/64...

Processing 64 k-points...
  k=1/64...

Processing 64 k-points...
  k=1/64...
  k=17/64...
  k=17/64...
  k=17/64...
  k=17/64...
  k=33/64...
  k=33/64...
  k=33/64...
  k=33/64...
  k=49/64...
  k=49/64...
  k=49/64...
  k=49/64...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/NONBISPINOR_CPU_2026-05-20/mu384_e2e_gpu_ref/kin_ion.h5...
Wrote kin_ion.h5: shape (64, 60, 60), sys_dim=3
--- Timing (seconds) ---
Total recorded: 15.593 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.232       0.232    1.5
build_V_loc                                            1       1.756       1.756   11.3
k0                                                     1       2.128       2.128   13.6
k1                                                     1       1.570       1.570   10.1
k2                                                     1       1.413       1.413    9.1
k3                                                     1       0.012       0.012    0.1
k4                                                     1       0.009       0.009    0.1
k5                                                     1       1.481       1.481    9.5
k6                                                     1       1.476       1.476    9.5
k7                                                     1       1.464       1.464    9.4
k8                                                     1       0.013       0.013    0.1
k9                                                     1       0.011       0.011    0.1
k10                                                    1       1.609       1.609   10.3
k11                                                    1       0.013       0.013    0.1
k12                                                    1       0.011       0.011    0.1
k13                                                    1       0.011       0.011    0.1
k14                                                    1       0.011       0.011    0.1
k15                                                    1       0.011       0.011    0.1
k16                                                    1       0.013       0.013    0.1
k17                                                    1       0.056       0.056    0.4
k18                                                    1       0.024       0.024    0.2
k19                                                    1       0.012       0.012    0.1
k20                                                    1       0.011       0.011    0.1
k21                                                    1       0.011       0.011    0.1
k22                                                    1       0.011       0.011    0.1
k23                                                    1       0.010       0.010    0.1
k24                                                    1       0.011       0.011    0.1
k25                                                    1       0.011       0.011    0.1
k26                                                    1       0.010       0.010    0.1
k27                                                    1       1.652       1.652   10.6
k28                                                    1       0.012       0.012    0.1
k29                                                    1       0.011       0.011    0.1
k30                                                    1       0.010       0.010    0.1
k31                                                    1       0.010       0.010    0.1
k32                                                    1       0.049       0.049    0.3
k33                                                    1       0.037       0.037    0.2
k34                                                    1       0.011       0.011    0.1
k35                                                    1       0.010       0.010    0.1
k36                                                    1       0.012       0.012    0.1
k37                                                    1       0.011       0.011    0.1
k38                                                    1       0.011       0.011    0.1
k39                                                    1       0.010       0.010    0.1
k40                                                    1       0.012       0.012    0.1
k41                                                    1       0.011       0.011    0.1
k42                                                    1       0.011       0.011    0.1
k43                                                    1       0.011       0.011    0.1
k44                                                    1       0.011       0.011    0.1
k45                                                    1       0.011       0.011    0.1
k46                                                    1       0.011       0.011    0.1
k47                                                    1       0.011       0.011    0.1
k48                                                    1       0.012       0.012    0.1
k49                                                    1       0.011       0.011    0.1
k50                                                    1       0.011       0.011    0.1
k51                                                    1       0.013       0.013    0.1
k52                                                    1       0.011       0.011    0.1
k53                                                    1       0.011       0.011    0.1
k54                                                    1       0.016       0.016    0.1
k55                                                    1       0.037       0.037    0.2
k56                                                    1       0.042       0.042    0.3
k57                                                    1       0.012       0.012    0.1
k58                                                    1       0.012       0.012    0.1
k59                                                    1       0.011       0.011    0.1
k60                                                    1       0.010       0.010    0.1
k61                                                    1       0.010       0.010    0.1
k62                                                    1       0.010       0.010    0.1
k63                                                    1       0.010       0.010    0.1
write_h5                                               1       0.008       0.008    0.0

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/NONBISPINOR_CPU_2026-05-20/mu384_e2e_gpu_ref/kin_ion.h5...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/NONBISPINOR_CPU_2026-05-20/mu384_e2e_gpu_ref/kin_ion.h5...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/NONBISPINOR_CPU_2026-05-20/mu384_e2e_gpu_ref/kin_ion.h5...
Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/global/homes/j/jackm/software/lorrax_B/src/gw/kin_ion_io.py", line 220, in <module>
Wrote kin_ion.h5: shape (64, 60, 60), sys_dim=3
--- Timing (seconds) ---
Total recorded: 15.613 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.231       0.231    1.5
build_V_loc                                            1       1.761       1.761   11.3
k0                                                     1       2.148       2.148   13.8
k1                                                     1       1.524       1.524    9.8
k2                                                     1       1.405       1.405    9.0
k3                                                     1       0.035       0.035    0.2
k4                                                     1       0.010       0.010    0.1
k5                                                     1       1.504       1.504    9.6
k6                                                     1       1.448       1.448    9.3
k7                                                     1       1.466       1.466    9.4
k8                                                     1       0.013       0.013    0.1
k9                                                     1       0.011       0.011    0.1
k10                                                    1       1.620       1.620   10.4
k11                                                    1       0.013       0.013    0.1
k12                                                    1       0.011       0.011    0.1
k13                                                    1       0.011       0.011    0.1
k14                                                    1       0.010       0.010    0.1
k15                                                    1       0.011       0.011    0.1
k16                                                    1       0.011       0.011    0.1
k17                                                    1       0.059       0.059    0.4
k18                                                    1       0.025       0.025    0.2
k19                                                    1       0.011       0.011    0.1
k20                                                    1       0.011       0.011    0.1
k21                                                    1       0.011       0.011    0.1
k22                                                    1       0.011       0.011    0.1
k23                                                    1       0.010       0.010    0.1
k24                                                    1       0.011       0.011    0.1
k25                                                    1       0.011       0.011    0.1
k26                                                    1       0.010       0.010    0.1
k27                                                    1       1.680       1.680   10.8
k28                                                    1       0.013       0.013    0.1
k29                                                    1       0.022       0.022    0.1
k30                                                    1       0.035       0.035    0.2
k31                                                    1       0.035       0.035    0.2
k32                                                    1       0.011       0.011    0.1
k33                                                    1       0.010       0.010    0.1
k34                                                    1       0.011       0.011    0.1
k35                                                    1       0.011       0.011    0.1
k36                                                    1       0.010       0.010    0.1
k37                                                    1       0.010       0.010    0.1
k38                                                    1       0.010       0.010    0.1
k39                                                    1       0.010       0.010    0.1
k40                                                    1       0.011       0.011    0.1
k41                                                    1       0.010       0.010    0.1
k42                                                    1       0.011       0.011    0.1
k43                                                    1       0.011       0.011    0.1
k44                                                    1       0.011       0.011    0.1
k45                                                    1       0.011       0.011    0.1
k46                                                    1       0.012       0.012    0.1
k47                                                    1       0.011       0.011    0.1
k48                                                    1       0.012       0.012    0.1
k49                                                    1       0.011       0.011    0.1
k50                                                    1       0.011       0.011    0.1
k51                                                    1       0.012       0.012    0.1
k52                                                    1       0.011       0.011    0.1
k53                                                    1       0.025       0.025    0.2
k54                                                    1       0.026       0.026    0.2
k55                                                    1       0.042       0.042    0.3
k56                                                    1       0.011       0.011    0.1
k57                                                    1       0.011       0.011    0.1
k58                                                    1       0.011       0.011    0.1
k59                                                    1       0.010       0.010    0.1
k60                                                    1       0.010       0.010    0.1
k61                                                    1       0.010       0.010    0.1
k62                                                    1       0.010       0.010    0.1
k63                                                    1       0.010       0.010    0.1
write_h5                                               1       0.013       0.013    0.1
Wrote kin_ion.h5: shape (64, 60, 60), sys_dim=3
--- Timing (seconds) ---
Total recorded: 15.438 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.233       0.233    1.5
build_V_loc                                            1       1.583       1.583   10.3
k0                                                     1       2.035       2.035   13.2
k1                                                     1       1.566       1.566   10.1
k2                                                     1       1.491       1.491    9.7
k3                                                     1       0.025       0.025    0.2
k4                                                     1       0.010       0.010    0.1
k5                                                     1       1.499       1.499    9.7
k6                                                     1       1.463       1.463    9.5
k7                                                     1       1.452       1.452    9.4
k8                                                     1       0.015       0.015    0.1
k9                                                     1       0.012       0.012    0.1
k10                                                    1       1.614       1.614   10.5
k11                                                    1       0.013       0.013    0.1
k12                                                    1       0.012       0.012    0.1
k13                                                    1       0.011       0.011    0.1
k14                                                    1       0.010       0.010    0.1
k15                                                    1       0.011       0.011    0.1
k16                                                    1       0.011       0.011    0.1
k17                                                    1       0.059       0.059    0.4
k18                                                    1       0.027       0.027    0.2
k19                                                    1       0.011       0.011    0.1
k20                                                    1       0.011       0.011    0.1
k21                                                    1       0.011       0.011    0.1
k22                                                    1       0.012       0.012    0.1
k23                                                    1       0.010       0.010    0.1
k24                                                    1       0.011       0.011    0.1
k25                                                    1       0.010       0.010    0.1
k26                                                    1       0.010       0.010    0.1
k27                                                    1       1.675       1.675   10.9
k28                                                    1       0.013       0.013    0.1
k29                                                    1       0.011       0.011    0.1
k30                                                    1       0.045       0.045    0.3
k31                                                    1       0.035       0.035    0.2
