# Generated by LORRAX unknown at 2026-07-21 06:20:45 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.484467  Re=  -78.808828  Im=-149156.809806
n=1    E_DFT=  -65.484467  Re=  -78.030220  Im=149151.837711
n=2    E_DFT=  -42.100571  Re=  -78.871275  Im=828593.702254
n=3    E_DFT=  -42.100571  Re=  -82.615966  Im=-2473249.066146
n=4    E_DFT=  -39.580049  Re=  -64.551583  Im=-1551187.057349
n=5    E_DFT=  -39.580049  Re=  -61.714119  Im=910959.076371
n=6    E_DFT=  -39.404857  Re=  -96.128909  Im=2037030.115390
n=7    E_DFT=  -39.404857  Re=  -94.308722  Im=165742.364295
n=8    E_DFT=  -19.386943  Re=  -22.166881  Im=-1563.415555
n=9    E_DFT=  -19.386943  Re=  -22.183653  Im= 1559.767681
n=10   E_DFT=  -18.188235  Re=  -24.419781  Im=-6164.532279
n=11   E_DFT=  -18.188235  Re=  -24.416959  Im= 6534.877514
n=12   E_DFT=  -10.891408  Re=  -13.238827  Im= 3145.320224
n=13   E_DFT=  -10.891408  Re=  -13.275312  Im=-6423.379266
n=14   E_DFT=   -7.880919  Re=   -6.312567  Im=-55107.806956
n=15   E_DFT=   -7.880919  Re=   -5.849368  Im=-115781.710847
n=16   E_DFT=   -7.821581  Re=   -5.909024  Im= 1921.252491
n=17   E_DFT=   -7.821581  Re=   -6.361510  Im=149114.570218
n=18   E_DFT=   -7.130428  Re=   -6.013659  Im=   21.773275
n=19   E_DFT=   -7.130428  Re=   -6.022573  Im=-3280.160857
n=20   E_DFT=   -6.799255  Re=  -11.219744  Im=-3525735.971822
n=21   E_DFT=   -6.799255  Re=  -10.168224  Im=3395229.524135
n=22   E_DFT=   -6.718285  Re=  -11.093171  Im=-3347621.182795
n=23   E_DFT=   -6.718285  Re=  -10.079739  Im=3434149.065024
