kFft                   	
kKernel                	, kernel = loop_sine_fusion, launch dimensions = blocks: {1583, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_gather_fusion, launch dimensions = blocks: {507, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kCollectivePermuteStart	
kAllGatherStart        	
kKernel                	, kernel = loop_transpose_fusion_1, launch dimensions = blocks: {1013, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllToAllStart         	
kAllToAllDone          	
kKernel                	, kernel = input_complex_transpose_fusion, launch dimensions = blocks: {540, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kCollectivePermuteStart	
kAllGatherStart        	
kKernel                	, kernel = loop_transpose_fusion, launch dimensions = blocks: {2025, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
