JAX: 1 gpu devices
== Chunked kin_ion_io ==
Loading WFN: WFN.h5
Bands: 60, FFT grid: (24, 24, 24), k-points: 64
sys_dim: 3
Devices: 1
Pseudopotentials: ['Si']
Coulomb truncation: 3D bulk
Building V_loc...
Building unified V_NL setup...

Processing 64 k-points...
  k=1/64...
  k=17/64...
  k=33/64...
  k=49/64...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/Si/00_si_4x4x4_60band/A_override_2026-04-24/kin_ion.h5...
Wrote kin_ion.h5: shape (64, 60, 60), sys_dim=3
--- Timing (seconds) ---
Total recorded: 18.602 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       0.257       0.257    1.4
build_V_loc                                            1       0.897       0.897    4.8
k0                                                     1       2.725       2.725   14.6
k1                                                     1       1.809       1.809    9.7
k2                                                     1       1.800       1.800    9.7
k3                                                     1       0.036       0.036    0.2
k4                                                     1       0.041       0.041    0.2
k5                                                     1       1.748       1.748    9.4
k6                                                     1       1.821       1.821    9.8
k7                                                     1       1.799       1.799    9.7
k8                                                     1       0.036       0.036    0.2
k9                                                     1       0.033       0.033    0.2
k10                                                    1       1.824       1.824    9.8
k11                                                    1       0.039       0.039    0.2
k12                                                    1       0.034       0.034    0.2
k13                                                    1       0.033       0.033    0.2
k14                                                    1       0.032       0.032    0.2
k15                                                    1       0.031       0.031    0.2
k16                                                    1       0.055       0.055    0.3
k17                                                    1       0.058       0.058    0.3
k18                                                    1       0.042       0.042    0.2
k19                                                    1       0.035       0.035    0.2
k20                                                    1       0.032       0.032    0.2
k21                                                    1       0.032       0.032    0.2
k22                                                    1       0.034       0.034    0.2
k23                                                    1       0.032       0.032    0.2
k24                                                    1       0.031       0.031    0.2
k25                                                    1       0.035       0.035    0.2
k26                                                    1       0.032       0.032    0.2
k27                                                    1       1.805       1.805    9.7
k28                                                    1       0.057       0.057    0.3
k29                                                    1       0.053       0.053    0.3
k30                                                    1       0.033       0.033    0.2
k31                                                    1       0.034       0.034    0.2
k32                                                    1       0.033       0.033    0.2
k33                                                    1       0.033       0.033    0.2
k34                                                    1       0.037       0.037    0.2
k35                                                    1       0.034       0.034    0.2
k36                                                    1       0.034       0.034    0.2
k37                                                    1       0.033       0.033    0.2
k38                                                    1       0.041       0.041    0.2
k39                                                    1       0.066       0.066    0.4
k40                                                    1       0.046       0.046    0.2
k41                                                    1       0.033       0.033    0.2
k42                                                    1       0.032       0.032    0.2
k43                                                    1       0.034       0.034    0.2
k44                                                    1       0.032       0.032    0.2
k45                                                    1       0.032       0.032    0.2
k46                                                    1       0.036       0.036    0.2
k47                                                    1       0.032       0.032    0.2
k48                                                    1       0.033       0.033    0.2
k49                                                    1       0.032       0.032    0.2
k50                                                    1       0.045       0.045    0.2
k51                                                    1       0.055       0.055    0.3
k52                                                    1       0.043       0.043    0.2
k53                                                    1       0.032       0.032    0.2
k54                                                    1       0.031       0.031    0.2
k55                                                    1       0.032       0.032    0.2
k56                                                    1       0.032       0.032    0.2
k57                                                    1       0.032       0.032    0.2
k58                                                    1       0.031       0.031    0.2
k59                                                    1       0.032       0.032    0.2
k60                                                    1       0.032       0.032    0.2
k61                                                    1       0.033       0.033    0.2
k62                                                    1       0.058       0.058    0.3
k63                                                    1       0.059       0.059    0.3
write_h5                                               1       0.008       0.008    0.0
