# Generated by LORRAX unknown at 2026-07-21 19:39:55 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=37  sigX=   -5.807133              sigC=   -4.629039+ -0.000005i  sigXC=  -10.436172+ -0.000005i  VH=  340.523025  Eo=    3.734850
n=38  sigX=   -3.907095              sigC=   -3.878982+ -0.000002i  sigXC=   -7.786078+ -0.000002i  VH=  140.138790  Eo=    3.946919
n=39  sigX=   -3.907095              sigC=   -3.878982+ -0.000002i  sigXC=   -7.786078+ -0.000002i  VH=  140.138790  Eo=    3.946919
n=40  sigX=   -2.456082              sigC=   -3.609041+ -0.000001i  sigXC=   -6.065123+ -0.000001i  VH=   27.322006  Eo=    4.785055
n=41  sigX=   -2.456082              sigC=   -3.609041+ -0.000001i  sigXC=   -6.065123+ -0.000001i  VH=   27.322006  Eo=    4.785055
n=42  sigX=   -5.868445              sigC=   -5.136316+ -0.000042i  sigXC=  -11.004761+ -0.000042i  VH=  362.828007  Eo=    5.503172
n=43  sigX=   -5.868445              sigC=   -5.136316+ -0.000042i  sigXC=  -11.004761+ -0.000042i  VH=  362.828007  Eo=    5.503172
n=44  sigX=   -5.865141              sigC=   -5.134643+  0.000036i  sigXC=  -10.999784+  0.000036i  VH=  361.409310  Eo=    5.579950
n=45  sigX=   -5.865141              sigC=   -5.134643+  0.000036i  sigXC=  -10.999784+  0.000036i  VH=  361.409310  Eo=    5.579950
n=46  sigX=   -5.688634              sigC=   -5.017754+ -0.000197i  sigXC=  -10.706388+ -0.000197i  VH=  338.701432+ -0.000000i  Eo=    7.479930
n=47  sigX=   -5.688634              sigC=   -5.017754+ -0.000197i  sigXC=  -10.706388+ -0.000197i  VH=  338.701432+ -0.000000i  Eo=    7.479930
n=48  sigX=   -5.694761              sigC=   -5.013909+  0.000140i  sigXC=  -10.708670+  0.000140i  VH=  339.937413+ -0.000000i  Eo=    7.497363
n=49  sigX=   -5.694761              sigC=   -5.013909+  0.000140i  sigXC=  -10.708670+  0.000140i  VH=  339.937413+ -0.000000i  Eo=    7.497363
n=50  sigX=   -5.761423              sigC=   -4.909270+  0.000060i  sigXC=  -10.670693+  0.000060i  VH=  281.946585+ -0.000000i  Eo=    7.654692
n=51  sigX=   -5.761423              sigC=   -4.909270+  0.000060i  sigXC=  -10.670693+  0.000060i  VH=  281.946585+ -0.000000i  Eo=    7.654692
n=52  sigX=   -5.326215              sigC=   -4.966300+ -0.000089i  sigXC=  -10.292515+ -0.000089i  VH=  322.867741  Eo=   10.761649
n=53  sigX=   -5.326215              sigC=   -4.966300+ -0.000089i  sigXC=  -10.292515+ -0.000089i  VH=  322.867741  Eo=   10.761649
n=54  sigX=   -5.324088              sigC=   -4.967047+  0.000084i  sigXC=  -10.291135+  0.000084i  VH=  323.027664  Eo=   10.776236
n=55  sigX=   -5.324088              sigC=   -4.967047+  0.000084i  sigXC=  -10.291135+  0.000084i  VH=  323.027664  Eo=   10.776236
n=56  sigX=   -3.379275              sigC=   -4.371091+ -0.000005i  sigXC=   -7.750365+ -0.000005i  VH=  362.815500  Eo=   10.850507
n=57  sigX=   -3.379275              sigC=   -4.371091+ -0.000005i  sigXC=   -7.750365+ -0.000005i  VH=  362.815500  Eo=   10.850507
n=58  sigX=   -5.882703              sigC=   -4.992280+  0.000143i  sigXC=  -10.874983+  0.000143i  VH=  337.766362  Eo=   11.100027
n=59  sigX=   -5.882703              sigC=   -4.992280+  0.000143i  sigXC=  -10.874983+  0.000143i  VH=  337.766362  Eo=   11.100027
n=60  sigX=   -5.901818              sigC=   -4.993253+ -0.000138i  sigXC=  -10.895071+ -0.000138i  VH=  337.405509  Eo=   11.106968
n=61  sigX=   -5.901818              sigC=   -4.993253+ -0.000138i  sigXC=  -10.895071+ -0.000138i  VH=  337.405509  Eo=   11.106968
n=62  sigX=   -2.432475              sigC=   -3.466781+  0.000000i  sigXC=   -5.899256+  0.000000i  VH=  136.748576  Eo=   11.233375
n=63  sigX=   -2.432475              sigC=   -3.466781+  0.000000i  sigXC=   -5.899256+  0.000000i  VH=  136.748576  Eo=   11.233375
n=64  sigX=   -2.087270              sigC=   -3.033305+  0.000000i  sigXC=   -5.120574+  0.000000i  VH=   41.731425+  0.000000i  Eo=   14.035511
n=65  sigX=   -2.087270              sigC=   -3.033305+  0.000000i  sigXC=   -5.120574+  0.000000i  VH=   41.731425+  0.000000i  Eo=   14.035511
n=66  sigX=   -1.882314              sigC=   -3.042539+ -0.000002i  sigXC=   -4.924853+ -0.000002i  VH=   58.696745  Eo=   14.277797
n=67  sigX=   -1.882314              sigC=   -3.042539+ -0.000002i  sigXC=   -4.924853+ -0.000002i  VH=   58.696745  Eo=   14.277797
n=68  sigX=   -2.938524              sigC=   -3.493992+ -0.000002i  sigXC=   -6.432517+ -0.000002i  VH=  134.587195  Eo=   14.661947
n=69  sigX=   -2.938524              sigC=   -3.493992+ -0.000002i  sigXC=   -6.432517+ -0.000002i  VH=  134.587195  Eo=   14.661947
n=70  sigX=   -1.649382              sigC=   -2.588608+ -0.000000i  sigXC=   -4.237990+ -0.000000i  VH=  -20.559245+  0.000000i  Eo=   16.071643
n=71  sigX=   -1.649382              sigC=   -2.588608+ -0.000000i  sigXC=   -4.237990+ -0.000000i  VH=  -20.559245+  0.000000i  Eo=   16.071643
n=72  sigX=   -3.240463              sigC=   -3.674000+  0.000022i  sigXC=   -6.914463+  0.000022i  VH=  290.582742  Eo=   18.061621
n=73  sigX=   -3.240463              sigC=   -3.674000+  0.000022i  sigXC=   -6.914463+  0.000022i  VH=  290.582742  Eo=   18.061621
