# memory_timeline.txt — live-array sampler output
# Interval: 0.500s  |  Samples: 110

── Peak  at t=48.64s  (backend=cpu)  ──────────────────────────
bytes_in_use                = 68.39 GiB
device.peak_bytes_in_use    = 0.00 B  (cumulative)
process RSS at peak          = 68.39 GiB
sum of jax.live_arrays()    = 464.71 MiB
n live arrays at peak        = 66
peak RSS across run          = 68.39 GiB  (this process)

# NOTE: CPU backend — device.memory_stats() is empty.
# bytes_in_use above is the per-sample process RSS (max of stats vs RSS).
# For multi-rank decomposition use /usr/bin/time -v on a per-rank wrapper.

Top JAX arrays at peak:
            size  dtype         shape
       50.62 MiB  complex128    (64, 432, 60, 2)
   41.63       66.04 GiB       66.04 GiB       66      464.71 MiB
   42.13       66.04 GiB       66.04 GiB       66      464.71 MiB
   42.63       66.04 GiB       66.04 GiB       66      464.71 MiB
   43.13       66.04 GiB       66.04 GiB       66      464.71 MiB
   43.63       66.04 GiB       66.04 GiB       66      464.71 MiB
   44.13       66.04 GiB       66.04 GiB       66      464.71 MiB
   44.63       66.04 GiB       66.04 GiB       66      464.71 MiB
   45.14       66.04 GiB       66.04 GiB       66      464.71 MiB
   45.64       66.04 GiB       66.04 GiB       66      464.71 MiB
   46.14       66.04 GiB       66.04 GiB       66      464.71 MiB
   46.64       66.04 GiB       66.04 GiB       66      464.71 MiB
   47.14       66.59 GiB       66.59 GiB       66      464.71 MiB
   47.64       67.29 GiB       67.29 GiB       66      464.71 MiB
   48.14       68.00 GiB       68.00 GiB       66      464.71 MiB
   48.64       68.39 GiB       68.39 GiB       66      464.71 MiB
   49.14       68.39 GiB       68.39 GiB       66      464.71 MiB
   49.64       68.39 GiB       68.39 GiB       66      464.71 MiB
   50.14       68.39 GiB       68.39 GiB       66      464.71 MiB
   50.64       68.39 GiB       68.39 GiB       66      464.71 MiB
   51.14       68.39 GiB       68.39 GiB       66      464.71 MiB
   51.65       61.35 GiB       61.35 GiB       66      464.71 MiB
   52.15       52.69 GiB       52.69 GiB       66      464.71 MiB
   52.65        6.26 GiB        6.26 GiB       61        4.79 GiB
   53.15        6.26 GiB        6.26 GiB       61        4.79 GiB
   53.65        1.78 GiB        1.78 GiB       62      867.94 MiB
   54.15        2.33 GiB        2.33 GiB       67      363.52 MiB
   54.21      942.32 MiB      942.32 MiB       52        5.97 MiB
