# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.78111523E+00  -9.18367045E+00   5.97444781E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.15543037E+00   1.22023060E+00   6.48002333E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     25  -7.03175984E+00  -6.46136911E+00   5.70390734E-01
     26  -7.10371076E+00  -6.56855058E+00   5.35160187E-01
     27  -7.17314850E+00  -6.65627217E+00   5.16876337E-01
     28  -7.24258443E+00  -6.74398947E+00   4.98594954E-01
     29  -7.30524241E+00  -6.80858434E+00   4.96658070E-01
     30  -7.36790062E+00  -6.87317918E+00   4.94721442E-01
     31  -7.44676094E+00  -6.94616982E+00   5.00591121E-01
     32  -7.52562118E+00  -7.01916066E+00   5.06460520E-01
     33  -7.59038451E+00  -7.07807817E+00   5.12306341E-01
     34  -7.65514351E+00  -7.13699659E+00   5.18146919E-01
     35  -7.70835142E+00  -7.19833718E+00   5.10014235E-01
     36  -7.76156237E+00  -7.25967919E+00   5.01883178E-01
     37  -7.81101322E+00  -7.31278037E+00   4.98232851E-01
     38  -7.86043499E+00  -7.36587674E+00   4.94558244E-01
     39  -7.91349541E+00  -7.41400092E+00   4.99494485E-01
     40  -7.96661797E+00  -7.46212655E+00   5.04491415E-01
     41  -8.00352911E+00  -7.50761135E+00   4.95917753E-01
     42  -8.04044075E+00  -7.55309466E+00   4.87346093E-01
     43  -8.08372856E+00  -7.59379086E+00   4.89937700E-01
     44  -8.12701575E+00  -7.63448838E+00   4.92527367E-01
     45  -8.16304873E+00  -7.67290350E+00   4.90145233E-01
     46  -8.19908162E+00  -7.71131349E+00   4.87768132E-01
     47  -8.22612426E+00  -7.74249973E+00   4.83624526E-01
     48  -8.25316699E+00  -7.77369461E+00   4.79472384E-01
     49  -8.29619356E+00  -7.80811897E+00   4.88074591E-01
     50  -8.33921923E+00  -7.84254331E+00   4.96675919E-01
     51  -8.37189400E+00  -7.86969018E+00   5.02203816E-01
     52  -8.40456639E+00  -7.89683720E+00   5.07729187E-01
     53  -8.43562959E+00  -7.92530079E+00   5.10328802E-01
     54  -8.46668563E+00  -7.95375889E+00   5.12926731E-01
     55  -8.48813999E+00  -7.98125023E+00   5.06889757E-01
     56  -8.50960111E+00  -8.00875394E+00   5.00847173E-01
     57  -8.53010807E+00  -8.03051208E+00   4.99595996E-01
     58  -8.55062351E+00  -8.05228538E+00   4.98338132E-01
     59  -8.57064215E+00  -8.07248299E+00   4.98159164E-01
     60  -8.59066187E+00  -8.09268290E+00   4.97978975E-01
# k =  -0.000000  -0.000000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.71033832E+00  -9.32697835E+00   3.83359972E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.09380914E+00   1.21169508E+00   1.17885938E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.72742543E-01  -2.32053026E-01   4.06895176E-02
      2  -5.45485476E-01  -4.64106079E-01   8.13793970E-02
      3  -9.24985709E-01  -7.66775907E-01   1.58209802E-01
      4  -1.30448723E+00  -1.06944573E+00   2.35041499E-01
      5  -1.68683662E+00  -1.29172460E+00   3.95112021E-01
      6  -2.06918750E+00  -1.51400304E+00   5.55184461E-01
      7  -3.34030187E+00  -1.63143310E+00   1.70886877E+00
      8  -4.61141976E+00  -1.74886246E+00   2.86255730E+00
      9  -4.73319244E+00  -2.81069647E+00   1.92249597E+00
     10  -4.85496464E+00  -3.87253049E+00   9.82434150E-01
     11  -5.02346783E+00  -4.03200540E+00   9.91462426E-01
     12  -5.19197122E+00  -4.19148033E+00   1.00049089E+00
     13  -5.42231660E+00  -4.60814436E+00   8.14172246E-01
     14  -5.65266050E+00  -5.02480972E+00   6.27850775E-01
     15  -5.85285533E+00  -5.24486148E+00   6.07993845E-01
     16  -6.05305124E+00  -5.46491202E+00   5.88139226E-01
     17  -6.18622427E+00  -5.59699117E+00   5.89233102E-01
     18  -6.31939556E+00  -5.72907030E+00   5.90325267E-01
     19  -6.46921185E+00  -5.82668892E+00   6.42522937E-01
     20  -6.61902616E+00  -5.92430748E+00   6.94718683E-01
     21  -6.71482056E+00  -6.04772124E+00   6.67099316E-01
     22  -6.81061496E+00  -6.17113500E+00   6.39479952E-01
     23  -6.91830503E+00  -6.28253556E+00   6.35769475E-01
     24  -7.02599511E+00  -6.39393611E+00   6.32058994E-01
     25  -7.09533496E+00  -6.50598159E+00   5.89353366E-01
     26  -7.16467381E+00  -6.61802708E+00   5.46646730E-01
     27  -7.23155752E+00  -6.70242744E+00   5.29130081E-01
     28  -7.29844097E+00  -6.78682780E+00   5.11613168E-01
     29  -7.36068145E+00  -6.85151692E+00   5.09164530E-01
     30  -7.42292237E+00  -6.91620604E+00   5.06716333E-01
     31  -7.49815733E+00  -6.98795570E+00   5.10201633E-01
     32  -7.57339215E+00  -7.05970536E+00   5.13686789E-01
     33  -7.63800134E+00  -7.11855071E+00   5.19450635E-01
     34  -7.70261090E+00  -7.17739580E+00   5.25215098E-01
     35  -7.75469147E+00  -7.24083243E+00   5.13859040E-01
     36  -7.80677225E+00  -7.30426885E+00   5.02503403E-01
     37  -7.85655846E+00  -7.35674706E+00   4.99811400E-01
     38  -7.90634470E+00  -7.40922519E+00   4.97119517E-01
     39  -7.95720244E+00  -7.45591169E+00   5.01290747E-01
     40  -8.00806043E+00  -7.50259822E+00   5.05462212E-01
     41  -8.04341040E+00  -7.54620186E+00   4.97208539E-01
     42  -8.07876038E+00  -7.58980551E+00   4.88954878E-01
     43  -8.12113517E+00  -7.62856904E+00   4.92566133E-01
     44  -8.16350990E+00  -7.66733257E+00   4.96177328E-01
     45  -8.19839521E+00  -7.70516199E+00   4.93233217E-01
     46  -8.23328025E+00  -7.74299142E+00   4.90288832E-01
     47  -8.26044302E+00  -7.77411647E+00   4.86326555E-01
     48  -8.28760627E+00  -7.80524153E+00   4.82364739E-01
     49  -8.32907652E+00  -7.83982376E+00   4.89252760E-01
     50  -8.37054680E+00  -7.87440599E+00   4.96140807E-01
     51  -8.40203186E+00  -7.90014936E+00   5.01882500E-01
     52  -8.43351695E+00  -7.92589272E+00   5.07624231E-01
     53  -8.46425595E+00  -7.95327162E+00   5.10984322E-01
     54  -8.49499483E+00  -7.98065048E+00   5.14344347E-01
     55  -8.51580206E+00  -8.00742501E+00   5.08377051E-01
     56  -8.53660927E+00  -8.03419954E+00   5.02409733E-01
     57  -8.55640550E+00  -8.05539921E+00   5.01006296E-01
     58  -8.57620183E+00  -8.07659894E+00   4.99602894E-01
     59  -8.59636553E+00  -8.09594113E+00   5.00424408E-01
     60  -8.61652918E+00  -8.11528327E+00   5.01245910E-01
# k =   0.000000   0.000000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.70688115E+00  -9.34193230E+00   3.64948849E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.11616762E+00   1.24924414E+00   1.33076521E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.53995672E-01  -2.17875387E-01   3.61202850E-02
      2  -5.07993386E-01  -4.35755993E-01   7.22373925E-02
      3  -9.21891724E-01  -7.34399325E-01   1.87492399E-01
      4  -1.33579128E+00  -1.03304355E+00   3.02747730E-01
      5  -1.73212637E+00  -1.23410852E+00   4.98017852E-01
      6  -2.12746477E+00  -1.43517732E+00   6.92287451E-01
      7  -3.31387655E+00  -1.57232836E+00   1.74154819E+00
      8  -4.49889210E+00  -1.70950490E+00   2.78938720E+00
      9  -4.62359121E+00  -2.69596093E+00   1.92763028E+00
     10  -4.74829226E+00  -3.68240446E+00   1.06588780E+00
     11  -4.91701961E+00  -3.89401943E+00   1.02300017E+00
     12  -5.08574977E+00  -4.10561217E+00   9.80137599E-01
     13  -5.31352871E+00  -4.44793261E+00   8.65596101E-01
     14  -5.54180587E+00  -4.79024698E+00   7.51558889E-01
     15  -5.73092775E+00  -5.06626318E+00   6.64664575E-01
     16  -5.91984357E+00  -5.34227532E+00   5.77568251E-01
     17  -6.07168528E+00  -5.48594021E+00   5.85745068E-01
     18  -6.22366174E+00  -5.62957853E+00   5.94083215E-01
     19  -6.37247872E+00  -5.73527739E+00   6.37201336E-01
     20  -6.52139746E+00  -5.84100190E+00   6.80395564E-01
     21  -6.61783314E+00  -5.97607297E+00   6.41760170E-01
     22  -6.71426886E+00  -6.11114663E+00   6.03122229E-01
     23  -6.83705689E+00  -6.23268899E+00   6.04367897E-01
     24  -6.95984502E+00  -6.35424078E+00   6.05604241E-01
     25  -7.03176533E+00  -6.46141743E+00   5.70347903E-01
     26  -7.10368573E+00  -6.56859674E+00   5.35088986E-01
     27  -7.17311969E+00  -6.65634057E+00   5.16779121E-01
     28  -7.24255497E+00  -6.74408879E+00   4.98466176E-01
     29  -7.30530335E+00  -6.80869788E+00   4.96605471E-01
     30  -7.36805199E+00  -6.87330698E+00   4.94745007E-01
     31  -7.44698145E+00  -6.94629727E+00   5.00684176E-01
     32  -7.52591077E+00  -7.01928736E+00   5.06623416E-01
     33  -7.59070325E+00  -7.07824873E+00   5.12454521E-01
     34  -7.65550736E+00  -7.13720890E+00   5.18298463E-01
     35  -7.70874386E+00  -7.19859529E+00   5.10148576E-01
     36  -7.76198456E+00  -7.25997977E+00   5.02004796E-01
     37  -7.81144560E+00  -7.31306666E+00   4.98378938E-01
     38  -7.86093421E+00  -7.36615846E+00   4.94775753E-01
     39  -7.91400673E+00  -7.41431326E+00   4.99693468E-01
     40  -7.96702205E+00  -7.46246669E+00   5.04555360E-01
     41  -8.00391778E+00  -7.50796924E+00   4.95948540E-01
