# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=34  sigSX=   -2.233516              sigCOH=    0.000000              sigTOT=   -2.233516              VH=    2.159782+ -0.000000i
n=35  sigSX=   -2.233252              sigCOH=    0.000000              sigTOT=   -2.233252              VH=    2.164418+ -0.000000i
n=36  sigSX=   -2.210430              sigCOH=    0.000000              sigTOT=   -2.210430              VH=    4.579770+ -0.000000i
n=37  sigSX=   -2.210446              sigCOH=    0.000000              sigTOT=   -2.210446              VH=    4.581398+  0.000000i
n=38  sigSX=   -2.210460              sigCOH=    0.000000              sigTOT=   -2.210460              VH=    4.579092+  0.000000i
n=39  sigSX=   -2.210420              sigCOH=    0.000000              sigTOT=   -2.210420              VH=    4.581475+ -0.000000i
n=40  sigSX=   -2.281596              sigCOH=    0.000000              sigTOT=   -2.281596              VH=    3.520599+  0.000000i
n=41  sigSX=   -2.281623              sigCOH=    0.000000              sigTOT=   -2.281623              VH=    3.519884+  0.000000i
n=42  sigSX=   -2.281359              sigCOH=    0.000000              sigTOT=   -2.281359              VH=    3.519919+  0.000000i
n=43  sigSX=   -2.281391              sigCOH=    0.000000              sigTOT=   -2.281391              VH=    3.520070+ -0.000000i
n=44  sigSX=   -2.281485              sigCOH=    0.000000              sigTOT=   -2.281485              VH=    3.520575+ -0.000000i
n=45  sigSX=   -2.281560              sigCOH=    0.000000              sigTOT=   -2.281560              VH=    3.520374+ -0.000000i
n=46  sigSX=   -2.217989              sigCOH=    0.000000              sigTOT=   -2.217989              VH=    1.543470+ -0.000000i
n=47  sigSX=   -2.218016              sigCOH=    0.000000              sigTOT=   -2.218016              VH=    1.542791+ -0.000000i
n=48  sigSX=   -2.217915              sigCOH=    0.000000              sigTOT=   -2.217915              VH=    1.545247+  0.000000i
n=49  sigSX=   -2.217906              sigCOH=    0.000000              sigTOT=   -2.217906              VH=    1.545023+ -0.000000i
n=50  sigSX=   -2.217951              sigCOH=    0.000000              sigTOT=   -2.217951              VH=    1.542657+  0.000000i
n=51  sigSX=   -2.218019              sigCOH=    0.000000              sigTOT=   -2.218019              VH=    1.542957+  0.000000i
n=52  sigSX=   -1.356184              sigCOH=    0.000000              sigTOT=   -1.356184              VH=    2.444507+  0.000000i
n=53  sigSX=   -1.356275              sigCOH=    0.000000              sigTOT=   -1.356275              VH=    2.443185+ -0.000000i
n=54  sigSX=   -1.356309              sigCOH=    0.000000              sigTOT=   -1.356309              VH=    2.440901+  0.000000i
n=55  sigSX=   -1.356256              sigCOH=    0.000000              sigTOT=   -1.356256              VH=    2.442876+ -0.000000i
n=56  sigSX=   -1.356268              sigCOH=    0.000000              sigTOT=   -1.356268              VH=    2.442920+ -0.000000i
n=57  sigSX=   -1.356216              sigCOH=    0.000000              sigTOT=   -1.356216              VH=    2.443758+  0.000000i
n=58  sigSX=   -1.147656              sigCOH=    0.000000              sigTOT=   -1.147656              VH=    4.807216
n=59  sigSX=   -1.147656              sigCOH=    0.000000              sigTOT=   -1.147656              VH=    4.807217

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigSX=  -17.496726              sigCOH=    0.000000              sigTOT=  -17.496726              VH=    3.455939+ -0.000000i
n=1   sigSX=  -17.496726              sigCOH=    0.000000              sigTOT=  -17.496726              VH=    3.455939+ -0.000000i
n=2   sigSX=  -13.872660              sigCOH=    0.000000              sigTOT=  -13.872660              VH=    3.704003+ -0.000000i
n=3   sigSX=  -13.872660              sigCOH=    0.000000              sigTOT=  -13.872660              VH=    3.704003+ -0.000000i
n=4   sigSX=  -13.092104              sigCOH=    0.000000              sigTOT=  -13.092104              VH=    4.505783+ -0.000000i
n=5   sigSX=  -13.091977              sigCOH=    0.000000              sigTOT=  -13.091977              VH=    4.505599+  0.000000i
n=6   sigSX=  -13.091935              sigCOH=    0.000000              sigTOT=  -13.091935              VH=    4.505481+  0.000000i
n=7   sigSX=  -13.091925              sigCOH=    0.000000              sigTOT=  -13.091925              VH=    4.505793+ -0.000000i
n=8   sigSX=   -5.740901              sigCOH=    0.000000              sigTOT=   -5.740901              VH=    2.924518+ -0.000000i
n=9   sigSX=   -5.740901              sigCOH=    0.000000              sigTOT=   -5.740901              VH=    2.924518+ -0.000000i
n=10  sigSX=   -5.526128              sigCOH=    0.000000              sigTOT=   -5.526128              VH=    2.295508+  0.000000i
n=11  sigSX=   -5.526313              sigCOH=    0.000000              sigTOT=   -5.526313              VH=    2.295828+ -0.000000i
n=12  sigSX=   -5.526283              sigCOH=    0.000000              sigTOT=   -5.526283              VH=    2.295806+ -0.000000i
n=13  sigSX=   -5.526186              sigCOH=    0.000000              sigTOT=   -5.526186              VH=    2.295643+  0.000000i
n=14  sigSX=   -4.856450              sigCOH=    0.000000              sigTOT=   -4.856450              VH=    3.997458+  0.000000i
n=15  sigSX=   -4.856450              sigCOH=    0.000000              sigTOT=   -4.856450              VH=    3.997458+  0.000000i
n=16  sigSX=   -4.124722              sigCOH=    0.000000              sigTOT=   -4.124722              VH=    1.306495+  0.000000i
n=17  sigSX=   -4.124888              sigCOH=    0.000000              sigTOT=   -4.124888              VH=    1.306619+  0.000000i
n=18  sigSX=   -4.124925              sigCOH=    0.000000              sigTOT=   -4.124925              VH=    1.306974+ -0.000000i
n=19  sigSX=   -4.124856              sigCOH=    0.000000              sigTOT=   -4.124856              VH=    1.306553+  0.000000i
n=20  sigSX=   -2.284921              sigCOH=    0.000000              sigTOT=   -2.284921              VH=   -1.284875+ -0.000000i
n=21  sigSX=   -2.284921              sigCOH=    0.000000              sigTOT=   -2.284921              VH=   -1.284875+ -0.000000i
n=22  sigSX=   -2.530976              sigCOH=    0.000000              sigTOT=   -2.530976              VH=    0.354538+  0.000000i
n=23  sigSX=   -2.530976              sigCOH=    0.000000              sigTOT=   -2.530976              VH=    0.354538+  0.000000i
n=24  sigSX=   -2.529631              sigCOH=    0.000000              sigTOT=   -2.529631              VH=    1.037562+  0.000000i
n=25  sigSX=   -2.529852              sigCOH=    0.000000              sigTOT=   -2.529852              VH=    1.037021+ -0.000000i
n=26  sigSX=   -2.529814              sigCOH=    0.000000              sigTOT=   -2.529814              VH=    1.036229+ -0.000000i
n=27  sigSX=   -2.529736              sigCOH=    0.000000              sigTOT=   -2.529736              VH=    1.035579+  0.000000i
n=28  sigSX=   -2.619972              sigCOH=    0.000000              sigTOT=   -2.619972              VH=    1.192767+  0.000000i
n=29  sigSX=   -2.619974              sigCOH=    0.000000              sigTOT=   -2.619974              VH=    1.192649+  0.000000i
n=30  sigSX=   -2.619948              sigCOH=    0.000000              sigTOT=   -2.619948              VH=    1.193362+  0.000000i
n=31  sigSX=   -2.620009              sigCOH=    0.000000              sigTOT=   -2.620009              VH=    1.194292+ -0.000000i
n=32  sigSX=   -2.350628              sigCOH=    0.000000              sigTOT=   -2.350628              VH=    2.451359+  0.000000i
n=33  sigSX=   -2.350628              sigCOH=    0.000000              sigTOT=   -2.350628              VH=    2.451359+  0.000000i
n=34  sigSX=   -1.439564              sigCOH=    0.000000              sigTOT=   -1.439564              VH=   -1.112305+ -0.000000i
n=35  sigSX=   -1.439564              sigCOH=    0.000000              sigTOT=   -1.439564              VH=   -1.112305+ -0.000000i
n=36  sigSX=   -2.225320              sigCOH=    0.000000              sigTOT=   -2.225320              VH=    3.707728+  0.000000i
n=37  sigSX=   -2.225252              sigCOH=    0.000000              sigTOT=   -2.225252              VH=    3.711422+  0.000000i
n=38  sigSX=   -2.225308              sigCOH=    0.000000              sigTOT=   -2.225308              VH=    3.710374+  0.000000i
n=39  sigSX=   -2.225275              sigCOH=    0.000000              sigTOT=   -2.225275              VH=    3.710677+  0.000000i
n=40  sigSX=   -2.301680              sigCOH=    0.000000              sigTOT=   -2.301680              VH=    3.806955+ -0.000000i
n=41  sigSX=   -2.301719              sigCOH=    0.000000              sigTOT=   -2.301719              VH=    3.805472+ -0.000000i
n=42  sigSX=   -2.301710              sigCOH=    0.000000              sigTOT=   -2.301710              VH=    3.804740+ -0.000000i
n=43  sigSX=   -2.301742              sigCOH=    0.000000              sigTOT=   -2.301742              VH=    3.805438+  0.000001i
n=44  sigSX=   -2.163942              sigCOH=    0.000000              sigTOT=   -2.163942              VH=    4.132502+ -0.000000i
n=45  sigSX=   -2.163942              sigCOH=    0.000000              sigTOT=   -2.163942              VH=    4.132502+ -0.000000i
n=46  sigSX=   -1.583185              sigCOH=    0.000000              sigTOT=   -1.583185              VH=    1.082224+ -0.000000i
