# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 173

── Peak live HBM  at t=12.98s  ──────────────────────────
bytes_in_use                = 5.25 GiB
device.peak_bytes_in_use    = 9.21 GiB  (cumulative)
sum of jax.live_arrays()    = 16.95 GiB
n live arrays at peak        = 34

Top JAX arrays at peak:
            size  dtype         shape
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
     1012.50 MiB  complex128    (9, 80, 2, 24, 24, 80)
       56.25 MiB  complex128    (9, 640, 640)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 80, 2, 640)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   32.52      170.98 MiB       55      284.37 MiB
   32.80      170.71 MiB       53      284.27 MiB
   33.05      170.71 MiB       54      284.27 MiB
   33.30      171.76 MiB       55      285.15 MiB
   33.55      171.76 MiB       55      285.15 MiB
   33.80      172.64 MiB       56      286.03 MiB
   34.05      173.52 MiB       57      286.91 MiB
   34.30      315.02 MiB       57      286.91 MiB
   34.55      357.19 MiB       64      513.67 MiB
   34.81      372.45 MiB       66      573.43 MiB
   35.06      386.51 MiB       68      629.68 MiB
   35.31      408.48 MiB       71      717.57 MiB
   35.56      443.64 MiB       74      858.20 MiB
   35.81      348.57 MiB       64      489.06 MiB
   36.06      348.58 MiB       67      489.06 MiB
   36.31      348.58 MiB       70      489.06 MiB
   36.56      348.58 MiB       71      489.06 MiB
   36.81      357.70 MiB       76      524.23 MiB
   37.06      364.41 MiB       77      552.35 MiB
   37.31      357.38 MiB       76      524.23 MiB
   37.56      359.32 MiB       82      531.40 MiB
   37.82      411.79 MiB       88      571.79 MiB
   38.07      411.79 MiB       88      571.79 MiB
   38.32      411.79 MiB       88      571.79 MiB
   38.57      414.43 MiB       90      573.54 MiB
   38.82      416.19 MiB       94      575.30 MiB
   39.07      403.40 MiB       94      575.30 MiB
   39.32      413.77 MiB       95      576.18 MiB
   39.57      404.06 MiB       95      575.30 MiB
   39.82      411.13 MiB       94      575.30 MiB
   40.07      446.07 MiB       93      584.09 MiB
   40.33      463.65 MiB       93      599.91 MiB
   40.58      448.71 MiB       93      599.91 MiB
   40.83      440.89 MiB       85      585.90 MiB
   41.08      500.56 MiB       98      628.91 MiB
   41.33      484.96 MiB       98      628.91 MiB
   41.58      482.11 MiB       97      628.04 MiB
   41.83      436.78 MiB       67      562.01 MiB
   42.08      472.82 MiB       68      598.04 MiB
   42.33      384.76 MiB       65      525.09 MiB
   42.58      386.69 MiB       67      526.85 MiB
   42.83      392.84 MiB       67      526.85 MiB
   43.43        1.07 MiB       40        2.13 MiB
   44.57        1.07 MiB       40        2.13 MiB
   45.12        1.07 MiB       40        2.13 MiB
   45.57        1.07 MiB       40        2.13 MiB
   45.82        1.07 MiB       40        2.13 MiB
   46.07        1.07 MiB       40        2.13 MiB
   46.32        1.07 MiB       40        2.13 MiB
   46.57        1.07 MiB       40        2.13 MiB
   46.82        1.07 MiB       40        2.13 MiB
   47.07        1.07 MiB       40        2.13 MiB
   47.32        1.07 MiB       40        2.13 MiB
   47.40        1.07 MiB       40        2.13 MiB
