[lxrun] JID 52502231 · 4 nodes · 1:29:03 left · 4/4 free · incoming: lx-B
  1  nid008452  free   —              —      —  ← starting lx-B  python3 -u -m gw.kin_ion
  2  nid008469  free   —              —      —
  3  nid008472  free   —              —      —
  4  nid008473  free   —              —      —
JAX: 1 gpu devices
== kin_ion_io ==
Loading WFN: WFN.h5
Bands: 150, FFT grid: (75, 75, 200), k-points: 36
sys_dim: 2
Devices: 1
Pseudopotentials: ['Cr', 'I']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 36 k-points...
  k=1/36...
  k=17/36...
  k=33/36...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/CrI3/B_nonbisp_baseline/kin_ion.h5...
Wrote kin_ion.h5: shape (36, 150, 150), sys_dim=2
--- Timing (seconds) ---
Total recorded: 87.016 s
Section                                            Count    Total[s]     Self[s]      %
load_wfn                                               1       2.421       2.421    2.8
build_V_loc                                            1       2.011       2.011    2.3
k0                                                     1       3.055       3.055    3.5
k1                                                     1       2.840       2.840    3.3
k2                                                     1       2.849       2.849    3.3
k3                                                     1       2.931       2.931    3.4
k4                                                     1       1.655       1.655    1.9
k5                                                     1       2.144       2.144    2.5
k6                                                     1       2.155       2.155    2.5
k7                                                     1       3.417       3.417    3.9
k8                                                     1       2.874       2.874    3.3
k9                                                     1       1.644       1.644    1.9
k10                                                    1       2.189       2.189    2.5
k11                                                    1       2.172       2.172    2.5
k12                                                    1       2.172       2.172    2.5
k13                                                    1       2.183       2.183    2.5
k14                                                    1       3.373       3.373    3.9
k15                                                    1       1.638       1.638    1.9
k16                                                    1       2.151       2.151    2.5
k17                                                    1       2.155       2.155    2.5
k18                                                    1       2.183       2.183    2.5
k19                                                    1       2.187       2.187    2.5
k20                                                    1       2.177       2.177    2.5
k21                                                    1       2.172       2.172    2.5
k22                                                    1       2.165       2.165    2.5
k23                                                    1       2.160       2.160    2.5
k24                                                    1       2.168       2.168    2.5
k25                                                    1       2.197       2.197    2.5
k26                                                    1       2.098       2.098    2.4
k27                                                    1       2.192       2.192    2.5
k28                                                    1       2.125       2.125    2.4
k29                                                    1       2.150       2.150    2.5
k30                                                    1       2.158       2.158    2.5
k31                                                    1       2.166       2.166    2.5
k32                                                    1       2.171       2.171    2.5
k33                                                    1       2.170       2.170    2.5
k34                                                    1       2.162       2.162    2.5
k35                                                    1       2.162       2.162    2.5
write_h5                                               1       0.020       0.020    0.0
