HloModule jit__tau_channel_step, entry_computation_layout={(c128[9,2,640,80]{3,2,1,0}, c128[9,80,2,640]{3,2,1,0}, c128[9,80,2,640]{3,2,1,0}, c128[9,2,640,80]{3,2,1,0}, f64[9,80]{1,0}, /*index=5*/pred[9,80]{1,0}, c128[9,640,640]{2,1,0}, f64[9,640,640]{2,1,0}, pred[9,640,640]{2,1,0}, f64[], /*index=10*/f64[], c128[], c128[80,80]{1,0})->c128[2,9,80,80]{3,2,1,0}}, allow_spmd_sharding_propagation_to_parameters={false,false,false,false,false,true,false,false,false,true,true,true,true}, allow_spmd_sharding_propagation_to_output={true}, num_partitions=4

%region_0.120 (Arg_0.121: c128[], Arg_1.122: c128[]) -> c128[] {
  %Arg_0.121 = c128[] parameter(0), metadata={op_name="jit(_tau_channel_step)/jit(main)/jit(_sigma_channel_pipeline)/jit(shmap_body)/reduce_scatter"}
  %Arg_1.122 = c128[] parameter(1), metadata={op_name="jit(_tau_channel_step)/jit(main)/jit(_sigma_channel_pipeline)/jit(shmap_body)/reduce_scatter"}
  ROOT %add.123 = c128[] add(%Arg_0.121, %Arg_1.122), metadata={op_name="jit(_tau_channel_step)/jit(main)/jit(_sigma_channel_pipeline)/jit(shmap_body)/add" source_file="/global/homes/j/jackm/software/lorrax_C/src/gw/ppm_sigma.py" source_line=434}
}

%region_1.124 (Arg_0.125: c128[], Arg_1.126: c128[]) -> c128[] {
  %Arg_0.125 = c128[] parameter(0), metadata={op_name="jit(_tau_channel_step)/jit(main)/jit(_sigma_channel_pipeline)/jit(shmap_body)/reduce_scatter"}
  %Arg_1.126 = c128[] parameter(1), metadata={op_name="jit(_tau_channel_step)/jit(main)/jit(_sigma_channel_pipeline)/jit(shmap_body)/reduce_scatter"}
  ROOT %add.127 = c128[] add(%Arg_0.125, %Arg_1.126), metadata={op_name="jit(_tau_channel_step)/jit(main)/jit(_sigma_channel_pipeline)/jit(shmap_body)/add" source_file="/global/homes/j/jackm/software/lorrax_C/src/gw/ppm_sigma.py" source_line=449}
}

ENTRY %main.197 (Arg_0.1: c128[9,2,640,80], Arg_1.2: c128[9,80,2,640], Arg_2.3: c128[9,80,2,640], Arg_3.4: c128[9,2,640,80], Arg_4.5: f64[9,80], Arg_5.6: pred[9,80], Arg_6.7: c128[9,640,640], Arg_7.8: f64[9,640,640], Arg_8.9: pred[9,640,640], Arg_9.10: f64[], Arg_10.11: f64[], Arg_11.12: c128[], Arg_12.13: c128[80,80]) -> c128[2,9,80,80] {
  %constant.4 = c128[] constant((0, 0))
  %Arg_3.4 = c128[9,2,640,80]{3,2,1,0} parameter(3), sharding={devices=[1,1,2,1,2]<=[2,2]T(1,0) last_tile_dim_replicate}, metadata={op_name="psi_proj_rmuT_Y"}
  %copy.7 = c128[9,2,640,80]{3,2,1,0} copy(%Arg_3.4), sharding={devices=[1,1,2,1,2]<=[2,2]T(1,0) last_tile_dim_replicate}, metadata={op_name="jit(_tau_channel_step)/jit(main)/jit(_sigma_channel_pipeline)/shard_map" source_file="/global/homes/j/jackm/software/lorrax_C/src/gw/ppm_sigma.py" source_line=520}
