
 frequency_dependence   1

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            Znk
   1   -5.697470513   -5.697470513  -17.131571087   13.317402353   -7.021901919  -10.836070653    5.102406781   -5.733663872   -5.722951913    0.704035219
   2   -5.697470513   -5.697470513  -17.131571087   13.317402353   -7.021901919  -10.836070653    5.102406781   -5.733663872   -5.722951913    0.704035219
   3    6.249015516    6.249015516  -12.727734759    9.133073460   -7.970041665  -11.564702963   17.951318613    6.386615650    6.358346088    0.794552807
   4    6.249015516    6.249015516  -12.727734759    9.133073460   -7.970041665  -11.564702963   17.951318613    6.386615650    6.358346088    0.794552807
   5    6.296976418    6.296976418  -12.702752584    9.137230700   -7.993913672  -11.559435557   17.994295562    6.434860005    6.406554841    0.794716940
   6    6.296976418    6.296976418  -12.702752584    9.137230700   -7.993913672  -11.559435557   17.994295562    6.434860005    6.406554841    0.794716940
   7    6.296976458    6.296976458  -12.702752584    9.137230700   -7.993913672  -11.559435557   17.994295562    6.434860005    6.406554849    0.794716940
   8    6.296976458    6.296976458  -12.702752584    9.137230700   -7.993913672  -11.559435557   17.994295562    6.434860005    6.406554849    0.794716940
   9    8.798073136    8.798073136   -5.666242059    3.846592696   -7.597573435   -9.417222798   19.126690841    9.709468043    9.515039271    0.786669016
  10    8.798073136    8.798073136   -5.666242059    3.846592696   -7.597573435   -9.417222798   19.126690841    9.709468043    9.515039271    0.786669016
  11    8.833000407    8.833000407   -5.646132450    3.875437172   -7.642085899   -9.412781176   19.153851187    9.741070011    9.546367678    0.785586555
  12    8.833000407    8.833000407   -5.646132450    3.875437172   -7.642085899   -9.412781176   19.153851187    9.741070011    9.546367678    0.785586555
  13    8.833000429    8.833000429   -5.646132450    3.875437172   -7.642085899   -9.412781176   19.153851187    9.741070011    9.546367683    0.785586555
  14    8.833000429    8.833000429   -5.646132450    3.875437172   -7.642085899   -9.412781176   19.153851187    9.741070011    9.546367683    0.785586555
  15    9.629139607    9.629139607   -5.804452696    4.343719795   -8.736286275  -10.197019176   21.355372885   11.158353709   10.821615107    0.779796301
  16    9.629139607    9.629139607   -5.804452696    4.343719795   -8.736286275  -10.197019176   21.355372885   11.158353709   10.821615107    0.779796301
 
       k = -0.000000 -0.000000  0.250000 ik =   2 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            Znk
   1   -4.897279395   -4.897279395  -16.871812338   12.920503624   -7.088966328  -11.040275042    5.991208858   -5.049066185   -5.001137440    0.684236390
   2   -4.897279395   -4.897279395  -16.871812338   12.920503624   -7.088966328  -11.040275042    5.991208858   -5.049066185   -5.001137440    0.684236390
   3    2.340152067    2.340152067  -13.439067339    9.809348365   -7.481319493  -11.111038468   13.365616403    2.254577935    2.273959488    0.773511546
   4    2.340152068    2.340152068  -13.439067339    9.809348365   -7.481319493  -11.111038468   13.365616403    2.254577935    2.273959488    0.773511546
   5    5.498633740    5.498633740  -12.674370564    9.103063596   -7.797464911  -11.368771880   16.941405639    5.572633758    5.557245285    0.792047702
   6    5.498633741    5.498633741  -12.674370564    9.103063596   -7.797464911  -11.368771880   16.941405639    5.572633758    5.557245285    0.792047702
   7    5.529907957    5.529907957  -12.656184524    9.093788439   -7.802371538  -11.364767624   16.968705285    5.603937661    5.588531259    0.791888923
   8    5.529907958    5.529907958  -12.656184524    9.093788439   -7.802371538  -11.364767624   16.968705285    5.603937661    5.588531259    0.791888923
   9    8.294523500    8.294523500   -5.729844075    3.951631348   -7.750756343   -9.528969070   18.841512431    9.312543360    9.098153151    0.789404689
  10    8.294523500    8.294523500   -5.729844075    3.951631348   -7.750756343   -9.528969070   18.841512431    9.312543360    9.098153151    0.789404689
  11    9.757274295    9.757274295   -5.420945664    3.724688337   -7.715986458   -9.412243784   20.126362148   10.714118364   10.507712602    0.784284850
  12    9.757274295    9.757274295   -5.420945664    3.724688337   -7.715986458   -9.412243784   20.126362148   10.714118364   10.507712603    0.784284850
  13    9.778780059    9.778780059   -5.411050961    3.763769095   -7.761315846   -9.408597713   20.142463452   10.733865740   10.527917251    0.784366478
  14    9.778780060    9.778780060   -5.411050961    3.763769095   -7.761315846   -9.408597713   20.142463452   10.733865740   10.527917251    0.784366478
  15   13.191992992   13.191992992   -4.845392721    3.520146984   -8.473182552   -9.798428289   24.204733591   14.406305302   14.126545521    0.769614638
  16   13.191992992   13.191992992   -4.845392721    3.520146984   -8.473182552   -9.798428289   24.204733591   14.406305302   14.126545521    0.769614638
 
       k = -0.000000 -0.000000  0.500000 ik =   3 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            Znk
   1   -3.363335697   -3.363335697  -16.521568279   12.399124511   -7.301373693  -11.423817460    7.884294938   -3.539522522   -3.494352079    0.743621900
   2   -3.363335697   -3.363335697  -16.521568279   12.399124511   -7.301373693  -11.423817460    7.884294938   -3.539522522   -3.494352079    0.743621900
   3   -0.707387729   -0.707387729  -14.537703093   10.825298218   -7.099139775  -10.811544650    9.790902759   -1.020641891   -0.938748025    0.738570541
   4   -0.707387729   -0.707387729  -14.537703093   10.825298218   -7.099139775  -10.811544650    9.790902759   -1.020641891   -0.938748025    0.738570541
   5    5.057475575    5.057475575  -12.922887002    9.287788070   -7.764119480  -11.399218412   16.470428283    5.071209871    5.068314393    0.789178980
   6    5.057475575    5.057475575  -12.922887002    9.287788070   -7.764119480  -11.399218412   16.470428283    5.071209871    5.068314393    0.789178980
   7    5.089198821    5.089198821  -12.905506079    9.263207762   -7.754037756  -11.396336074   16.498740505    5.102404431    5.099620311    0.789171386
   8    5.089198821    5.089198821  -12.905506079    9.263207762   -7.754037756  -11.396336074   16.498740505    5.102404431    5.099620311    0.789171386
   9    7.805248800    7.805248800   -5.835135294    3.898740534   -7.601573040   -9.537967800   18.355577347    8.817609547    8.605957355    0.790932044
  10    7.805248800    7.805248800   -5.835135294    3.898740534   -7.601573040   -9.537967800   18.355577347    8.817609547    8.605957355    0.790932044
  11    9.594431517    9.594431517   -4.993968718    3.382642986   -7.384147155   -8.995472887   19.478048832   10.482575945   10.295166285    0.788987406
  12    9.594431517    9.594431517   -4.993968718    3.382642986   -7.384147155   -8.995472887   19.478048832   10.482575945   10.295166285    0.788987406
  13    9.608879184    9.608879184   -4.986491356    3.367091713   -7.370244138   -8.989643781   19.486507898   10.496864117   10.308978890    0.788413947
  14    9.608879184    9.608879184   -4.986491356    3.367091713   -7.370244138   -8.989643781   19.486507898   10.496864117   10.308978890    0.788413947
  15   14.000425598   14.000425598   -2.372760993    1.714355422   -6.850954848   -7.509360418   21.840509917   14.331149499   14.257689455    0.777881055
  16   14.000425598   14.000425598   -2.372760993    1.714355422   -6.850954848   -7.509360418   21.840509917   14.331149499   14.257689455    0.777881055
 
       k =  0.000000  0.000000  0.750000 ik =   4 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            Znk
   1   -4.897279395   -4.897279395  -16.871812338   12.920543543   -7.088965511  -11.040234307    5.991208858   -5.049025449   -5.001107128    0.684220316
   2   -4.897279395   -4.897279395  -16.871812338   12.920543543   -7.088965511  -11.040234307    5.991208858   -5.049025449   -5.001107128    0.684220316
   3    2.340152067    2.340152067  -13.439067339    9.809351157   -7.481322192  -11.111038374   13.365616404    2.254578029    2.273959554    0.773511620
   4    2.340152068    2.340152068  -13.439067339    9.809351157   -7.481322192  -11.111038374   13.365616404    2.254578029    2.273959555    0.773511620
   5    5.498633740    5.498633740  -12.674370565    9.103050530   -7.797452451  -11.368772487   16.941405639    5.572633152    5.557244804    0.792047690
   6    5.498633741    5.498633741  -12.674370565    9.103050530   -7.797452451  -11.368772487   16.941405639    5.572633152    5.557244804    0.792047690
   7    5.529907957    5.529907957  -12.656184525    9.093772126   -7.802355825  -11.364768223   16.968705285    5.603937062    5.588530784    0.791888911
   8    5.529907958    5.529907958  -12.656184525    9.093772126   -7.802355825  -11.364768223   16.968705285    5.603937062    5.588530784    0.791888911
   9    8.294523500    8.294523500   -5.729844075    3.951631140   -7.750756497   -9.528969431   18.841512430    9.312542999    9.098152857    0.789404680
  10    8.294523500    8.294523500   -5.729844075    3.951631140   -7.750756497   -9.528969431   18.841512430    9.312542999    9.098152857    0.789404680
  11    9.757274295    9.757274295   -5.420945664    3.724657394   -7.715955910   -9.412244180   20.126362148   10.714117969   10.507712302    0.784284860
  12    9.757274295    9.757274295   -5.420945664    3.724657394   -7.715955910   -9.412244180   20.126362148   10.714117969   10.507712302    0.784284860
  13    9.778780059    9.778780059   -5.411050962    3.763724925   -7.761272073   -9.408598110   20.142463452   10.733865342   10.527916961    0.784366501
  14    9.778780060    9.778780060   -5.411050962    3.763724925   -7.761272073   -9.408598110   20.142463452   10.733865342   10.527916961    0.784366501
  15   13.191992992   13.191992992   -4.845392721    3.520128463   -8.473163368   -9.798427627   24.204733591   14.406305965   14.126546402    0.769614944
  16   13.191992992   13.191992992   -4.845392721    3.520128463   -8.473163368   -9.798427627   24.204733591   14.406305965   14.126546402    0.769614944
 
       k =  0.000000  0.250000 -0.000000 ik =   5 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            Znk
   1   -4.897279391   -4.897279391  -16.871812333   12.920972564   -7.089521454  -11.040361223    5.991208862   -5.049152361   -5.001193518    0.684217392
   2   -4.897279391   -4.897279391  -16.871812333   12.920972564   -7.089521454  -11.040361223    5.991208862   -5.049152361   -5.001193518    0.684217392
   3    2.340152023    2.340152023  -13.439067376    9.802489228   -7.477641644  -11.114219792   13.365616365    2.251396572    2.271088545    0.778132243
   4    2.340152024    2.340152024  -13.439067376    9.802489228   -7.477641644  -11.114219792   13.365616365    2.251396572    2.271088545    0.778132243
   5    5.498633755    5.498633755  -12.674370546    9.102799129   -7.798899436  -11.370470854   16.941405645    5.570934791    5.555852978    0.791402538
   6    5.498633756    5.498633756  -12.674370546    9.102799129   -7.798899436  -11.370470854   16.941405645    5.570934791    5.555852979    0.791402538
   7    5.529907973    5.529907973  -12.656184506    9.093450199   -7.804565267  -11.367299574   16.968705291    5.601405717    5.586517647    0.791768674
   8    5.529907973    5.529907973  -12.656184506    9.093450199   -7.804565267  -11.367299574   16.968705291    5.601405717    5.586517647    0.791768674
   9    8.294523536    8.294523536   -5.729844037    3.952256743   -7.757813109   -9.535400403   18.841512472    9.306112068    9.092919692    0.789249908
  10    8.294523536    8.294523536   -5.729844037    3.952256743   -7.757813109   -9.535400403   18.841512472    9.306112068    9.092919692    0.789249908
  11    9.757274310    9.757274310   -5.420945672    3.728104733   -7.716231571   -9.409072510   20.126362172   10.717289662   10.510691377    0.784796895
  12    9.757274311    9.757274311   -5.420945672    3.728104733   -7.716231571   -9.409072510   20.126362172   10.717289662   10.510691377    0.784796895
  13    9.778780075    9.778780075   -5.411050970    3.767186242   -7.761148951   -9.405013678   20.142463476   10.737449798   10.530405668    0.784029761
  14    9.778780076    9.778780076   -5.411050970    3.767186242   -7.761148951   -9.405013678   20.142463476   10.737449798   10.530405669    0.784029761
  15   13.191992961   13.191992961   -4.845392744    3.516427769   -8.469108413   -9.798073387   24.204733576   14.406660189   14.126586946    0.769423892
  16   13.191992961   13.191992961   -4.845392744    3.516427769   -8.469108413   -9.798073387   24.204733576   14.406660189   14.126586947    0.769423892
 
       k =  0.000000  0.250000  0.250000 ik =   6 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            Znk
   1   -4.614923535   -4.614923535  -16.765353817   12.795342722   -7.108517483  -11.078528578    6.292565696   -4.785962881   -4.736069024    0.708290179
   2   -4.614923535   -4.614923535  -16.765353817   12.795342722   -7.108517483  -11.078528578    6.292565696   -4.785962881   -4.736069024    0.708290179
   3    2.755219416    2.755219416  -13.791493615    9.999706632   -7.783526497  -11.575313480   14.406759317    2.831445837    2.814377348    0.776081724
   4    2.755219418    2.755219418  -13.791493615    9.999706632   -7.783526497  -11.575313480   14.406759317    2.831445837    2.814377349    0.776081724
   5    4.373517090    4.373517090  -12.714845458    9.148559201   -7.524283205  -11.090569462   15.410193119    4.319623656    4.331089987    0.787240668
   6    4.373517118    4.373517118  -12.714845458    9.148559201   -7.524283205  -11.090569462   15.410193119    4.319623656    4.331089993    0.787240668
   7    4.381955238    4.381955238  -12.703137646    9.156540115   -7.538448884  -11.085046415   15.413877574    4.328831159    4.340145482    0.787020819
   8    4.381955265    4.381955265  -12.703137646    9.156540115   -7.538448884  -11.085046415   15.413877574    4.328831159    4.340145488    0.787020819
   9    7.392379224    7.392379224   -5.419900842    3.631094008   -7.147712085   -8.936518919   17.005016296    8.068497377    7.929359365    0.794210507
  10    7.392379225    7.392379225   -5.419900842    3.631094008   -7.147712085   -8.936518919   17.005016296    8.068497377    7.929359365    0.794210507
  11    9.398122695    9.398122695   -4.536378910    2.988098186   -7.054125291   -8.602406015   18.765402344   10.162996329   10.004278649    0.792491631
  12    9.398122696    9.398122696   -4.536378910    2.988098186   -7.054125291   -8.602406015   18.765402344   10.162996329   10.004278649    0.792491631
  13   12.028943705   12.028943705   -5.282793291    3.652780226   -8.185227918   -9.815240983   23.000301300   13.185060317   12.915857941    0.767149461
  14   12.028943725   12.028943725   -5.282793291    3.652780226   -8.185227918   -9.815240983   23.000301300   13.185060317   12.915857945    0.767149461
  15   12.031510274   12.031510274   -5.292354368    3.672819653   -8.201516002   -9.821050717   23.011452086   13.190401368   12.920376438    0.766997148
  16   12.031510293   12.031510293   -5.292354368    3.672819653   -8.201516002   -9.821050717   23.011452086   13.190401368   12.920376443    0.766997148
 
       k = -0.000000  0.250000  0.500000 ik =   7 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            Znk
