# BGW HL-GPP invalid_gpp_mode comparison (Si 4x4x4)
# ik  n   Eqp0_m0          Eqp0_m2          Eqp0_m3          Corp_m0          Corp_m2          Corp_m3        
  1   1     -6.013416     -5.940066     -5.985893      6.371482      6.444832      6.399005
  1   2     -6.013416     -5.940066     -5.985893      6.371482      6.444832      6.399005
  1   3      6.246721      6.199619      6.176465      1.248713      1.201611      1.178456
  1   4      6.246721      6.199619      6.176465      1.248713      1.201611      1.178456
  1   5      6.295314      6.248026      6.224973      1.228380      1.181091      1.158039
  1   6      6.295314      6.248026      6.224973      1.228380      1.181091      1.158039
  1   7      6.295314      6.248026      6.224973      1.228380      1.181091      1.158039
  1   8      6.295314      6.248026      6.224973      1.228380      1.181091      1.158039
  1   9      9.565352      9.548896      9.543706     -3.807356     -3.823812     -3.829002
  1  10      9.565352      9.548896      9.543706     -3.807356     -3.823812     -3.829002
  1  11      9.596597      9.579709      9.574301     -3.824120     -3.841008     -3.846416
  1  12      9.596597      9.579709      9.574301     -3.824120     -3.841008     -3.846416
  1  13      9.596597      9.579709      9.574301     -3.824120     -3.841008     -3.846416
  1  14      9.596597      9.579709      9.574301     -3.824120     -3.841008     -3.846416
  1  15     11.081587     11.002423     10.977543     -4.395460     -4.474624     -4.499504
  1  16     11.081587     11.002423     10.977543     -4.395460     -4.474624     -4.499504
  2   1     -5.379753     -5.316692     -5.360403      5.849368      5.912429      5.868718
  2   2     -5.379753     -5.316692     -5.360403      5.849368      5.912429      5.868718
  2   3      2.076395      2.061623      2.036796      2.417768      2.402997      2.378170
  2   4      2.076395      2.061623      2.036796      2.417768      2.402997      2.378170
  2   5      5.426626      5.387117      5.366313      1.386860      1.347350      1.326547
  2   6      5.426626      5.387117      5.366313      1.386860      1.347350      1.326547
  2   7      5.457836      5.418147      5.397340      1.371947      1.332259      1.311452
  2   8      5.457836      5.418147      5.397340      1.371947      1.332259      1.311452
  2   9      9.184741      9.152385      9.135404     -3.846159     -3.878515     -3.895495
  2  10      9.184741      9.152385      9.135404     -3.846159     -3.878515     -3.895495
  2  11     10.580944     10.559684     10.554821     -4.050622     -4.071881     -4.076744
  2  12     10.580944     10.559684     10.554821     -4.050622     -4.071881     -4.076744
  2  13     10.600932     10.579610     10.574740     -4.056990     -4.078312     -4.083182
  2  14     10.600932     10.579610     10.574740     -4.056990     -4.078312     -4.083182
  2  15     14.344756     14.276714     14.262890     -4.966589     -5.034632     -5.048455
  2  16     14.344756     14.276714     14.262890     -4.966589     -5.034632     -5.048455
  3   1     -3.788644     -3.736811     -3.780106      5.189353      5.241186      5.197890
  3   2     -3.788644     -3.736811     -3.780106      5.189353      5.241186      5.197890
  3   3     -1.240545     -1.224685     -1.249913      3.826995      3.842856      3.817627
  3   4     -1.240545     -1.224685     -1.249913      3.826995      3.842856      3.817627
  3   5      4.917298      4.881386      4.860605      1.611912      1.576000      1.555219
  3   6      4.917298      4.881386      4.860605      1.611912      1.576000      1.555219
  3   7      4.948631      4.912484      4.891669      1.596964      1.560816      1.540001
  3   8      4.948631      4.912484      4.891669      1.596964      1.560816      1.540001
  3   9      8.688432      8.654847      8.635481     -3.748283     -3.781868     -3.801234
  3  10      8.688432      8.654847      8.635481     -3.748283     -3.781868     -3.801234
  3  11     10.341055     10.330744     10.329393     -4.076092     -4.086404     -4.087754
  3  12     10.341055     10.330744     10.329393     -4.076092     -4.086404     -4.087754
  3  13     10.354606     10.344378     10.343097     -4.078713     -4.088941     -4.090222
  3  14     10.354606     10.344378     10.343097     -4.078713     -4.088941     -4.090222
  3  15     14.190142     14.185065     14.175426     -5.259774     -5.264851     -5.274491
  3  16     14.190142     14.185065     14.175426     -5.259774     -5.264851     -5.274491
  4   1     -5.074907     -5.014318     -5.056999      5.748241      5.808830      5.766148
  4   2     -5.074907     -5.014318     -5.056999      5.748241      5.808830      5.766148
  4   3      2.658221      2.635680      2.604185      2.303014      2.280473      2.248978
  4   4      2.658221      2.635680      2.604185      2.303014      2.280473      2.248978
  4   5      4.159322      4.131287      4.112964      1.705347      1.677312      1.658989
  4   6      4.159322      4.131287      4.112964      1.705347      1.677312      1.658989
  4   7      4.168609      4.140584      4.122317      1.698942      1.670917      1.652650
  4   8      4.168609      4.140584      4.122317      1.698942      1.670917      1.652650
  4   9      7.914101      7.906176      7.896733     -3.584870     -3.592795     -3.602237
  4  10      7.914101      7.906176      7.896733     -3.584870     -3.592795     -3.602237
  4  11     10.016118     10.007200     10.002817     -4.153453     -4.162371     -4.166754
  4  12     10.016118     10.007200     10.002817     -4.153453     -4.162371     -4.166754
  4  13     13.085697     13.038060     13.030335     -4.573396     -4.621033     -4.628758
  4  14     13.085697     13.038060     13.030335     -4.573396     -4.621033     -4.628758
  4  15     13.089275     13.041623     13.033956     -4.571282     -4.618935     -4.626601
  4  16     13.089275     13.041623     13.033956     -4.571282     -4.618935     -4.626601
  5   1     -3.401024     -3.357526     -3.397815      5.016842      5.060340      5.020051
  5   2     -3.401024     -3.357526     -3.397815      5.016842      5.060340      5.020051
  5   3     -0.490802     -0.480635     -0.512373      3.635137      3.645304      3.613566
  5   4     -0.490802     -0.480635     -0.512373      3.635137      3.645304      3.613566
  5   5      2.376051      2.357578      2.340029      2.077824      2.059351      2.041801
  5   6      2.376051      2.357578      2.340029      2.077824      2.059351      2.041801
  5   7      3.802670      3.775031      3.756764      1.867477      1.839839      1.821571
  5   8      3.802670      3.775031      3.756764      1.867477      1.839839      1.821571
  5   9      8.308653      8.301324      8.293488     -3.742208     -3.749537     -3.757373
  5  10      8.308653      8.301324      8.293488     -3.742208     -3.749537     -3.757373
  5  11     11.431131     11.408557     11.401139     -4.296176     -4.318750     -4.326168
  5  12     11.431131     11.408557     11.401139     -4.296176     -4.318750     -4.326168
  5  13     13.098701     13.046488     13.036724     -4.652199     -4.704413     -4.714177
  5  14     13.098701     13.046488     13.036724     -4.652199     -4.704413     -4.714177
  5  15     13.163183     13.128385     13.126011     -4.674065     -4.708862     -4.711237
  5  16     13.163183     13.128385     13.126011     -4.674065     -4.708862     -4.711237
  6   1     -4.069163     -4.019172     -4.060541      5.343672      5.393663      5.352294
  6   2     -4.069163     -4.019172     -4.060541      5.343672      5.393663      5.352294
  6   3      0.486442      0.488637      0.457827      3.231886      3.234081      3.203271
  6   4      0.486442      0.488637      0.457827      3.231886      3.234081      3.203271
  6   5      2.108517      2.092735      2.076786      2.154696      2.138915      2.122965
  6   6      2.108517      2.092735      2.076786      2.154696      2.138915      2.122965
  6   7      4.799225      4.763710      4.744047      1.548312      1.512797      1.493134
  6   8      4.799225      4.763710      4.744047      1.548312      1.512797      1.493134
  6   9      9.423185      9.408007      9.399944     -3.957872     -3.973049     -3.981113
  6  10      9.423185      9.408007      9.399944     -3.957872     -3.973049     -3.981113
  6  11     11.993364     11.957750     11.954806     -4.552971     -4.588585     -4.591529
  6  12     11.993364     11.957750     11.954806     -4.552971     -4.588585     -4.591529
  6  13     12.261822     12.226963     12.211749     -4.232481     -4.267340     -4.282554
  6  14     12.261822     12.226963     12.211749     -4.232481     -4.267340     -4.282554
  6  15     13.392462     13.341245     13.334047     -4.917315     -4.968532     -4.975730
  6  16     13.392462     13.341245     13.334047     -4.917315     -4.968532     -4.975730
  7   1     -1.898395     -1.864085     -1.901204      4.397320      4.431630      4.394512
  7   2     -1.898395     -1.864085     -1.901204      4.397320      4.431630      4.394512
  7   3     -1.898395     -1.864085     -1.901204      4.397320      4.431630      4.394512
  7   4     -1.898395     -1.864085     -1.901204      4.397320      4.431630      4.394512
  7   5      3.064745      3.043187      3.025416      2.132729      2.111170      2.093399
  7   6      3.064745      3.043187      3.025416      2.132729      2.111170      2.093399
  7   7      3.064745      3.043187      3.025416      2.132729      2.111170      2.093399
  7   8      3.064745      3.043187      3.025416      2.132729      2.111170      2.093399
  7   9      7.397462      7.392688      7.384691     -3.587721     -3.592495     -3.600492
  7  10      7.397462      7.392688      7.384691     -3.587721     -3.592495     -3.600492
  7  11      7.397462      7.392688      7.384691     -3.587721     -3.592495     -3.600492
  7  12      7.397462      7.392688      7.384691     -3.587721     -3.592495     -3.600492
  7  13     17.621389     17.526991     17.530913     -6.055181     -6.149580     -6.145657
  7  14     17.621389     17.526991     17.530913     -6.055181     -6.149580     -6.145657
  7  15     17.621389     17.526991     17.530913     -6.055181     -6.149580     -6.145657
  7  16     17.621389     17.526991     17.530913     -6.055181     -6.149580     -6.145657
  8   1     -1.737122     -1.705088     -1.743148      4.312426      4.344460      4.306400
  8   2     -1.737122     -1.705088     -1.743148      4.312426      4.344460      4.306400
  8   3     -1.732876     -1.700886     -1.738970      4.308925      4.340915      4.302831
  8   4     -1.732876     -1.700886     -1.738970      4.308925      4.340915      4.302831
  8   5      1.953095      1.939883      1.925315      2.187669      2.174457      2.159889
  8   6      1.953095      1.939883      1.925315      2.187669      2.174457      2.159889
  8   7      1.965253      1.951861      1.937196      2.178944      2.165553      2.150888
  8   8      1.965253      1.951861      1.937196      2.178944      2.165553      2.150888
  8   9     11.159055     11.142764     11.133446     -4.139976     -4.156267     -4.165585
  8  10     11.159055     11.142764     11.133446     -4.139976     -4.156267     -4.165585
  8  11     11.158570     11.142138     11.132665     -4.141520     -4.157952     -4.167425
  8  12     11.158570     11.142138     11.132665     -4.141520     -4.157952     -4.167425
  8  13     12.258705     12.211561     12.206509     -4.634371     -4.681514     -4.686566
  8  14     12.258705     12.211561     12.206509     -4.634371     -4.681514     -4.686566
  8  15     12.272826     12.225709     12.220654     -4.637683     -4.684800     -4.689855
  8  16     12.272826     12.225709     12.220654     -4.637683     -4.684800     -4.689855
