# BGW GN-GPP invalid_gpp_mode comparison (Si 4x4x4)
# ik  n   Eqp0_m0          Eqp0_m2          Eqp0_m3          Corp_m0          Corp_m2          Corp_m3        
  6  12     12.026557     12.029413     12.031422     -4.519778     -4.516922     -4.514913
  6  13     12.289124     12.298172     12.299513     -4.205178     -4.196131     -4.194789
  6  14     12.289124     12.298172     12.299513     -4.205178     -4.196131     -4.194789
  6  15     13.362285     13.359626     13.358466     -4.947492     -4.950151     -4.951311
  6  16     13.362285     13.359626     13.358466     -4.947492     -4.950151     -4.951311
  7   1     -1.494005     -1.484749     -1.487304      4.801711      4.810967      4.808412
  7   2     -1.494005     -1.484749     -1.487304      4.801711      4.810967      4.808412
  7   3     -1.494005     -1.484749     -1.487304      4.801711      4.810967      4.808412
  7   4     -1.494005     -1.484749     -1.487304      4.801711      4.810967      4.808412
  7   5      3.253267      3.248360      3.252092      2.321250      2.316343      2.320075
  7   6      3.253267      3.248360      3.252092      2.321250      2.316343      2.320075
  7   7      3.253267      3.248360      3.252092      2.321250      2.316343      2.320075
  7   8      3.253267      3.248360      3.252092      2.321250      2.316343      2.320075
  7   9      7.517820      7.532884      7.534368     -3.467363     -3.452299     -3.450815
  7  10      7.517820      7.532884      7.534368     -3.467363     -3.452299     -3.450815
  7  11      7.517820      7.532884      7.534368     -3.467363     -3.452299     -3.450815
  7  12      7.517820      7.532884      7.534368     -3.467363     -3.452299     -3.450815
  7  13     17.364947     17.365248     17.362076     -6.311623     -6.311323     -6.314494
  7  14     17.364947     17.365248     17.362076     -6.311623     -6.311323     -6.314494
  7  15     17.364947     17.365248     17.362076     -6.311623     -6.311323     -6.314494
  7  16     17.364947     17.365248     17.362076     -6.311623     -6.311323     -6.314494
  8   1     -1.351100     -1.342988     -1.345602      4.698448      4.706559      4.703946
  8   2     -1.351100     -1.342988     -1.345602      4.698448      4.706559      4.703946
  8   3     -1.326667     -1.318564     -1.321217      4.715134      4.723237      4.720584
  8   4     -1.326667     -1.318564     -1.321217      4.715134      4.723237      4.720584
  8   5      2.161430      2.160756      2.164285      2.396004      2.395330      2.398859
  8   6      2.161430      2.160756      2.164285      2.396004      2.395330      2.398859
  8   7      2.172936      2.172261      2.175784      2.386628      2.385952      2.389475
  8   8      2.172936      2.172261      2.175784      2.386628      2.385952      2.389475
  8   9     11.217206     11.231974     11.235705     -4.081825     -4.067056     -4.063325
  8  10     11.217206     11.231974     11.235705     -4.081825     -4.067056     -4.063325
  8  11     11.216643     11.231367     11.235058     -4.083447     -4.068723     -4.065031
  8  12     11.216643     11.231367     11.235058     -4.083447     -4.068723     -4.065031
  8  13     12.282131     12.278351     12.277949     -4.610945     -4.614725     -4.615127
  8  14     12.282131     12.278351     12.277949     -4.610945     -4.614725     -4.615127
  8  15     12.294832     12.291160     12.290854     -4.615677     -4.619349     -4.619655
  8  16     12.294832     12.291160     12.290854     -4.615677     -4.619349     -4.619655
