# rank=0 tag=arena1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.020
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144         44384      2          2048         17940
    0.50         45916        671068      9         19292        382284
    1.00         60252        719824      9         29532        423112
    1.50         70492        735864      9         37724        431292
    2.00         80732        747036      9         47964        442452
    2.50         86876        754620      9         52060        446668
    3.00         90972        758004      9         56156        450052
    3.50        101212        775644      9         62300        456588
    4.07        317488       2896640     30        188464       1256064
    4.57        324984       3401904     62        191864       1732712
    5.07        331128       3407680     62        198008       1738128
    5.57        339320       3431476     62        204152       1745600
    6.07        345464       3446456     62        208248       1750916
    6.57        398388       3543488     73        232500       1844632
    7.07        438048       3622264     75        263968       1923368
    7.59        462780       3645704     75        288700       1946784
    8.09       4869072      11706432     79       4694992      10007424
    8.59       7310288      11706432     79       7136208      10007424
    9.09       8485840      11706432     79       8311760      10007424
    9.59       8485840      11706432     79       8311760      10007424
   10.09        503180       3711040     79        329100       2012032
   10.60        554016       3762888     79        379936       2063880
   11.10        996808       4523324     79        822728       2824052
   11.60        770612       3977120     79        596532       2277776
   12.10        802596       4030248     79        628516       2330632
   12.60        802596       4030248     79        628516       2330632
   13.10        802596       4030248     79        628516       2330632
   13.60       1344988       4680624     79       1170908       2981776
   14.10        845072       4215236     87        664848       2516308
   14.60       6565256      29622904     87       6382984      27923676
   15.10      12627880      29622904     87      12445608      27923676
   15.60      13717424      29622904     87      13535152      27923676
   16.10      14712752      29622904     87      14530480      27923676
   16.60      16610468      30461588     87      16428196      28762360
   17.10      18635516      30421448     87      18453244      28722220
   17.60      20666080      30381308     87      20483808      28682080
   18.10      21305352      30461588     87      21123080      28762360
   18.61      22340624      30461588     87      22158352      28762360
   19.11      24310804      30461588     87      24128532      28762360
   19.61      25574740      29605264     87      25392468      27906036
   20.11      25574740      29605264     87      25392468      27906036
   20.61      25574740      29605264     87      25392468      27906036
   21.11      25574740      29605264     87      25392468      27906036
   21.61      25574740      29605264     87      25392468      27906036
   22.11      25574740      29605264     87      25392468      27906036
   22.61      25574740      29605264     87      25392468      27906036
   23.11      25574740      29605264     87      25392468      27906036
   23.61      25574740      29605264     87      25392468      27906036
   24.11      25574740      29605264     87      25392468      27906036
   24.61      25574740      29605264     87      25392468      27906036
   25.11      25574740      29605264     87      25392468      27906036
   25.61      25574740      29605264     87      25392468      27906036
   26.11      25574740      29605264     87      25392468      27906036
   26.61      25574740      29605264     87      25392468      27906036
   27.11      25574740      29605264     87      25392468      27906036
   27.61      25584980      29605264     87      25402708      27906036
   28.11      26235704      29605264     87      26053432      27906036
   28.61      26235704      29605264     87      26053432      27906036
   29.11      26235704      29605264     87      26053432      27906036
   29.61       2762908       6199740     87       2580636       4500432
   30.11       2657764       6246448     87       2475492       4547124
   30.61       2688024       6386416     87       2505752       4687092
   31.12        973348       4333684     87        791076       2634312
   31.65        790960       4155448     87        608688       2455924
   31.88        605008       3838628     78        422736       2139772
