# rank=2 tag=arena1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.075
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144         44384      2          2048         17940
    0.50         44556        671068      9         17932        382284
    1.00         56844        719824      9         28172        423112
    1.50         65036        735864      9         34316        431292
    2.00         79372        747032      9         46604        442448
    2.50         83468        755636      9         50700        447684
    3.00         87564        759016      9         54796        451064
    3.50         99852        775644      9         60940        456588
    4.06        315184       2820944     24        186160       1180392
    4.56        324728       3326048     56        193656       1656880
    5.06        330872       3331844     56        199800       1662316
    5.56        339064       3355772     56        205944       1669920
    6.06        345208       3370744     56        210040       1675228
    6.57        398840       3467764     67        232952       1768932
    7.07        438452       3547964     69        266420       1849084
    7.59        460544       3570456     69        286464       1871584
    8.09        573904      11743060     81        395728      10044036
    8.59       5664836      11743060     81       5486660      10044036
    9.09       8316996      11743060     81       8138820      10044036
    9.59       8503364      11743060     81       8325188      10044036
   10.09       8503364      11743060     81       8325188      10044036
   10.59        572088       3799516     81        393912       2100492
   11.09        572088       3801020     81        393912       2101836
   11.59        992624       4596264     81        814448       2896968
   12.10        832984       4086480     81        654808       2387160
   12.60        797736       4050228     81        617512       2350828
   13.10        850980       4120032     81        670756       2420392
   13.60       1165060       4764888     81        982788       3066024
   14.10        893784       4199468     81        711512       2500556
   14.60       4400784      29607136     81       4218512      27907924
   15.10      11201152      29607136     81      11018880      27907924
   15.60      13777280      29615076     81      13595008      27915864
   16.10      14772608      29615076     81      14590336      27915864
   16.60      16534796      30502724     81      16352524      28803512
   17.10      18577900      30459704     81      18395628      28760492
   17.60      20623008      30416684     81      20440736      28717472
   18.10      21378112      30502724     81      21195840      28803512
   18.60      22300692      30502724     81      22118420      28803512
   19.10      24262068      30502724     81      24079796      28803512
   19.60      25632160      29597436     81      25449888      27898224
   20.11      25632160      29597436     81      25449888      27898224
   20.61      25632160      29597436     81      25449888      27898224
   21.11      25632160      29597436     81      25449888      27898224
   21.61      25632160      29597436     81      25449888      27898224
   22.11      25632160      29597436     81      25449888      27898224
   22.61      25632160      29597436     81      25449888      27898224
   23.11      25632160      29597436     81      25449888      27898224
   23.61      25632160      29597436     81      25449888      27898224
   24.11      25632160      29597436     81      25449888      27898224
   24.61      25632160      29597436     81      25449888      27898224
   25.11      25632160      29597436     81      25449888      27898224
   25.61      25632160      29597436     81      25449888      27898224
   26.11      25632160      29597436     81      25449888      27898224
   26.61      25632160      29597436     81      25449888      27898224
   27.11      25632160      29597436     81      25449888      27898224
   27.61      25632160      29597436     81      25449888      27898224
   28.11      26260520      29597436     81      26078248      27898224
   28.61      26293288      29597436     81      26111016      27898224
   29.11      26293288      29597436     81      26111016      27898224
   29.61       2701964       6191912     81       2519692       4492620
   30.11       2886284       6191912     81       2704012       4492620
   30.61       2785016       6238620     81       2602744       4539312
   31.11       1038164       4325760     81        855892       2626436
   31.61        849772       4139588     81        667500       2440112
   31.88        652788       3878708     78        470516       2179852
