# rank=0 tag=threads1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.396
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144        109920      2          2048         18072
    0.50         45056        419968      2         18432         65808
    1.00         62272        475200      2         31552        109188
    1.50         72512        485892      2         37696        115944
    2.00         86848        502204      2         49984        128876
    2.50         90944        504580      2         54080        131252
    3.00         95040        509184      2         58176        135856
    3.50        119136       2633604     29         74080        483288
    4.00        347608       6815504     55        212440       1186216
    4.50        353752       6884908     55        218584       1226760
    5.00        361944       6902932     55        224728       1234124
    5.50        368088       6914792     55        228824       1238596
    6.00        376280       6932600     55        234968       1245236
    6.50        453648       7272264     66        279568       1331932
    7.00        736512       8023052     68        558336       1832268
    7.50        508732       7624960     68        328508       1434120
    8.00       1844644      16419984     80       1660324       9600248
    8.51       6303276      16419984     80       6118956       9600248
    9.01       8547884      16419984     80       8363564       9600248
    9.51       8547884      16419984     80       8363564       9600248
   10.01       8547884      16419984     80       8363564       9600248
   10.51        620512       8476560     80        436192       1661380
   11.01        630752       8485624     80        446432       1670372
   11.51        753868       8609772     80        569548       1795040
   12.01       1405148       9374448     80       1220828       2493360
   12.51        911368       8859832     80        727048       1980700
   13.01        935944       8894416     80        751624       2039892
   13.51       1314116       9563056     80       1129796       2720604
   14.01       1006128       8997636     80        821808       2155344
   14.51       6600276      34405304     80       6415956      27570852
   15.01      12642412      34405304     80      12458092      27570852
   15.51      13903200      34405304     80      13718880      27588492
   16.01      15252832      34405304     80      15068512      27588492
   16.51      17379348      35388344     80      17195028      28487712
   17.01      19413712      35322808     80      19229392      28430348
   17.51      21441448      35322808     80      21257128      28430348
   18.01      21626072      36305848     80      21441752      29347040
   18.51      23183488      36305848     80      22999168      29347040
   19.01      25214792      36305848     80      25030472      29347040
   19.51      25966328      36305848     80      25782008      29347040
   20.02      25966328      36305848     80      25782008      29347040
   20.52      25966328      36305848     80      25782008      29347040
   21.02      25966328      36305848     80      25782008      29347040
   21.52      25966328      36305848     80      25782008      29347040
   22.02      25966328      36305848     80      25782008      29347040
   22.52      25966328      36305848     80      25782008      29347040
   23.02      25966328      36305848     80      25782008      29347040
   23.52      25966328      36305848     80      25782008      29347040
   24.02      25966328      36305848     80      25782008      29347040
   24.52      25966328      36305848     80      25782008      29347040
   25.02      25966328      36305848     80      25782008      29347040
   25.52      25966328      36305848     80      25782008      29347040
   26.02      25966328      36305848     80      25782008      29347040
   26.52      25966328      36305848     80      25782008      29347040
   27.02      25966328      36305848     80      25782008      29347040
   27.52      26058488      36305848     80      25874168      29347040
   28.02      26629880      36305848     80      26445560      29347040
   28.52      26629880      36305848     80      26445560      29347040
   29.02      26629880      36305848     80      26445560      29347040
   29.52       3222648      12900324     80       3038328       5941436
   30.02       3119368      12947032     80       2935048       5988128
   30.52       3119368      12947032     80       2935048       5988128
   31.02       3252044      12993688     80       3067724       6034784
   31.52       1613008      11280608     80       1428688       4321784
   31.94        980664      10490732     71        796344       3534676
