# rank=3 tag=threads1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.376
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144        109920      2          2048         18072
    0.50         45056        419968      2         18432         65808
    1.00         62236        475200      2         31516        109188
    1.50         72476        485896      2         37660        115948
    2.00         86812        502212      2         49948        128884
    2.50         90908        505288      2         54044        131960
    3.00         95004        509176      2         58140        135848
    3.50        114940       2165056     23         71932        407180
    4.00        339460       5785124     49        206340       1070832
    4.50        347652       5854568     49        212484       1111416
    5.01        355844       5872680     49        218628       1118768
    5.51        359940       5884432     49        222724       1123232
    6.01        368132       5902272     49        228868       1129904
    6.51        444932       6786908     60        272900       1238500
    7.01        705856       7615812     63        529728       1751564
    7.51        514148       7223436     63        331876       1359216
    8.01       4700832      15930924     74       4518560       9503500
    8.51       7285408      15930924     74       7103136       9503500
    9.01       8536736      15930924     74       8354464       9503500
    9.51       8536736      15930924     74       8354464       9503500
   10.01        555596       7935556     74        373324       1510136
   10.51        613692       7988572     74        429372       1567116
   11.01        636220       8012276     74        451900       1590732
   11.51       1409700       8888492     74       1225380       2409480
   12.01        915920       8374340     74        731600       1896428
   12.51        934352       8376204     74        750032       1917668
   13.01        942632       8409284     74        758312       1957588
   13.51       1415852       9065972     74       1231532       2638000
   14.01       1013788       8500552     74        829468       2072544
   14.51       6203420      33908220     74       6019100      27490096
   15.02      12420300      33908220     74      12235980      27490096
   15.52      14362232      33908220     74      14177912      27490096
   16.02      15339128      33908220     74      15154808      27490096
   16.52      17470224      34891260     74      17285904      28381036
   17.02      19486652      34825724     74      19302332      28323672
   17.52      21509812      34825724     74      21325492      28323672
   18.02      21613460      35808764     74      21429140      29210168
   18.52      23252460      35808764     74      23068140      29210168
   19.02      25269752      35808764     74      25085432      29210168
   19.52      25945156      35743228     74      25760836      29152804
   20.02      25945156      35743228     74      25760836      29152804
   20.52      25945156      35743228     74      25760836      29152804
   21.02      25945156      35743228     74      25760836      29152804
   21.52      25945156      35743228     74      25760836      29152804
   22.02      25945156      35743228     74      25760836      29152804
   22.52      25945156      35743228     74      25760836      29152804
   23.02      25945156      35743228     74      25760836      29152804
   23.52      25945156      35743228     74      25760836      29152804
   24.02      25945156      35743228     74      25760836      29152804
   24.52      25945156      35743228     74      25760836      29152804
   25.02      25945156      35743228     74      25760836      29152804
   25.52      25945156      35743228     74      25760836      29152804
   26.02      25945156      35743228     74      25760836      29152804
   26.53      25945156      35743228     74      25760836      29152804
   27.03      25945156      35743228     74      25760836      29152804
   27.53      26135620      35743228     74      25951300      29152804
   28.03      26608708      35743228     74      26424388      29152804
   28.53      26608708      35743228     74      26424388      29152804
   29.03       2643764      11777584     74       2459444       5187160
   29.53       2829860      11964452     74       2645540       5373948
   30.03       3099780      12384412     74       2915460       5793892
   30.53       3099780      12384412     74       2915460       5793892
   31.03       3214536      12431068     74       3030216       5840548
   31.53       1593236      10717988     74       1408916       4127512
   31.93        968280      10014800     71        783960       3424944
