# rank=0 tag=default interval=0.5s n_samples=66
# PEAK_RSS_GB = 25.354
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144        109920      2          2048         18072
    0.50         47968        736884      9         21344        382696
    1.00         60256        789424      9         29536        423408
    1.50         72544        801396      9         37728        431420
    2.00         82784        810944      9         45920        440968
    2.50         90976        821484      9         54112        448128
    3.00         93024        823532      9         56160        450176
    3.50        103264        839392      9         60256        455356
    4.01        297748       3814556     36        183060       1007572
    4.51        341548       7053500     55        206380       1424204
    5.01        346820       7402448     62        211652       1744276
    5.51        352964       7419412     62        217796       1751148
    6.01        357060       7429344     62        219844       1754148
    6.51        365252       7445204     62        225988       1759292
    7.01        418088       7791372     73        246056       1848296
    7.71        422184       7798092     73        250152       1857720
    8.23        454876       8126624     75        278748       1935796
    8.73        494532       8161948     75        318404       1971112
    9.23       5072216      16327572     79       4896088      10026484
    9.73       7554392      16327572     79       7378264      10026484
   10.23       8512856      16327572     79       8336728      10026484
   10.73       8512856      16327572     79       8336728      10026484
   11.23        556872       8423056     79        380744       2121920
   11.73        582184       8384028     79        406056       2082948
   12.23        602664       8405640     79        426536       2104376
   12.73       1367548       9128324     79       1191420       2890628
   13.24        890860       8648592     79        714732       2411328
   13.74        892908       8649044     79        716780       2412176
   14.24        853972       8600080     79        677844       2371396
   14.74        889356       8688152     79        713228       2459468
   15.24        974672       9365340     87        792400       2643068
   15.74       8640384      34772132     87       8458112      28049860
   16.24      13823664      34772132     87      13641392      28065988
   16.74      14282416      34772132     87      14100144      28065988
   17.24      15757984      35755172     87      15575712      28984096
   17.74      17792080      35755172     87      17609808      28984096
   18.24      19848264      35755172     87      19665992      28984096
   18.74      21581100      36738212     87      21398828      29876716
   19.24      21845800      36738212     87      21663528      29876716
   19.74      23586644      36738212     87      23404372      29876716
   20.24      25619248      36738212     87      25436976      29876716
   20.74      25922316      36672676     87      25740044      29819352
   21.24      25922316      36672676     87      25740044      29819352
   21.74      25922316      36672676     87      25740044      29819352
   22.24      25922316      36672676     87      25740044      29819352
   22.74      25922316      36672676     87      25740044      29819352
   23.24      25922316      36672676     87      25740044      29819352
   23.74      25922316      36672676     87      25740044      29819352
   24.24      25922316      36672676     87      25740044      29819352
   24.74      25922316      36672676     87      25740044      29819352
   25.24      25922316      36672676     87      25740044      29819352
   25.74      25922316      36672676     87      25740044      29819352
   26.24      25922316      36672676     87      25740044      29819352
   26.74      25922316      36672676     87      25740044      29819352
   27.25      25922316      36672676     87      25740044      29819352
   27.75      25922316      36672676     87      25740044      29819352
   28.25      25922316      36672676     87      25740044      29819352
   28.75      26010380      36672676     87      25828108      29819352
   29.25      26585868      36672676     87      26403596      29819352
   29.75      26585868      36672676     87      26403596      29819352
   30.25      26585868      36672676     87      26403596      29819352
   30.75       2995648      13313932     87       2813376       6460488
   31.25       3068688      13313860     87       2886416       6460440
   31.75       1319388      11400952     87       1137116       4547532
   32.25       1131520      11214828     87        949248       4361240
   32.59        945468      10894232     78        763196       4049132
